,what,is,a,derogatory,term,for,the,christian,academies,that,arose,in,the,wake,of,school,desegregation,?
since,0.29783400893211365,0.3567592203617096,0.3303585946559906,0.12850342690944672,0.2175232321023941,0.36751601099967957,0.4054957628250122,0.20384414494037628,0.15478374063968658,0.3873181641101837,0.2281445860862732,0.4325680434703827,0.4054957628250122,0.14801162481307983,0.35513219237327576,0.19642391800880432,0.17167450487613678,0.2876587212085724
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.21792484819889069,0.2740369141101837,0.4739971458911896,1.0,0.19930796325206757,0.25615057349205017,0.5473989248275757,0.3818105459213257,0.6662389636039734,1.0,0.19048289954662323,0.733189046382904,0.22953221201896667,0.2901201546192169,0.22068053483963013
1970s,-0.020239217206835747,-0.0592941977083683,-0.008740115910768509,-0.024275027215480804,-0.04716569557785988,0.04791708290576935,0.004102230537682772,0.07326129823923111,0.05177650228142738,0.051623061299324036,0.10032355785369873,0.057396724820137024,0.004102230537682772,0.0632934644818306,0.060115184634923935,0.0075786542147397995,0.08755017071962357,0.03861190751194954
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.22373436391353607,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.23595517873764038,0.28677549958229065,0.4137537479400635,0.3176773488521576,0.5201468467712402,0.4933079481124878,0.18140769004821777,0.4946078956127167,0.27141863107681274,0.2785925567150116,0.31091248989105225
many,0.36131182312965393,0.2649032473564148,0.2872205972671509,0.1912384331226349,0.22119450569152832,0.40972793102264404,0.4335206151008606,0.17312119901180267,0.2804204225540161,0.5391656160354614,0.31983059644699097,0.41474202275276184,0.4335206151008606,0.18561582267284393,0.37253960967063904,0.20931920409202576,0.31931817531585693,0.2124512493610382
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.19642187654972076,0.26047757267951965,0.4185989499092102,0.733189046382904,0.23494116961956024,0.27202022075653076,0.41498205065727234,0.394540935754776,0.5696388483047485,0.733189046382904,0.1904895007610321,1.0,0.2391800880432129,0.26084643602371216,0.1826142966747284
these,0.4164220690727234,0.2498808652162552,0.24380075931549072,0.23272566497325897,0.2245425581932068,0.41566818952560425,0.49086877703666687,0.1609494686126709,0.2422739416360855,0.5512621402740479,0.297749400138855,0.3791837692260742,0.49086877703666687,0.15284156799316406,0.42684608697891235,0.18179039657115936,0.3195425868034363,0.2571668326854706
``,0.008517155423760414,0.058766357600688934,0.07272057235240936,0.0571320503950119,0.11803510040044785,0.01270448137074709,0.029072100296616554,0.03815840184688568,0.02784860134124756,0.05285148695111275,0.06583859026432037,0.04765888676047325,0.029072100296616554,-0.015840966254472733,0.06780257821083069,-0.05850168690085411,0.0087669026106596,0.0685480609536171
segregation,0.23693522810935974,0.15011711418628693,0.20085731148719788,0.3456990122795105,0.21600770950317383,0.22706599533557892,0.26240822672843933,0.17780543863773346,0.24094830453395844,0.31893864274024963,0.18803030252456665,0.26506558060646057,0.26240822672843933,0.15886138379573822,0.23205973207950592,0.31318309903144836,0.9626600742340088,0.207676500082016
academies,0.14465993642807007,0.19334669411182404,0.19249293208122253,0.10454832762479782,0.1393391191959381,0.28007614612579346,0.25615057349205017,0.23504137992858887,0.9999998807907104,0.19587813317775726,0.19557960331439972,0.2481706738471985,0.25615057349205017,0.09378176927566528,0.27202022075653076,0.4511764645576477,0.28508034348487854,0.09729845076799393
'',0.08143015950918198,0.0793738141655922,0.04890415817499161,0.06713733077049255,0.13619764149188995,-0.04479556903243065,0.041273195296525955,0.007835021242499352,0.013475440442562103,0.007880004122853279,0.021154632791876793,0.07432962208986282,0.041273195296525955,0.004311191849410534,0.13035868108272552,0.0720691904425621,-0.042833492159843445,0.018684765323996544
have,0.39808809757232666,0.3613572418689728,0.338716596364975,0.23094207048416138,0.24443839490413666,0.41175219416618347,0.40389683842658997,0.13219356536865234,0.17152714729309082,0.6182622313499451,0.3203626275062561,0.36843645572662354,0.40389683842658997,0.1650300920009613,0.3802283704280853,0.16803227365016937,0.2542576193809509,0.32991164922714233
shut,0.2487407624721527,0.13841311633586884,0.13849765062332153,0.08291388303041458,0.10042028874158859,0.17574599385261536,0.23559285700321198,0.12554766237735748,0.12637725472450256,0.28332266211509705,0.10735173523426056,0.17678579688072205,0.23559285700321198,0.32612720131874084,0.11211235821247101,0.12472205609083176,0.17202021181583405,0.22577165067195892
down,0.26226112246513367,0.16725905239582062,0.2387222796678543,0.17982597649097443,0.16914713382720947,0.22538931667804718,0.3325848877429962,0.14355911314487457,0.09882410615682602,0.3273264467716217,0.26395905017852783,0.2321847528219223,0.3325848877429962,0.2651444673538208,0.23279321193695068,0.14181092381477356,0.14916229248046875,0.13836295902729034
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.22373436391353607,0.21599270403385162,0.4464869201183319,0.4933079481124878,0.23595517873764038,0.28677549958229065,0.4137537479400635,0.3176773488521576,0.5201468467712402,0.4933079481124878,0.18140769004821777,0.4946078956127167,0.27141863107681274,0.2785925567150116,0.31091248989105225
although,0.24844598770141602,0.301360160112381,0.29747897386550903,0.253347247838974,0.2596798539161682,0.2825305759906769,0.3265823423862457,0.13906805217266083,0.19577635824680328,0.4722958207130432,0.2998378276824951,0.28763338923454285,0.3265823423862457,0.13947723805904388,0.3024747669696808,0.17072553932666779,0.17198851704597473,0.15541206300258636
