,what,regions,do,the,north-eastern,part,of,the,country,boarder,?
the,0.42745697498321533,0.36158451437950134,0.30239659547805786,1.0,0.4316632151603699,0.527681291103363,0.733189046382904,1.0,0.30432501435279846,0.16950146853923798,0.22068053483963013
north-eastern,0.29777395725250244,0.42070436477661133,0.2089114487171173,0.4316632151603699,0.9999998807907104,0.4260067641735077,0.39097699522972107,0.4316632151603699,0.24830986559391022,0.22026564180850983,0.2794857919216156
regions,0.22129066288471222,1.0,0.18364502489566803,0.36158451437950134,0.42070436477661133,0.36196213960647583,0.3694140613079071,0.36158451437950134,0.3194693922996521,-0.01169914286583662,0.11608363687992096
along,0.22421957552433014,0.2117026001214981,0.1786094307899475,0.39495137333869934,0.350304514169693,0.3091850280761719,0.34889817237854004,0.39495137333869934,0.18768267333507538,0.21050241589546204,0.17134909331798553
the,0.42745697498321533,0.36158451437950134,0.30239659547805786,1.0,0.4316632151603699,0.527681291103363,0.733189046382904,1.0,0.30432501435279846,0.16950146853923798,0.22068053483963013
border,0.26696228981018066,0.26375508308410645,0.1588054895401001,0.2856229841709137,0.41496342420578003,0.28389567136764526,0.24084383249282837,0.2856229841709137,0.2196434885263443,0.24046072363853455,0.1706928312778473
with,0.2464839518070221,0.24451375007629395,0.23744353652000427,0.4223487675189972,0.2574538290500641,0.294111043214798,0.41827285289764404,0.4223487675189972,0.24760155379772186,0.1186145693063736,0.2433311939239502
somalia,0.24037028849124908,0.21529285609722137,0.19265884160995483,0.2539450526237488,0.27286067605018616,0.20698991417884827,0.22592215240001678,0.2539450526237488,0.3328147828578949,0.18839512765407562,0.18363796174526215
and,0.31309178471565247,0.30318012833595276,0.276123583316803,0.5171257257461548,0.29065805673599243,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.30884742736816406,0.2849675118923187,0.20544172823429108
ethiopia,0.21010032296180725,0.2507939636707306,0.17691153287887573,0.24095019698143005,0.2948918640613556,0.133102148771286,0.23328284919261932,0.24095019698143005,0.25308656692504883,0.12630951404571533,0.12341149896383286
are,0.29724663496017456,0.3568890690803528,0.41111594438552856,0.40399202704429626,0.2639656364917755,0.3086032569408417,0.39081433415412903,0.40399202704429626,0.1952878087759018,0.11222881823778152,0.24591213464736938
arid,0.19131852686405182,0.3775283694267273,0.2409864068031311,0.2454749345779419,0.38122430443763733,0.21837061643600464,0.22121214866638184,0.2454749345779419,0.27335166931152344,0.10759998857975006,0.13261376321315765
and,0.31309178471565247,0.30318012833595276,0.276123583316803,0.5171257257461548,0.29065805673599243,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.30884742736816406,0.2849675118923187,0.20544172823429108
semi-arid,0.2179999053478241,0.31156107783317566,0.21792720258235931,0.2718944251537323,0.4183330237865448,0.29524531960487366,0.2093130201101303,0.2718944251537323,0.21624813973903656,0.11381005495786667,0.20927584171295166
areas,0.23739881813526154,0.5606828927993774,0.25328004360198975,0.3311663568019867,0.3631890118122101,0.3895777761936188,0.2803763747215271,0.3311663568019867,0.25412359833717346,0.12615478038787842,0.1273590475320816
with,0.2464839518070221,0.24451375007629395,0.23744353652000427,0.4223487675189972,0.2574538290500641,0.294111043214798,0.41827285289764404,0.4223487675189972,0.24760155379772186,0.1186145693063736,0.2433311939239502
near-desert,0.2504209578037262,0.3799956440925598,0.19267795979976654,0.3446919322013855,0.4768717288970947,0.26525574922561646,0.325321227312088,0.3446919322013855,0.3019883930683136,0.1837511509656906,0.15263399481773376
landscapes,0.22770287096500397,0.31591638922691345,0.16560564935207367,0.21186833083629608,0.22178636491298676,0.19044554233551025,0.2691197097301483,0.21186833083629608,0.2051900178194046,0.12681490182876587,0.13407273590564728
.,0.3567904531955719,0.25618889927864075,0.3613996207714081,0.5934505462646484,0.34877336025238037,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.26130348443984985,0.2401871532201767,0.4130953550338745
