,whose,thesis,states,that,the,solution,to,a,problem,is,solvable,with,reasonable,resources,assuming,it,allows,for,a,polynomial,time,algorithm,?
if,0.30516794323921204,0.2373373955488205,0.2322414666414261,0.5634250640869141,0.33724796772003174,0.3745069205760956,0.4559597074985504,0.41272827982902527,0.43518564105033875,0.30927813053131104,0.4229511618614197,0.34021785855293274,0.47620150446891785,0.2301594763994217,0.4846716821193695,0.35967332124710083,0.4139321744441986,0.3609124422073364,0.41272827982902527,0.4140531122684479,0.36530032753944397,0.32577699422836304,0.4441644251346588
the,0.38253846764564514,0.22074155509471893,0.3463578522205353,0.5473989248275757,1.0,0.20422548055648804,0.535392165184021,0.5829201340675354,0.24928659200668335,0.5823672413825989,0.2564215660095215,0.4223487675189972,0.24396859109401703,0.25734785199165344,0.2946830689907074,0.6251175999641418,0.2995605766773224,0.4739971458911896,0.5829201340675354,0.1902180016040802,0.43061500787734985,0.15884782373905182,0.22068053483963013
input,0.17908534407615662,0.246836856007576,0.1510782390832901,0.24763350188732147,0.19928309321403503,0.24089619517326355,0.25947481393814087,0.20009170472621918,0.2680823802947998,0.2170686423778534,0.3248520791530609,0.17565976083278656,0.27442166209220886,0.26478707790374756,0.23519238829612732,0.18733926117420197,0.34310898184776306,0.2638095021247864,0.20009170472621918,0.4047253429889679,0.2544395923614502,0.3474941551685333,0.24861721694469452
size,0.11972419172525406,0.08195988833904266,0.17931771278381348,0.3037673830986023,0.2946445941925049,0.20369526743888855,0.26289698481559753,0.24953703582286835,0.22434258460998535,0.22983339428901672,0.255657434463501,0.19676974415779114,0.2335871458053589,0.16341985762119293,0.2266560047864914,0.2527751326560974,0.26241329312324524,0.1818288266658783,0.24953703582286835,0.3019765615463257,0.25952205061912537,0.2250329852104187,0.13693112134933472
is,0.26491984724998474,0.19085513055324554,0.21939043700695038,0.3995479643344879,0.5823672413825989,0.2851429283618927,0.42745086550712585,0.658733606338501,0.23238427937030792,1.0,0.31545230746269226,0.3250955045223236,0.2570490837097168,0.23539847135543823,0.3417447805404663,0.6328473687171936,0.2976554334163666,0.43268078565597534,0.658733606338501,0.2560946047306061,0.25187405943870544,0.24848374724388123,0.22961433231830597
n,0.11051701754331589,0.1258353739976883,0.1800968497991562,0.1702573001384735,0.18813885748386383,0.15455688536167145,0.16421891748905182,0.25362148880958557,0.1942267268896103,0.2254602462053299,0.24239876866340637,0.1707475185394287,0.12869949638843536,0.15462303161621094,0.21850061416625977,0.15266379714012146,0.2219594269990921,0.1384572833776474,0.25362148880958557,0.322945237159729,0.09111524373292923,0.1695808321237564,0.19161871075630188
",",0.25601375102996826,0.19271056354045868,0.3315127193927765,0.4137537479400635,0.4933079481124878,0.2270459234714508,0.44245919585227966,0.427140474319458,0.23938199877738953,0.4691906273365021,0.25004062056541443,0.4120737314224243,0.27303653955459595,0.2789028584957123,0.33882763981819153,0.48329564929008484,0.18241192400455475,0.4464869201183319,0.427140474319458,0.21592853963375092,0.3029961884021759,0.19359813630580902,0.31091248989105225
the,0.38253846764564514,0.22074155509471893,0.3463578522205353,0.5473989248275757,1.0,0.20422548055648804,0.535392165184021,0.5829201340675354,0.24928659200668335,0.5823672413825989,0.2564215660095215,0.4223487675189972,0.24396859109401703,0.25734785199165344,0.2946830689907074,0.6251175999641418,0.2995605766773224,0.4739971458911896,0.5829201340675354,0.1902180016040802,0.43061500787734985,0.15884782373905182,0.22068053483963013
time,0.165165513753891,0.19269683957099915,0.25020933151245117,0.388528436422348,0.43061500787734985,0.2341277003288269,0.3679993152618408,0.3292340338230133,0.3373833894729614,0.25187405943870544,0.30290457606315613,0.31862112879753113,0.27479901909828186,0.27837085723876953,0.3237302005290985,0.3375589847564697,0.25145500898361206,0.3992156386375427,0.3292340338230133,0.28301435708999634,0.9999998807907104,0.25266581773757935,0.27391523122787476
taken,0.18366588652133942,0.09969152510166168,0.13202235102653503,0.35460543632507324,0.3309854567050934,0.15829788148403168,0.2772596478462219,0.2520231008529663,0.21755793690681458,0.19185791909694672,0.1857333928346634,0.21605224907398224,0.2812901735305786,0.18472421169281006,0.2528326213359833,0.2876744866371155,0.16655701398849487,0.2691914737224579,0.2520231008529663,0.20486241579055786,0.23608605563640594,0.1260514259338379,0.17662954330444336
