,what,did,president,kennedy,do,in,response,to,the,soviet,flight,in,regards,of,america,'s,program,?
kennedy,0.2125646471977234,0.18083488941192627,0.2599526643753052,1.0,0.15272611379623413,0.10888300836086273,0.23355373740196228,0.2569362223148346,0.20303435623645782,0.16605955362319946,0.19808602333068848,0.10888300836086273,0.2779814302921295,0.1657739132642746,0.18301182985305786,-0.03838328644633293,0.20489704608917236,0.21965277194976807
was,0.22111038863658905,0.41399896144866943,0.2505730390548706,0.1929353028535843,0.11523093283176422,0.45514053106307983,0.2303798496723175,0.3636345863342285,0.48711544275283813,0.259528785943985,0.19139665365219116,0.45514053106307983,0.21337556838989258,0.4069072902202606,0.2850865423679352,0.008974763564765453,0.1849333792924881,0.18412111699581146
circumspect,0.4492468535900116,0.24975869059562683,0.17148999869823456,0.28008922934532166,0.3081621825695038,0.2276660054922104,0.2914623022079468,0.38454556465148926,0.38291507959365845,0.18069565296173096,0.212820902466774,0.2276660054922104,0.40372374653816223,0.34276148676872253,0.21782326698303223,0.06716273725032806,0.2139231115579605,0.2891911268234253
in,0.30808621644973755,0.2593238651752472,0.18811661005020142,0.10888300836086273,0.23402775824069977,1.0,0.20744606852531433,0.45010748505592346,0.6662389636039734,0.22826138138771057,0.24918575584888458,1.0,0.2236747145652771,0.5696388483047485,0.3098583221435547,-0.037580832839012146,0.1994907110929489,0.20430970191955566
his,0.26976513862609863,0.3546801507472992,0.25683027505874634,0.3033418655395508,0.15088757872581482,0.3598145842552185,0.17898187041282654,0.3715193271636963,0.4394008219242096,0.21237705647945404,0.1601233333349228,0.3598145842552185,0.22213611006736755,0.38364991545677185,0.1734815388917923,0.047556519508361816,0.13115361332893372,0.18075084686279297
response,0.3532308340072632,0.23455248773097992,0.15169581770896912,0.23355373740196228,0.2198486179113388,0.20744606852531433,1.0000001192092896,0.277526319026947,0.28909924626350403,0.13281568884849548,0.16719621419906616,0.20744606852531433,0.317913293838501,0.21864040195941925,0.1521453857421875,-0.01666334457695484,0.1567499041557312,0.2007838636636734
to,0.455847829580307,0.4452643394470215,0.21247753500938416,0.2569362223148346,0.38876664638519287,0.45010748505592346,0.277526319026947,1.0,0.535392165184021,0.19090956449508667,0.24953556060791016,0.45010748505592346,0.31869420409202576,0.41548454761505127,0.2636699676513672,0.03782717138528824,0.23681028187274933,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.24330610036849976,0.20303435623645782,0.30239659547805786,0.6662389636039734,0.28909924626350403,0.535392165184021,1.0,0.2312941700220108,0.2498224973678589,0.6662389636039734,0.2506358325481415,0.733189046382904,0.37090015411376953,-0.01540423184633255,0.22986935079097748,0.22068053483963013
news,0.2584491968154907,0.18422135710716248,0.1919996291399002,0.20798692107200623,0.17408986389636993,0.19753123819828033,0.18683451414108276,0.2372783124446869,0.2294066995382309,0.1152091696858406,0.08814886212348938,0.19753123819828033,0.2023632526397705,0.1894020140171051,0.1749466061592102,0.037588585168123245,0.3249741494655609,0.1899169683456421
",",0.3087472915649414,0.3015086054801941,0.26552814245224,0.3363509774208069,0.3283645510673523,0.5201468467712402,0.24039098620414734,0.44245919585227966,0.4933079481124878,0.25194454193115234,0.23669111728668213,0.5201468467712402,0.3487640917301178,0.4946078956127167,0.253568559885025,-0.0016132977325469255,0.17760658264160156,0.31091248989105225
