,who,else,did,tesla,make,the,acquaintance,of,in,1886,?
in,0.2792111933231354,0.22759012877941132,0.2593238651752472,0.17097744345664978,0.268858402967453,0.6662389636039734,0.2081419825553894,0.5696388483047485,1.0,0.15816864371299744,0.20430970191955566
late,0.19296042621135712,0.08532508462667465,0.27609187364578247,0.12752972543239594,0.18730178475379944,0.31481194496154785,0.25639215111732483,0.21690747141838074,0.3439198434352875,0.16153304278850555,0.11339222639799118
1886,0.10808108001947403,0.08606267720460892,0.1467389464378357,0.22070029377937317,0.087591752409935,0.16194075345993042,0.10157433897256851,0.2039724886417389,0.15816864371299744,1.0000001192092896,0.15507127344608307
tesla,0.1520961970090866,0.13230428099632263,0.09757418930530548,0.9999999403953552,0.1746748685836792,0.1324402391910553,0.18019405007362366,0.18837453424930573,0.17097744345664978,0.22070029377937317,0.10250775516033173
met,0.32960283756256104,0.1341569423675537,0.3307664096355438,0.07272446900606155,0.14691661298274994,0.2303115278482437,0.3867252469062805,0.2307862788438797,0.23768870532512665,0.04343344643712044,0.13848096132278442
alfred,0.24065124988555908,0.21607986092567444,0.16959622502326965,0.13308247923851013,0.025956327095627785,0.24956922233104706,0.30775970220565796,0.20830056071281433,0.29950597882270813,0.09759635478258133,0.10596195608377457
s.,0.05014374107122421,0.04394803196191788,-0.015845926478505135,0.015194364823400974,0.020188333466649055,-0.04539619758725166,-0.18399310111999512,-0.10292956233024597,-0.11448613554239273,0.10181913524866104,0.07581593841314316
brown,0.2131863683462143,0.15075410902500153,0.11021304875612259,0.07134627550840378,0.19747845828533173,0.2198052853345871,0.1284780204296112,0.19249911606311798,0.20236437022686005,-0.008101686835289001,0.18920691311359406
",",0.3365725874900818,0.2643522322177887,0.3015086054801941,0.20599327981472015,0.324553906917572,0.4933079481124878,0.3233543634414673,0.4946078956127167,0.5201468467712402,0.1628250777721405,0.31091248989105225
a,0.36608949303627014,0.22029639780521393,0.2552328109741211,0.2211925983428955,0.34303420782089233,0.5829201340675354,0.2792814373970032,0.5052502155303955,0.539380669593811,0.1748705804347992,0.23916715383529663
western,0.2089514136314392,0.14557461440563202,0.15773870050907135,0.03639007732272148,0.12786822021007538,0.37920868396759033,0.14015601575374603,0.32974064350128174,0.35160520672798157,0.07682063430547714,0.17439141869544983
union,0.16662479937076569,0.0851539820432663,0.185054212808609,0.13906574249267578,0.10841678082942963,0.24421639740467072,0.18596701323986053,0.2642118036746979,0.22726479172706604,0.15357398986816406,0.07797172665596008
superintendent,0.257494181394577,0.1493171751499176,0.2038733810186386,0.21233431994915009,0.09341580420732498,0.2810683846473694,0.2961401045322418,0.2960031032562256,0.2964814007282257,0.1980985403060913,0.08918596059083939
",",0.3365725874900818,0.2643522322177887,0.3015086054801941,0.20599327981472015,0.324553906917572,0.4933079481124878,0.3233543634414673,0.4946078956127167,0.5201468467712402,0.1628250777721405,0.31091248989105225
and,0.41279885172843933,0.2664144039154053,0.34479495882987976,0.19560420513153076,0.4160483181476593,0.5171257257461548,0.33162975311279297,0.5116966962814331,0.4954058527946472,0.0749865472316742,0.20544172823429108
new,0.2378052920103073,0.18226130306720734,0.227974995970726,0.15999311208724976,0.27695566415786743,0.3845241069793701,0.19816413521766663,0.343457967042923,0.3758552670478821,0.21939796209335327,0.14782847464084625
york,0.23077517747879028,0.12323183566331863,0.16606222093105316,0.15629629790782928,0.17422138154506683,0.3034006953239441,0.23107536137104034,0.23040355741977692,0.2961827218532562,0.15340161323547363,0.15262620151042938
attorney,0.2212972193956375,0.14019542932510376,0.16646260023117065,0.17845284938812256,0.1272052824497223,0.21909913420677185,0.3630634546279907,0.2063351422548294,0.24757009744644165,0.20617400109767914,0.14764122664928436
charles,0.27103671431541443,0.07139652967453003,0.11287324130535126,0.18811707198619843,0.09568957984447479,0.20777860283851624,0.2644083499908447,0.22512592375278473,0.21346928179264069,0.13716164231300354,0.17366734147071838
f.,0.16394910216331482,0.0862298533320427,0.14231976866722107,0.12085040658712387,-0.015374223701655865,0.18440215289592743,0.11233392357826233,0.21892845630645752,0.12595218420028687,0.13138878345489502,0.11007396876811981
peck,0.2801194190979004,0.14381159842014313,0.2018258273601532,0.09895811975002289,0.1966431438922882,0.2147165983915329,0.27406665682792664,0.163420632481575,0.2105751633644104,-0.029307693243026733,0.22361880540847778
.,0.3541337847709656,0.30548352003097534,0.35288307070732117,0.17949827015399933,0.3547073304653168,0.5934505462646484,0.23465290665626526,0.5352458953857422,0.5591574311256409,0.1006130650639534,0.4130953550338745
