,how,many,affiliates,did,abc,have,in,1949,?
for,0.3308170735836029,0.40972793102264404,0.21022890508174896,0.318512886762619,0.22510288655757904,0.41175219416618347,0.4322226941585541,0.31908273696899414,0.264628142118454
its,0.22449488937854767,0.3319723308086395,0.16998496651649475,0.19922670722007751,0.19045390188694,0.3852778375148773,0.3793783485889435,0.2562781870365143,0.15103481709957123
part,0.218691885471344,0.2827394902706146,0.20434822142124176,0.23558001220226288,0.13526929914951324,0.25547030568122864,0.4499994218349457,0.126766636967659,0.08557961881160736
",",0.22659391164779663,0.40610817074775696,0.1943977326154709,0.3015086054801941,0.2097204476594925,0.3541618287563324,0.5201468467712402,0.1767846941947937,0.31091248989105225
abc,0.19232043623924255,0.18267793953418732,0.26733168959617615,0.13353709876537323,1.0000001192092896,0.1884228140115738,0.1697147786617279,0.1190110445022583,0.19065172970294952
was,0.16678167879581451,0.260356068611145,0.10774493962526321,0.41399896144866943,0.21565799415111542,0.2863433063030243,0.45514053106307983,0.22808216512203217,0.18412111699581146
on,0.32655060291290283,0.32520127296447754,0.235525980591774,0.2670976221561432,0.2862928807735443,0.36494916677474976,0.46853652596473694,0.17852674424648285,0.2714994251728058
the,0.33890387415885925,0.4335206151008606,0.1912562996149063,0.34736719727516174,0.2068762183189392,0.40389683842658997,0.6662389636039734,0.2687380611896515,0.22068053483963013
verge,0.15716460347175598,0.13231723010540009,0.10120668262243271,0.1813971847295761,0.06115731969475746,0.22421902418136597,0.20131202042102814,0.009991688653826714,0.16373899579048157
of,0.2480744868516922,0.37253960967063904,0.1803562045097351,0.2513895630836487,0.14607268571853638,0.3802283704280853,0.5696388483047485,0.2565067410469055,0.1826142966747284
bankruptcy,0.1948966681957245,0.16044561564922333,0.21927569806575775,0.20003940165042877,0.2140197455883026,0.16663920879364014,0.19475995004177094,0.16064175963401794,0.1341087967157364
",",0.22659391164779663,0.40610817074775696,0.1943977326154709,0.3015086054801941,0.2097204476594925,0.3541618287563324,0.5201468467712402,0.1767846941947937,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.23370657861232758,0.25472134351730347,0.17432008683681488,0.48046383261680603,0.4080928862094879,0.17095758020877838,0.2433311939239502
only,0.36590442061424255,0.4670507609844208,0.1798403561115265,0.4039593040943146,0.1885126382112503,0.5199421048164368,0.42992329597473145,0.25568121671676636,0.2767370045185089
five,0.20553050935268402,0.41084155440330505,0.18190954625606537,0.1999429613351822,0.14211930334568024,0.35977232456207275,0.3634254038333893,0.1520622819662094,0.18342848122119904
owned-and-operated,0.18262343108654022,0.21607306599617004,0.4213067889213562,0.23825591802597046,0.31080347299575806,0.2394983321428299,0.27814793586730957,0.18755866587162018,0.2376745194196701
stations,0.18198855221271515,0.2893238365650177,0.34138554334640503,0.16568200290203094,0.23858611285686493,0.23396307229995728,0.25864288210868835,0.05973970144987106,0.13192185759544373
and,0.33647966384887695,0.5296266674995422,0.2033180296421051,0.34479495882987976,0.16453155875205994,0.4711785912513733,0.4954058527946472,0.1846490055322647,0.20544172823429108
nine,0.1557593196630478,0.3415135145187378,0.15729877352714539,0.16091835498809814,0.11508515477180481,0.2875446081161499,0.303353875875473,0.11832000315189362,0.13964155316352844
full-time,0.32950559258461,0.2747269570827484,0.2955445349216461,0.31679821014404297,0.31901079416275024,0.3474670648574829,0.2711765170097351,0.14567814767360687,0.2854166030883789
affiliates,0.09554769098758698,0.18764927983283997,1.0000001192092896,0.14054901897907257,0.26733168959617615,0.17439953982830048,0.17909713089466095,0.13049522042274475,0.11092336475849152
.,0.3287222981452942,0.3974229395389557,0.17940016090869904,0.35288307070732117,0.2567209303379059,0.41614407300949097,0.5591574311256409,0.2120380848646164,0.4130953550338745
