,what,abc,action,series,went,up,against,nbc,'s,variety,shows,in,fall,1957,?
abc,0.1317344456911087,1.0000001192092896,0.2165076583623886,0.38518208265304565,0.20451749861240387,0.13020706176757812,0.10121753811836243,0.63486248254776,0.06670809537172318,0.20370833575725555,0.3304527997970581,0.1697147786617279,0.14103294909000397,-0.1557149738073349,0.19065172970294952
's,0.02692362666130066,0.06670809537172318,-0.003886178135871887,0.0006390819908119738,0.0411166250705719,-0.08862818777561188,-0.0006242102244868875,0.07915050536394119,0.9999999403953552,0.01577920839190483,0.02703757770359516,-0.037580832839012146,-0.05826059728860855,0.057361289858818054,-0.023395681753754616
western,0.2454150915145874,0.20839235186576843,0.15833598375320435,0.17449115216732025,0.217497318983078,0.11988992244005203,0.13376392424106598,0.17583347856998444,0.06932425498962402,0.18893051147460938,0.13074004650115967,0.35160520672798157,0.20288650691509247,0.03200656548142433,0.17439141869544983
series,0.17328087985515594,0.38518208265304565,0.2123250663280487,1.0000001192092896,0.10963287204504013,0.21352851390838623,0.22267664968967438,0.4281459450721741,0.0006390819908119738,0.2573142945766449,0.3294292390346527,0.2914260923862457,0.21089966595172882,-0.18531037867069244,0.1709602326154709
(,0.2411840260028839,0.183883935213089,0.2436094880104065,0.21145714819431305,0.18902330100536346,0.2525939643383026,0.17481690645217896,0.19500088691711426,0.0012731997994706035,0.11711478233337402,0.18555068969726562,0.3087427020072937,0.1624525934457779,-0.12439026683568954,0.40561532974243164
as,0.31749409437179565,0.2286096066236496,0.21881477534770966,0.2641415596008301,0.21750199794769287,0.22736889123916626,0.24545185267925262,0.25748270750045776,-0.05775856226682663,0.33520424365997314,0.27829593420028687,0.3887844979763031,0.19012849032878876,-0.10892367362976074,0.27043893933296204
well,0.4154493808746338,0.11003991216421127,0.15654362738132477,0.2632865905761719,0.30192190408706665,0.2853298783302307,0.21075023710727692,0.1845310926437378,-0.0049502006731927395,0.3212295174598694,0.3024379312992096,0.36612698435783386,0.20694324374198914,0.016938257962465286,0.24815571308135986
as,0.31749409437179565,0.2286096066236496,0.21881477534770966,0.2641415596008301,0.21750199794769287,0.22736889123916626,0.24545185267925262,0.25748270750045776,-0.05775856226682663,0.33520424365997314,0.27829593420028687,0.3887844979763031,0.19012849032878876,-0.10892367362976074,0.27043893933296204
series,0.17328087985515594,0.38518208265304565,0.2123250663280487,1.0000001192092896,0.10963287204504013,0.21352851390838623,0.22267664968967438,0.4281459450721741,0.0006390819908119738,0.2573142945766449,0.3294292390346527,0.2914260923862457,0.21089966595172882,-0.18531037867069244,0.1709602326154709
such,0.23989605903625488,0.12735801935195923,0.24586212635040283,0.19144901633262634,0.16815093159675598,0.19254465401172638,0.20227466523647308,0.16755664348602295,0.05073437839746475,0.46210750937461853,0.31230586767196655,0.2704046070575714,0.15861719846725464,-0.055633898824453354,0.17851735651493073
