,what,act,sets,forth,the,functions,of,the,scottish,parliament,?
the,0.42745697498321533,0.28682878613471985,0.2320500761270523,0.33635199069976807,1.0,0.2567043900489807,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
scotland,0.16722074151039124,0.2434776872396469,0.15300990641117096,0.2739905118942261,0.23846951127052307,0.14900441467761993,0.2208399921655655,0.23846951127052307,0.667405903339386,0.33239492774009705,0.09160218387842178
act,0.2622668445110321,1.0,0.15312184393405914,0.20859071612358093,0.28682878613471985,0.3246046304702759,0.2802577316761017,0.28682878613471985,0.1456814855337143,0.33536985516548157,0.1482519507408142
1998,0.10774625837802887,0.016155632212758064,-0.11083211749792099,0.021805178374052048,-0.047468025237321854,-0.07210134714841843,-0.06454750150442123,-0.047468025237321854,-0.045898519456386566,0.2069738209247589,0.11714459210634232
",",0.3087472915649414,0.1787904053926468,0.19630418717861176,0.2550027668476105,0.4933079481124878,0.1946580410003662,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.31091248989105225
which,0.5261979103088379,0.3216746747493744,0.2933466136455536,0.3525375723838806,0.6521818041801453,0.3579391837120056,0.5011631846427917,0.6521818041801453,0.21085049211978912,0.20252443850040436,0.25814583897590637
was,0.22111038863658905,0.1887621134519577,0.15145030617713928,0.16034583747386932,0.48711544275283813,0.12852364778518677,0.4069072902202606,0.48711544275283813,0.20229777693748474,0.24742799997329712,0.18412111699581146
passed,0.22233739495277405,0.4205443859100342,0.22999422252178192,0.14581522345542908,0.3173406720161438,0.20314614474773407,0.2703755795955658,0.3173406720161438,0.16614016890525818,0.3329673409461975,0.12064517289400101
by,0.2455483376979828,0.19227443635463715,0.18171922862529755,0.19170325994491577,0.4408751428127289,0.13341495394706726,0.3646814823150635,0.4408751428127289,0.1562303602695465,0.1523929238319397,0.17966607213020325
the,0.42745697498321533,0.28682878613471985,0.2320500761270523,0.33635199069976807,1.0,0.2567043900489807,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
parliament,0.21650300920009613,0.33536985516548157,0.07161371409893036,0.20903702080249786,0.26521381735801697,0.16338469088077545,0.2885259687900543,0.26521381735801697,0.3418616056442261,1.0,0.1586504578590393
of,0.33290785551071167,0.2802577316761017,0.14160113036632538,0.2488054633140564,0.733189046382904,0.2328059822320938,1.0,0.733189046382904,0.1698460429906845,0.2885259687900543,0.1826142966747284
the,0.42745697498321533,0.28682878613471985,0.2320500761270523,0.33635199069976807,1.0,0.2567043900489807,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
united,0.20036718249320984,0.2497679591178894,0.08755362033843994,0.17000329494476318,0.34367692470550537,0.14820991456508636,0.3187655806541443,0.34367692470550537,0.23761798441410065,0.2553708553314209,0.17266890406608582
kingdom,0.17826133966445923,0.2036931961774826,0.09467720985412598,0.19408616423606873,0.3143408000469208,0.15237414836883545,0.3218171298503876,0.3143408000469208,0.22036601603031158,0.3534179627895355,0.12927088141441345
and,0.31309178471565247,0.2776535749435425,0.23491808772087097,0.3152049779891968,0.5171257257461548,0.2698383927345276,0.5116966962814331,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.20544172823429108
given,0.21883496642112732,0.1849713772535324,0.17493478953838348,0.18950185179710388,0.37508252263069153,0.2351384460926056,0.39388060569763184,0.37508252263069153,0.1287628561258316,0.14889654517173767,0.2570464313030243
royal,0.16189028322696686,0.2023511677980423,0.17013728618621826,0.20019881427288055,0.2997032403945923,0.1514102816581726,0.3112924098968506,0.2997032403945923,0.1868695467710495,0.27501314878463745,0.11453001946210861
assent,0.29097244143486023,0.3868781328201294,0.12987414002418518,0.20376600325107574,0.2975829243659973,0.1663866639137268,0.33070728182792664,0.2975829243659973,0.21403762698173523,0.48121771216392517,0.21738570928573608
by,0.2455483376979828,0.19227443635463715,0.18171922862529755,0.19170325994491577,0.4408751428127289,0.13341495394706726,0.3646814823150635,0.4408751428127289,0.1562303602695465,0.1523929238319397,0.17966607213020325
queen,0.18133950233459473,0.16376806795597076,0.11439377069473267,0.17785461246967316,0.24681736528873444,0.0656256303191185,0.27787157893180847,0.24681736528873444,0.15073919296264648,0.285058856010437,0.17460165917873383
elizabeth,0.18697009980678558,0.26223137974739075,0.11607681214809418,0.21449099481105804,0.19892844557762146,0.08132511377334595,0.20585080981254578,0.19892844557762146,0.19442994892597198,0.26115691661834717,0.157150536775589
ii,0.13866674900054932,0.15284883975982666,0.1314908266067505,0.13068966567516327,0.2631464898586273,0.0970616340637207,0.2844806909561157,0.2631464898586273,0.11149665713310242,0.18893595039844513,0.11928234249353409
on,0.34226128458976746,0.17222115397453308,0.15848734974861145,0.21169379353523254,0.5107308030128479,0.17429310083389282,0.3966929316520691,0.5107308030128479,0.14497309923171997,0.2047569900751114,0.2714994251728058
19,0.014984339475631714,-0.012787774205207825,0.04878883436322212,-0.10201400518417358,-0.17766842246055603,0.11471552401781082,-0.18954584002494812,-0.17766842246055603,-0.14062169194221497,-0.15861357748508453,0.008002291433513165
november,0.23963461816310883,0.08718066662549973,0.13440389931201935,0.11642275005578995,0.25734350085258484,0.01521462295204401,0.19941139221191406,0.25734350085258484,0.1967150717973709,0.2464720904827118,0.3159552216529846
1998,0.10774625837802887,0.016155632212758064,-0.11083211749792099,0.021805178374052048,-0.047468025237321854,-0.07210134714841843,-0.06454750150442123,-0.047468025237321854,-0.045898519456386566,0.2069738209247589,0.11714459210634232
",",0.3087472915649414,0.1787904053926468,0.19630418717861176,0.2550027668476105,0.4933079481124878,0.1946580410003662,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.31091248989105225
governs,0.2597009837627411,0.2811460793018341,0.2302563488483429,0.18121610581874847,0.3000285029411316,0.3120700418949127,0.337303102016449,0.3000285029411316,0.1953541785478592,0.34328100085258484,0.1786348670721054
the,0.42745697498321533,0.28682878613471985,0.2320500761270523,0.33635199069976807,1.0,0.2567043900489807,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
functions,0.22357098758220673,0.3246046304702759,0.2800799608230591,0.1663924753665924,0.2567043900489807,0.9999998807907104,0.2328059822320938,0.2567043900489807,0.09346538782119751,0.16338469088077545,0.13745930790901184
and,0.31309178471565247,0.2776535749435425,0.23491808772087097,0.3152049779891968,0.5171257257461548,0.2698383927345276,0.5116966962814331,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.20544172823429108
