,who,is,the,present,quarterback,of,the,broncos,?
bart,0.22459791600704193,0.21009784936904907,0.21651144325733185,-0.009148695506155491,0.30069807171821594,0.12065748125314713,0.21651144325733185,0.2457629144191742,0.12193363159894943
starr,0.27501121163368225,0.12701767683029175,0.2387159913778305,0.20584702491760254,0.3292907178401947,0.19113445281982422,0.2387159913778305,0.27604082226753235,0.22583505511283875
(,0.2443375140428543,0.35393038392066956,0.33289089798927307,0.27962008118629456,0.2489609718322754,0.35032153129577637,0.33289089798927307,0.22258663177490234,0.40561532974243164
mvp,0.15547040104866028,0.14655865728855133,0.19830666482448578,0.19243820011615753,0.49506956338882446,0.16760475933551788,0.19830666482448578,0.43668341636657715,0.19954749941825867
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.3116828501224518,0.19996441900730133,1.0,0.733189046382904,0.19310332834720612,0.1826142966747284
super,0.1819351613521576,0.15390309691429138,0.21959073841571808,0.15244346857070923,0.28511252999305725,0.14718765020370483,0.21959073841571808,0.36141330003738403,0.166326642036438
bowls,0.19806717336177826,0.13691234588623047,0.17019082605838776,0.12348266690969467,0.4219685196876526,0.15867608785629272,0.17019082605838776,0.4799140989780426,0.1849047988653183
i,0.33545589447021484,0.25362417101860046,0.26687872409820557,0.14221154153347015,0.19403864443302155,0.25849398970603943,0.26687872409820557,0.12916399538516998,0.4695145785808563
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.2790124714374542,0.202833354473114,0.5116966962814331,0.5171257257461548,0.20959050953388214,0.20544172823429108
ii,0.20800143480300903,0.18301032483577728,0.2631464898586273,0.16671699285507202,0.11042829602956772,0.2844806909561157,0.2631464898586273,0.17609332501888275,0.11928234249353409
),0.2457384318113327,0.37732169032096863,0.3456730246543884,0.2881450951099396,0.2467087209224701,0.3680361211299896,0.3456730246543884,0.20362429320812225,0.42300865054130554
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.2790124714374542,0.202833354473114,0.5116966962814331,0.5171257257461548,0.20959050953388214,0.20544172823429108
chuck,0.25068074464797974,0.1486552357673645,0.18221957981586456,0.04925597086548805,0.28654366731643677,0.15612764656543732,0.18221957981586456,0.2440265566110611,0.23381391167640686
howley,0.2775522470474243,0.12124558538198471,0.18301665782928467,0.0960858017206192,0.2570052444934845,0.19112224876880646,0.18301665782928467,0.23802492022514343,0.23596522212028503
(,0.2443375140428543,0.35393038392066956,0.33289089798927307,0.27962008118629456,0.2489609718322754,0.35032153129577637,0.33289089798927307,0.22258663177490234,0.40561532974243164
mvp,0.15547040104866028,0.14655865728855133,0.19830666482448578,0.19243820011615753,0.49506956338882446,0.16760475933551788,0.19830666482448578,0.43668341636657715,0.19954749941825867
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.3116828501224518,0.19996441900730133,1.0,0.733189046382904,0.19310332834720612,0.1826142966747284
super,0.1819351613521576,0.15390309691429138,0.21959073841571808,0.15244346857070923,0.28511252999305725,0.14718765020370483,0.21959073841571808,0.36141330003738403,0.166326642036438
bowl,0.09189514070749283,0.14233897626399994,0.21576224267482758,0.14665403962135315,0.37160974740982056,0.2243070751428604,0.21576224267482758,0.4351775348186493,0.21118052303791046
v,0.06742344051599503,0.16126930713653564,0.18580520153045654,0.15913373231887817,0.09086024761199951,0.1655031144618988,0.18580520153045654,0.12139896303415298,0.28677162528038025
),0.2457384318113327,0.37732169032096863,0.3456730246543884,0.2881450951099396,0.2467087209224701,0.3680361211299896,0.3456730246543884,0.20362429320812225,0.42300865054130554
appeared,0.22738154232501984,0.19678987562656403,0.30265679955482483,0.1586582064628601,0.14093999564647675,0.24007049202919006,0.30265679955482483,0.19083990156650543,0.1384376585483551
via,0.12545354664325714,0.18325740098953247,0.23979412019252777,0.04933956637978554,0.11374733597040176,0.1293322592973709,0.23979412019252777,0.13642233610153198,0.19443516433238983
video,0.24429279565811157,0.19670651853084564,0.2506899833679199,0.06632932275533676,0.19295381009578705,0.20452004671096802,0.2506899833679199,0.17722296714782715,0.22771678864955902
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.267320841550827,0.2844501733779907,0.4946078956127167,0.4933079481124878,0.2558487057685852,0.31091248989105225
while,0.4068111777305603,0.2713196575641632,0.39804592728614807,0.15988938510417938,0.22108832001686096,0.3366928696632385,0.39804592728614807,0.23601266741752625,0.21076419949531555
peyton,0.2135157585144043,0.23490853607654572,0.2709864377975464,0.16797982156276703,0.4457186758518219,0.19771021604537964,0.2709864377975464,0.34262970089912415,0.17519715428352356
manning,0.33436715602874756,0.15379270911216736,0.27058160305023193,0.16001249849796295,0.5449647903442383,0.20024974644184113,0.27058160305023193,0.4807402193546295,0.15856626629829407
(,0.2443375140428543,0.35393038392066956,0.33289089798927307,0.27962008118629456,0.2489609718322754,0.35032153129577637,0.33289089798927307,0.22258663177490234,0.40561532974243164
mvp,0.15547040104866028,0.14655865728855133,0.19830666482448578,0.19243820011615753,0.49506956338882446,0.16760475933551788,0.19830666482448578,0.43668341636657715,0.19954749941825867
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.3116828501224518,0.19996441900730133,1.0,0.733189046382904,0.19310332834720612,0.1826142966747284
super,0.1819351613521576,0.15390309691429138,0.21959073841571808,0.15244346857070923,0.28511252999305725,0.14718765020370483,0.21959073841571808,0.36141330003738403,0.166326642036438
bowl,0.09189514070749283,0.14233897626399994,0.21576224267482758,0.14665403962135315,0.37160974740982056,0.2243070751428604,0.21576224267482758,0.4351775348186493,0.21118052303791046
xli,0.15607629716396332,0.19028188288211823,0.2716911733150482,0.14438410103321075,0.4352197051048279,0.1748717576265335,0.2716911733150482,0.4290525019168854,0.17183956503868103
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.2790124714374542,0.202833354473114,0.5116966962814331,0.5171257257461548,0.20959050953388214,0.20544172823429108
current,0.18425484001636505,0.2555285692214966,0.3314409554004669,0.3214060366153717,0.20573781430721283,0.31470298767089844,0.3314409554004669,0.25580063462257385,0.12074550241231918
broncos,0.1763724684715271,0.1288805603981018,0.25985947251319885,0.18723177909851074,0.5632858872413635,0.19310332834720612,0.25985947251319885,1.0000001192092896,0.18377114832401276
quarterback,0.17410103976726532,0.19901543855667114,0.23757418990135193,0.16862551867961884,1.0000001192092896,0.19996441900730133,0.23757418990135193,0.5632858872413635,0.13221268355846405
),0.2457384318113327,0.37732169032096863,0.3456730246543884,0.2881450951099396,0.2467087209224701,0.3680361211299896,0.3456730246543884,0.20362429320812225,0.42300865054130554
was,0.3318818509578705,0.5810302495956421,0.48711544275283813,0.1278916448354721,0.24103644490242004,0.4069072902202606,0.48711544275283813,0.23574475944042206,0.18412111699581146
shown,0.16586925089359283,0.2509501576423645,0.3387985825538635,0.2208462804555893,0.09803535044193268,0.24332952499389648,0.3387985825538635,0.1303578019142151,0.2433658242225647
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.23905439674854279,0.17283181846141815,0.5696388483047485,0.6662389636039734,0.20316283404827118,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,1.0,0.2829846143722534,0.23757418990135193,0.733189046382904,1.0,0.25985947251319885,0.22068053483963013
locker,0.25872573256492615,0.1799178123474121,0.23370850086212158,0.054296545684337616,0.27527934312820435,0.13386467099189758,0.23370850086212158,0.27871108055114746,0.172280952334404
room,0.2733173370361328,0.21233920753002167,0.2031363844871521,0.1792743057012558,0.15981332957744598,0.15195634961128235,0.2031363844871521,0.21662794053554535,0.1769251674413681
preparing,0.1806691586971283,0.12569595873355865,0.2806416451931,0.13662275671958923,0.1131572425365448,0.28603753447532654,0.2806416451931,0.13546216487884521,0.18170884251594543
for,0.37110671401023865,0.43268078565597534,0.4739971458911896,0.2564438581466675,0.2683273255825043,0.4185989499092102,0.4739971458911896,0.2739109396934509,0.264628142118454
the,0.3733934462070465,0.5823672413825989,1.0,0.2829846143722534,0.23757418990135193,0.733189046382904,1.0,0.25985947251319885,0.22068053483963013
game,0.2523840069770813,0.21222543716430664,0.285271555185318,0.117177814245224,0.3376569449901581,0.2298848181962967,0.285271555185318,0.32325026392936707,0.1829071193933487
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.23765113949775696,0.23691914975643158,0.5352458953857422,0.5934505462646484,0.2612393796443939,0.4130953550338745
