,who,is,currently,speaker,of,the,scottish,parliament,?
after,0.32549580931663513,0.2835143506526947,0.21121478080749512,0.10959072411060333,0.3867455720901489,0.4565047025680542,0.15483666956424713,0.23273243010044098,0.16608688235282898
each,0.27337536215782166,0.2954041659832001,0.19868072867393494,0.16363215446472168,0.38460010290145874,0.470844566822052,0.13657651841640472,0.14252392947673798,0.21173812448978424
election,0.24774396419525146,0.16769170761108398,0.1463346928358078,0.3757719099521637,0.23051156103610992,0.22873377799987793,0.23304839432239532,0.5570003986358643,0.23105260729789734
to,0.42656609416007996,0.42745086550712585,0.2719990611076355,0.24891553819179535,0.41548454761505127,0.535392165184021,0.1268421709537506,0.20290622115135193,0.29463258385658264
the,0.3733934462070465,0.5823672413825989,0.2945235073566437,0.24416065216064453,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
scottish,0.27621203660964966,0.16398480534553528,0.18670697510242462,0.2368481606245041,0.1698460429906845,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.06442669779062271
parliament,0.237068772315979,0.19676777720451355,0.22299550473690033,0.4162169396877289,0.2885259687900543,0.26521381735801697,0.3418616056442261,1.0,0.1586504578590393
",",0.3365725874900818,0.4691906273365021,0.33041635155677795,0.2610192596912384,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.31091248989105225
at,0.22096660733222961,0.25906258821487427,0.210249125957489,0.22048266232013702,0.42558613419532776,0.457212895154953,0.14378440380096436,0.17480722069740295,0.21978627145290375
the,0.3733934462070465,0.5823672413825989,0.2945235073566437,0.24416065216064453,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
beginning,0.25200510025024414,0.2446223646402359,0.16042281687259674,0.18406549096107483,0.36558160185813904,0.49622642993927,0.0958116427063942,0.16858810186386108,0.19413669407367706
of,0.2827862501144409,0.4854315221309662,0.2655649185180664,0.2137414962053299,1.0,0.733189046382904,0.1698460429906845,0.2885259687900543,0.1826142966747284
each,0.27337536215782166,0.2954041659832001,0.19868072867393494,0.16363215446472168,0.38460010290145874,0.470844566822052,0.13657651841640472,0.14252392947673798,0.21173812448978424
parliamentary,0.20465344190597534,0.1731702983379364,0.20997026562690735,0.3837071359157562,0.33805084228515625,0.2708897888660431,0.3121192455291748,0.8464457392692566,0.1612216979265213
session,0.198623925447464,0.1451595574617386,0.17038266360759735,0.3066171109676361,0.18514622747898102,0.2187730073928833,0.18734458088874817,0.31762444972991943,0.1393868774175644
",",0.3365725874900818,0.4691906273365021,0.33041635155677795,0.2610192596912384,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.31091248989105225
parliament,0.237068772315979,0.19676777720451355,0.22299550473690033,0.4162169396877289,0.2885259687900543,0.26521381735801697,0.3418616056442261,1.0,0.1586504578590393
elects,0.28590357303619385,0.23961922526359558,0.19696086645126343,0.4068673849105835,0.2989093065261841,0.2653489410877228,0.1952398270368576,0.5478463172912598,0.19486498832702637
one,0.40083858370780945,0.4544198513031006,0.29175806045532227,0.15681995451450348,0.4999135136604309,0.5514441132545471,0.1910877674818039,0.14608411490917206,0.2673267424106598
msp,0.20189756155014038,0.22696147859096527,0.32421809434890747,0.3674108684062958,0.2572315037250519,0.23818017542362213,0.45185530185699463,0.4907226264476776,0.18440690636634827
to,0.42656609416007996,0.42745086550712585,0.2719990611076355,0.24891553819179535,0.41548454761505127,0.535392165184021,0.1268421709537506,0.20290622115135193,0.29463258385658264
serve,0.2677389681339264,0.22737301886081696,0.21458934247493744,0.2550957500934601,0.2656401991844177,0.2749462425708771,0.09785868227481842,0.18732470273971558,0.19925682246685028
as,0.3923053741455078,0.43216490745544434,0.32914450764656067,0.24382005631923676,0.3886612355709076,0.48381632566452026,0.185140922665596,0.1639251410961151,0.27043893933296204
presiding,0.24317249655723572,0.2072397768497467,0.17026902735233307,0.4357675015926361,0.3004159927368164,0.3267684876918793,0.2087658792734146,0.3959604501724243,0.177648663520813
officer,0.31437572836875916,0.19916827976703644,0.12953808903694153,0.24567334353923798,0.23883900046348572,0.25777485966682434,0.13719971477985382,0.2183782458305359,0.119948610663414
",",0.3365725874900818,0.4691906273365021,0.33041635155677795,0.2610192596912384,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,0.2945235073566437,0.24416065216064453,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
equivalent,0.13101550936698914,0.31158339977264404,0.19535253942012787,0.19329549372196198,0.294894814491272,0.25884127616882324,0.08170054107904434,0.1052246242761612,0.19755122065544128
of,0.2827862501144409,0.4854315221309662,0.2655649185180664,0.2137414962053299,1.0,0.733189046382904,0.1698460429906845,0.2885259687900543,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.2945235073566437,0.24416065216064453,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
speaker,0.2956448793411255,0.23745733499526978,0.18527378141880035,0.9999999403953552,0.2137414962053299,0.24416065216064453,0.2368481606245041,0.4162169396877289,0.1758522391319275
(,0.2443375140428543,0.35393038392066956,0.25274062156677246,0.21152441203594208,0.35032153129577637,0.33289089798927307,0.1946880966424942,0.1706518530845642,0.40561532974243164
currently,0.3362814784049988,0.4011616110801697,1.0000001192092896,0.18527378141880035,0.2655649185180664,0.2945235073566437,0.18670697510242462,0.22299550473690033,0.1861555278301239
tricia,0.17589399218559265,0.079879991710186,0.07539653778076172,0.09358873963356018,0.04233246669173241,0.08832257986068726,0.1410491019487381,0.08448872715234756,0.17469912767410278
marwick,0.2555413246154785,0.2389296144247055,0.18571993708610535,0.202179953455925,0.23818182945251465,0.24286772310733795,0.3627069890499115,0.2772940695285797,0.1366611123085022
),0.2457384318113327,0.37732169032096863,0.24783915281295776,0.22813697159290314,0.3680361211299896,0.3456730246543884,0.17440292239189148,0.18304091691970825,0.42300865054130554
",",0.3365725874900818,0.4691906273365021,0.33041635155677795,0.2610192596912384,0.4946078956127167,0.4933079481124878,0.21369139850139618,0.25442883372306824,0.31091248989105225
and,0.41279885172843933,0.3859752118587494,0.2922934591770172,0.22946549952030182,0.5116966962814331,0.5171257257461548,0.2972351908683777,0.26227831840515137,0.20544172823429108
