,under,which,leader,did,the,huguenots,fight,in,this,conflict,?
huguenot,0.20479018986225128,0.22239398956298828,0.2962123155593872,0.22897696495056152,0.29557526111602783,0.9459913372993469,0.21660512685775757,0.26198551058769226,0.2300579845905304,0.23398172855377197,0.1359742432832718
regiments,0.2546849846839905,0.2172347605228424,0.21478480100631714,0.17906026542186737,0.2910691201686859,0.32331582903862,0.27494949102401733,0.26009050011634827,0.21128755807876587,0.1919160783290863,0.13045227527618408
fought,0.2043081372976303,0.14251495897769928,0.2811770737171173,0.244978666305542,0.30367159843444824,0.3276073634624481,0.5984284281730652,0.27511686086654663,0.21261942386627197,0.3883625864982605,0.15288178622722626
for,0.2930702269077301,0.44095608592033386,0.1646857112646103,0.318512886762619,0.4739971458911896,0.17568211257457733,0.20539981126785278,0.4322226941585541,0.5082864165306091,0.1924027055501938,0.264628142118454
william,0.12446936964988708,0.13988013565540314,0.136001855134964,0.24349860846996307,0.21537061035633087,0.3349591791629791,0.17416267096996307,0.21605195105075836,0.14386652410030365,0.16706684231758118,0.14462219178676605
of,0.32766106724739075,0.5011631846427917,0.24122127890586853,0.2513895630836487,0.733189046382904,0.27577435970306396,0.20101141929626465,0.5696388483047485,0.45148900151252747,0.2620731294155121,0.1826142966747284
orange,0.10610634833574295,0.20850969851016998,0.10498043894767761,0.10191533714532852,0.20814983546733856,0.13433197140693665,0.10863903909921646,0.20098833739757538,0.17751182615756989,0.1025955006480217,0.1066059097647667
in,0.2535393238067627,0.4840516746044159,0.22669851779937744,0.2593238651752472,0.6662389636039734,0.25916293263435364,0.20735964179039001,1.0,0.45205554366111755,0.259853720664978,0.20430970191955566
the,0.3348022699356079,0.6521818041801453,0.27799519896507263,0.34736719727516174,1.0,0.30745792388916016,0.28874441981315613,0.6662389636039734,0.6274310946464539,0.2974752187728882,0.22068053483963013
williamite,0.1660931408405304,0.24282510578632355,0.1999422311782837,0.28864097595214844,0.29845479130744934,0.316061407327652,0.23889370262622833,0.30293017625808716,0.19524051249027252,0.17258180677890778,0.20239494740962982
war,0.16941870748996735,0.2244700789451599,0.251504123210907,0.27422013878822327,0.366199791431427,0.3339972198009491,0.4098190665245056,0.29904094338417053,0.29429852962493896,0.49024683237075806,0.15510529279708862
