,what,is,the,name,of,another,compelling,continuation,of,the,fermat,primality,test,?
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.15184196829795837,0.30478984117507935,0.4338461756706238,0.34869644045829773,0.2891343832015991,0.30478984117507935,0.39758381247520447,0.22476862370967865,0.23726950585842133,0.1658080518245697,0.27894994616508484
powerful,0.20215895771980286,0.22661225497722626,0.3115491271018982,0.13939213752746582,0.2867213189601898,0.24978643655776978,0.17467579245567322,0.13455893099308014,0.2867213189601898,0.3115491271018982,0.01583154872059822,0.09656322747468948,0.12503443658351898,0.12160622328519821
extensions,0.2237429916858673,0.23678432404994965,0.2811371684074402,0.17746274173259735,0.23649635910987854,0.21278440952301025,0.24340765178203583,0.2953236997127533,0.23649635910987854,0.2811371684074402,0.1639978587627411,0.24970701336860657,0.2211257666349411,0.267410010099411
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.38147079944610596,0.2634647488594055,0.32713258266448975,1.0,0.733189046382904,0.19480057060718536,0.28515246510505676,0.164191335439682,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.5019711852073669,0.2782888412475586,0.41826045513153076,0.733189046382904,1.0,0.20773477852344513,0.25188151001930237,0.19235259294509888,0.22068053483963013
fermat,0.21418137848377228,0.21814440190792084,0.20773477852344513,0.15451081097126007,0.19480057060718536,0.22886164486408234,0.20574569702148438,0.24888953566551208,0.19480057060718536,0.20773477852344513,1.0000001192092896,0.37861356139183044,0.23552359640598297,0.19266122579574585
primality,0.2850114405155182,0.24844646453857422,0.25188151001930237,0.1399572342634201,0.28515246510505676,0.23624685406684875,0.37038159370422363,0.26305702328681946,0.28515246510505676,0.25188151001930237,0.37861356139183044,1.0,0.32035455107688904,0.24305593967437744
test,0.2596650719642639,0.1841357946395874,0.19235259294509888,0.10839720815420151,0.164191335439682,0.23529495298862457,0.21525970101356506,0.18090786039829254,0.164191335439682,0.19235259294509888,0.23552359640598297,0.32035455107688904,1.0000001192092896,0.19832737743854523
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3283841907978058,0.3030325174331665,0.2539788484573364,0.4946078956127167,0.4933079481124878,0.23757247626781464,0.2514013350009918,0.17614826560020447,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.14280109107494354,0.3209529519081116,0.268036812543869,0.30256766080856323,0.23059456050395966,0.3209529519081116,0.3575236201286316,0.14184115827083588,0.28375497460365295,0.19516275823116302,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.3282026946544647,0.2571569085121155,0.28988713026046753,0.3886612355709076,0.48381632566452026,0.15061551332473755,0.22049500048160553,0.21085862815380096,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,0.5019711852073669,0.2782888412475586,0.41826045513153076,0.733189046382904,1.0,0.20773477852344513,0.25188151001930237,0.19235259294509888,0.22068053483963013
baillie-psw,0.1344558447599411,0.1993332952260971,0.2523362934589386,0.14288778603076935,0.2528696358203888,0.17655393481254578,0.17056263983249664,0.11836577206850052,0.2528696358203888,0.2523362934589386,0.25887295603752136,0.21631985902786255,0.1903470903635025,0.15805628895759583
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3283841907978058,0.3030325174331665,0.2539788484573364,0.4946078956127167,0.4933079481124878,0.23757247626781464,0.2514013350009918,0.17614826560020447,0.31091248989105225
miller-rabin,0.20566798746585846,0.2335260808467865,0.292863667011261,0.14649885892868042,0.2625161111354828,0.24932733178138733,0.2214779406785965,0.1828477829694748,0.2625161111354828,0.292863667011261,0.3305162787437439,0.26360100507736206,0.20152559876441956,0.21750137209892273
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3283841907978058,0.3030325174331665,0.2539788484573364,0.4946078956127167,0.4933079481124878,0.23757247626781464,0.2514013350009918,0.17614826560020447,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.3214244842529297,0.24375416338443756,0.25166255235671997,0.5116966962814331,0.5171257257461548,0.14291872084140778,0.2639926075935364,0.22158049046993256,0.20544172823429108
solovay-strassen,0.1591489464044571,0.18707586824893951,0.2286502718925476,0.2040950357913971,0.2689172029495239,0.22784128785133362,0.22978128492832184,0.16582520306110382,0.2689172029495239,0.2286502718925476,0.3038293719291687,0.28192976117134094,0.1930670440196991,0.22620439529418945
tests,0.28057941794395447,0.19474288821220398,0.24070581793785095,0.1125551238656044,0.20151495933532715,0.21711057424545288,0.2316950112581253,0.16532206535339355,0.20151495933532715,0.24070581793785095,0.23082596063613892,0.3223152756690979,0.7725468277931213,0.18650490045547485
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3283841907978058,0.3030325174331665,0.2539788484573364,0.4946078956127167,0.4933079481124878,0.23757247626781464,0.2514013350009918,0.17614826560020447,0.31091248989105225
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.23159852623939514,0.24688005447387695,0.1796770989894867,0.39081433415412903,0.40399202704429626,0.19510826468467712,0.20207759737968445,0.19636113941669464,0.24591213464736938
guaranteed,0.27695000171661377,0.23053346574306488,0.3566535413265228,0.16352638602256775,0.3433346152305603,0.27608200907707214,0.37982305884361267,0.29042601585388184,0.3433346152305603,0.3566535413265228,0.2221614271402359,0.2802388072013855,0.19395165145397186,0.22782903909683228
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.48769932985305786,0.39322224259376526,0.28057393431663513,0.41548454761505127,0.535392165184021,0.17767852544784546,0.22107408940792084,0.23725658655166626,0.29463258385658264
