,what,was,th,elast,super,bowl,where,the,broncos,wore,white,uniforms,?
the,0.42745697498321533,0.48711544275283813,0.36360010504722595,0.25725075602531433,0.21959073841571808,0.21576224267482758,0.5003893971443176,1.0,0.25985947251319885,0.2265123575925827,0.25492873787879944,0.24092966318130493,0.22068053483963013
broncos,0.1787765771150589,0.23574475944042206,0.18999512493610382,0.22267168760299683,0.36141330003738403,0.4351775348186493,0.20474667847156525,0.25985947251319885,1.0000001192092896,0.28808706998825073,0.19174246490001678,0.28786805272102356,0.18377114832401276
last,0.23175878822803497,0.32424551248550415,0.3285049796104431,0.2869797945022583,0.17231976985931396,0.20327796041965485,0.21206308901309967,0.3698786795139313,0.14458541572093964,0.19948551058769226,0.15455396473407745,0.1373271495103836,0.22371746599674225
wore,0.16125711798667908,0.3308514654636383,0.19517120718955994,0.22606822848320007,0.16364960372447968,0.17592862248420715,0.1139400452375412,0.2265123575925827,0.28808706998825073,0.9999999403953552,0.35954463481903076,0.547256350517273,0.11052817106246948
matching,0.25211000442504883,0.09847573190927505,0.06796525418758392,0.32381829619407654,0.08712805807590485,0.16784971952438354,0.26411065459251404,0.25132954120635986,0.18063925206661224,0.20155705511569977,0.20766191184520721,0.28552842140197754,0.2242019772529602
white,0.1410645991563797,0.17150278389453888,0.12239907681941986,0.18421605229377747,0.11256568133831024,0.17490817606449127,0.1612369567155838,0.25492873787879944,0.19174246490001678,0.35954463481903076,1.0,0.34457963705062866,0.124679796397686
jerseys,0.11635155230760574,0.18702057003974915,0.16756391525268555,0.2613416612148285,0.23186436295509338,0.19441187381744385,0.1961464285850525,0.279405415058136,0.4152030646800995,0.48668286204338074,0.31623485684394836,0.49412232637405396,0.0964861810207367
and,0.31309178471565247,0.3740963041782379,0.24597740173339844,0.18959565460681915,0.18368244171142578,0.1698254644870758,0.43859338760375977,0.5171257257461548,0.20959050953388214,0.19566401839256287,0.2696375846862793,0.2257126122713089,0.20544172823429108
pants,0.1608412116765976,0.15645967423915863,0.10714542120695114,0.27286767959594727,0.2106703817844391,0.2013835906982422,0.16892175376415253,0.15805065631866455,0.31517717242240906,0.5057153701782227,0.2735682427883148,0.4930434823036194,0.17935864627361298
in,0.30808621644973755,0.45514053106307983,0.307797372341156,0.1711571365594864,0.18576006591320038,0.17236235737800598,0.5344807505607605,0.6662389636039734,0.20316283404827118,0.2072577178478241,0.1821274310350418,0.19122402369976044,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,0.36360010504722595,0.25725075602531433,0.21959073841571808,0.21576224267482758,0.5003893971443176,1.0,0.25985947251319885,0.2265123575925827,0.25492873787879944,0.24092966318130493,0.22068053483963013
super,0.13651713728904724,0.21420986950397491,0.18580615520477295,0.22298550605773926,1.0000001192092896,0.4848237931728363,0.17802926898002625,0.21959073841571808,0.36141330003738403,0.16364960372447968,0.11256568133831024,0.1960538625717163,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.10512689501047134,0.25320395827293396,0.4848237931728363,1.0,0.18910634517669678,0.21576224267482758,0.4351775348186493,0.17592862248420715,0.17490817606449127,0.15275798738002777,0.21118052303791046
in,0.30808621644973755,0.45514053106307983,0.307797372341156,0.1711571365594864,0.18576006591320038,0.17236235737800598,0.5344807505607605,0.6662389636039734,0.20316283404827118,0.2072577178478241,0.1821274310350418,0.19122402369976044,0.20430970191955566
super,0.13651713728904724,0.21420986950397491,0.18580615520477295,0.22298550605773926,1.0000001192092896,0.4848237931728363,0.17802926898002625,0.21959073841571808,0.36141330003738403,0.16364960372447968,0.11256568133831024,0.1960538625717163,0.166326642036438
bowl,0.15942467749118805,0.21915455162525177,0.10512689501047134,0.25320395827293396,0.4848237931728363,1.0,0.18910634517669678,0.21576224267482758,0.4351775348186493,0.17592862248420715,0.17490817606449127,0.15275798738002777,0.21118052303791046
xxxiii,0.13784337043762207,0.2836242914199829,0.25253039598464966,0.25453299283981323,0.521435022354126,0.5332549810409546,0.20189222693443298,0.3131234347820282,0.46111395955085754,0.21195809543132782,0.14468711614608765,0.2290738970041275,0.19756333529949188
",",0.3087472915649414,0.45456063747406006,0.30680420994758606,0.1669546216726303,0.22322475910186768,0.1810409277677536,0.3149496018886566,0.4933079481124878,0.2558487057685852,0.2022600620985031,0.27337658405303955,0.17297542095184326,0.31091248989105225
