,the,modern,trend,in,design,is,toward,integration,of,what,?
the,1.0,0.3283970355987549,0.23692767322063446,0.6662389636039734,0.27913451194763184,0.5823672413825989,0.3341628313064575,0.32554522156715393,0.733189046382904,0.42745697498321533,0.22068053483963013
modern,0.3283970355987549,0.9999999403953552,0.227312371134758,0.29808807373046875,0.2635115087032318,0.24170172214508057,0.13586845993995667,0.20355646312236786,0.3482828736305237,0.2655639946460724,0.12475407868623734
trend,0.23692767322063446,0.227312371134758,1.0,0.19545964896678925,0.28951913118362427,0.19070231914520264,0.30758652091026306,0.3346596658229828,0.17461234331130981,0.22732172906398773,0.10325077921152115
in,0.6662389636039734,0.29808807373046875,0.19545964896678925,1.0,0.21856798231601715,0.5394441485404968,0.2282264530658722,0.24832533299922943,0.5696388483047485,0.30808621644973755,0.20430970191955566
design,0.27913451194763184,0.2635115087032318,0.28951913118362427,0.21856798231601715,1.0000001192092896,0.18976035714149475,0.18279683589935303,0.29494035243988037,0.2522938847541809,0.23893405497074127,0.16351860761642456
is,0.5823672413825989,0.24170172214508057,0.19070231914520264,0.5394441485404968,0.18976035714149475,1.0,0.20858484506607056,0.19641396403312683,0.4854315221309662,0.28837618231773376,0.22961433231830597
toward,0.3341628313064575,0.13586845993995667,0.30758652091026306,0.2282264530658722,0.18279683589935303,0.20858484506607056,1.0,0.2711459994316101,0.25209522247314453,0.2619364559650421,0.09989774227142334
integration,0.32554522156715393,0.20355646312236786,0.3346596658229828,0.24832533299922943,0.29494035243988037,0.19641396403312683,0.2711459994316101,1.0,0.2982959747314453,0.2495548278093338,0.17221741378307343
of,0.733189046382904,0.3482828736305237,0.17461234331130981,0.5696388483047485,0.2522938847541809,0.4854315221309662,0.25209522247314453,0.2982959747314453,1.0,0.33290785551071167,0.1826142966747284
previously,0.33854439854621887,0.150612011551857,0.19240471720695496,0.2762584090232849,0.1831023395061493,0.24012024700641632,0.07803255319595337,0.20311585068702698,0.2850290536880493,0.24305304884910583,0.15811841189861298
separated,0.27899038791656494,0.17046746611595154,0.07149911671876907,0.26304155588150024,0.1250600814819336,0.18671321868896484,0.1928202211856842,0.15009842813014984,0.27533861994743347,0.18778635561466217,0.0923643484711647
specialties,0.2468385398387909,0.24872733652591705,0.1680847555398941,0.25794950127601624,0.24832405149936676,0.19214536249637604,0.13782639801502228,0.3180272579193115,0.23421843349933624,0.24757270514965057,0.2691631317138672
",",0.4933079481124878,0.2557750344276428,0.2384498566389084,0.5201468467712402,0.19350415468215942,0.4691906273365021,0.22729860246181488,0.24500080943107605,0.4946078956127167,0.3087472915649414,0.31091248989105225
especially,0.39420849084854126,0.322200745344162,0.3046553134918213,0.3526567816734314,0.17557953298091888,0.32683345675468445,0.28046029806137085,0.25801387429237366,0.37220633029937744,0.3590192496776581,0.19751401245594025
among,0.3507058024406433,0.1965177357196808,0.15658698976039886,0.3211768567562103,0.13217805325984955,0.21956473588943481,0.28518950939178467,0.21975922584533691,0.3679063022136688,0.21154822409152985,0.14343059062957764
large,0.3828733265399933,0.25895655155181885,0.16613011062145233,0.2841601073741913,0.21193964779376984,0.2971126437187195,0.24267300963401794,0.2530347406864166,0.3569655418395996,0.2017821967601776,0.1355665624141693
firms,0.2687743306159973,0.2338515669107437,0.24399115145206451,0.2437836080789566,0.31464797258377075,0.22645826637744904,0.17007005214691162,0.3070297837257385,0.23259897530078888,0.19687598943710327,0.1337330937385559
.,0.5934505462646484,0.22790057957172394,0.23819147050380707,0.5591574311256409,0.24995818734169006,0.4569662809371948,0.21516545116901398,0.2863176465034485,0.5352458953857422,0.3567904531955719,0.4130953550338745
