,why,has,the,muslim,brotherhood,facilitated,inexpensive,mass,marriage,ceremonies,?
islamist,0.21436528861522675,0.12281148880720139,0.2459319531917572,0.6390535831451416,0.427336186170578,0.2824777364730835,0.14797881245613098,0.10620084404945374,0.14172208309173584,0.11823467910289764,0.14697067439556122
movements,0.15004007518291473,0.18506862223148346,0.31594985723495483,0.2667117714881897,0.30064424872398376,0.28909480571746826,0.13768036663532257,0.21709109842777252,0.18208356201648712,0.26713263988494873,0.1501890867948532
such,0.2994317412376404,0.26101309061050415,0.3575236201286316,0.16065463423728943,0.22414007782936096,0.285590797662735,0.3432762920856476,0.22491741180419922,0.11721029877662659,0.22571606934070587,0.17851735651493073
as,0.3103298544883728,0.351646363735199,0.48381632566452026,0.22233983874320984,0.22813482582569122,0.2491346001625061,0.2800333499908447,0.20994383096694946,0.21381816267967224,0.2033310979604721,0.27043893933296204
the,0.30742117762565613,0.4177538752555847,1.0,0.28099653124809265,0.2368839830160141,0.21257402002811432,0.21114370226860046,0.2284930944442749,0.17375090718269348,0.26092329621315,0.22068053483963013
muslim,0.21870869398117065,0.1731201708316803,0.28099653124809265,1.0,0.41785529255867004,0.18982180953025818,0.16433368623256683,0.1345745474100113,0.20372767746448517,0.2367403656244278,0.17456822097301483
brotherhood,0.17193818092346191,0.1387953758239746,0.2368839830160141,0.41785529255867004,0.9999998807907104,0.24454325437545776,0.11714832484722137,0.12318508327007294,0.2735709249973297,0.2478751540184021,0.1117945984005928
",",0.2827242314815521,0.3734780251979828,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.20515024662017822,0.19888900220394135,0.2439754158258438,0.25912216305732727,0.17422431707382202,0.31091248989105225
``,0.05334433168172836,0.06254398077726364,0.029072100296616554,0.1470780074596405,-0.030100610107183456,-0.021742410957813263,-0.06597287207841873,0.05638721585273743,0.07312694936990738,0.03463931009173393,0.0685480609536171
are,0.3273901343345642,0.4313911199569702,0.40399202704429626,0.19271345436573029,0.19225813448429108,0.21401122212409973,0.32973092794418335,0.19478152692317963,0.11759795248508453,0.2021910846233368,0.24591213464736938
well,0.35762685537338257,0.3327649235725403,0.42630070447921753,0.21200791001319885,0.1805972158908844,0.2855556607246399,0.3009642958641052,0.18064218759536743,0.15023687481880188,0.21553951501846313,0.24815571308135986
known,0.17885276675224304,0.2451976239681244,0.3624623417854309,0.169891819357872,0.16414982080459595,0.12727069854736328,0.2556650936603546,0.14433427155017853,0.12900838255882263,0.1894683986902237,0.18314571678638458
for,0.3869043290615082,0.450642853975296,0.4739971458911896,0.21262682974338531,0.21096177399158478,0.30986204743385315,0.28997328877449036,0.18664062023162842,0.19036811590194702,0.2774517834186554,0.264628142118454
providing,0.2273292988538742,0.24969029426574707,0.29839932918548584,0.16536299884319305,0.23995248973369598,0.42346087098121643,0.3374330997467041,0.1309565156698227,0.13063473999500275,0.12678058445453644,0.1936793476343155
shelters,0.2230447679758072,0.19421601295471191,0.23867706954479218,0.20070497691631317,0.2249099165201187,0.3146793246269226,0.3636555075645447,0.17528754472732544,0.18818747997283936,0.2884261906147003,0.16473335027694702
",",0.2827242314815521,0.3734780251979828,0.4933079481124878,0.21974200010299683,0.21324464678764343,0.20515024662017822,0.19888900220394135,0.2439754158258438,0.25912216305732727,0.17422431707382202,0.31091248989105225
educational,0.1745714396238327,0.24540741741657257,0.22737358510494232,0.24978484213352203,0.24282754957675934,0.40101778507232666,0.20251184701919556,0.15966810286045074,0.21657900512218475,0.16902774572372437,0.20904642343521118
assistance,0.16337665915489197,0.09772477298974991,0.19771957397460938,0.17709414660930634,0.20535360276699066,0.3293841779232025,0.1557132601737976,0.10176286101341248,0.1655300408601761,0.10995790362358093,0.14602699875831604
