,what,was,the,main,radio,network,in,the,1940s,in,america,?
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.2409709095954895,0.20139797031879425,0.20603609085083008,0.4374977946281433,0.457212895154953,-0.14857468008995056,0.4374977946281433,0.1539384126663208,0.21978627145290375
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.3140498101711273,0.13973630964756012,0.2984007000923157,0.435920387506485,0.5473989248275757,-0.21698234975337982,0.435920387506485,0.28841280937194824,0.32716336846351624
time,0.36319252848625183,0.3641340136528015,0.43061500787734985,0.14812199771404266,0.18467624485492706,0.21207119524478912,0.3431483507156372,0.43061500787734985,-0.1486840844154358,0.3431483507156372,0.24630923569202423,0.27391523122787476
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.25251123309135437,0.1932937651872635,0.5201468467712402,0.4933079481124878,-0.09057419002056122,0.5201468467712402,0.253568559885025,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.38631999492645264,0.23511973023414612,0.27187061309814453,0.6662389636039734,1.0,-0.15126122534275055,0.6662389636039734,0.37090015411376953,0.22068053483963013
nbc,0.1638578325510025,0.251334547996521,0.20618264377117157,0.14221811294555664,0.40396854281425476,0.4656192362308502,0.19303210079669952,0.20618264377117157,-0.05519785359501839,0.19303210079669952,0.283139169216156,0.1680917739868164
red,0.16784515976905823,0.1680612564086914,0.2817947566509247,0.09459278732538223,0.1019945815205574,0.08126477152109146,0.18753071129322052,0.2817947566509247,-0.17877055704593658,0.18753071129322052,0.14226022362709045,0.1495664119720459
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.1812800019979477,0.3433379530906677,1.0000001192092896,0.19496823847293854,0.27187061309814453,-0.14665985107421875,0.19496823847293854,0.2160404473543167,0.17853789031505585
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.21035033464431763,0.20381812751293182,0.1994880586862564,0.45514053106307983,0.48711544275283813,-0.03188508003950119,0.45514053106307983,0.2850865423679352,0.18412111699581146
the,0.42745697498321533,0.48711544275283813,1.0,0.38631999492645264,0.23511973023414612,0.27187061309814453,0.6662389636039734,1.0,-0.15126122534275055,0.6662389636039734,0.37090015411376953,0.22068053483963013
principal,0.1582305133342743,0.1818326860666275,0.23882900178432465,0.30209437012672424,0.12625204026699066,0.13074982166290283,0.2094544768333435,0.23882900178432465,0.11716330051422119,0.2094544768333435,0.1021794006228447,0.10016445070505142
radio,0.16863368451595306,0.20381812751293182,0.23511973023414612,0.16379567980766296,0.9999999403953552,0.3433379530906677,0.22625693678855896,0.23511973023414612,-0.0619606152176857,0.22625693678855896,0.18978674709796906,0.08763375133275986
network,0.16917307674884796,0.1994880586862564,0.27187061309814453,0.1812800019979477,0.3433379530906677,1.0000001192092896,0.19496823847293854,0.27187061309814453,-0.14665985107421875,0.19496823847293854,0.2160404473543167,0.17853789031505585
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.28862449526786804,0.22625693678855896,0.19496823847293854,1.0,0.6662389636039734,-0.12716414034366608,1.0,0.3098583221435547,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.38631999492645264,0.23511973023414612,0.27187061309814453,0.6662389636039734,1.0,-0.15126122534275055,0.6662389636039734,0.37090015411376953,0.22068053483963013
united,0.20036718249320984,0.31727492809295654,0.34367692470550537,0.12981894612312317,0.1854962259531021,0.1803126037120819,0.3938477039337158,0.34367692470550537,-0.007133900187909603,0.3938477039337158,0.43051236867904663,0.17266890406608582
states,0.21526020765304565,0.2847922146320343,0.3463578522205353,0.10718350857496262,0.1858387142419815,0.18116310238838196,0.3977442979812622,0.3463578522205353,0.03128210827708244,0.3977442979812622,0.43992868065834045,0.16272737085819244
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.29831406474113464,0.2658638060092926,0.27591994404792786,0.4954058527946472,0.5171257257461548,-0.11412324011325836,0.4954058527946472,0.2647855281829834,0.20544172823429108
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2989408075809479,0.25251123309135437,0.1932937651872635,0.5201468467712402,0.4933079481124878,-0.09057419002056122,0.5201468467712402,0.253568559885025,0.31091248989105225
according,0.2776208221912384,0.31116798520088196,0.3202974498271942,0.12122757732868195,0.167697474360466,0.08537793159484863,0.29259276390075684,0.3202974498271942,0.03256494924426079,0.29259276390075684,0.14905543625354767,0.21173474192619324
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.26116618514060974,0.16918617486953735,0.25940340757369995,0.45010748505592346,0.535392165184021,-0.15312688052654266,0.45010748505592346,0.2636699676513672,0.29463258385658264
