,what,is,distribution,of,income,from,labor,due,to,the,differences,of,?
within,0.2498195916414261,0.30135563015937805,0.15975846350193024,0.39594778418540955,0.23654690384864807,0.31641101837158203,0.1301196962594986,0.2381017506122589,0.34980177879333496,0.39827480912208557,0.27309650182724,0.39594778418540955,0.1870293766260147
labor,0.1943984031677246,0.13817991316318512,0.1787242591381073,0.23769748210906982,0.28508612513542175,0.1662713587284088,0.9999999403953552,0.15257316827774048,0.21037620306015015,0.21506793797016144,0.16938309371471405,0.23769748210906982,0.19386747479438782
income,0.21837803721427917,0.14559021592140198,0.24441708624362946,0.2581324577331543,1.0,0.17458222806453705,0.28508612513542175,0.1845283955335617,0.27188464999198914,0.23699946701526642,0.3093383312225342,0.2581324577331543,0.14935168623924255
distribution,0.17429208755493164,0.2414398044347763,1.0,0.254255473613739,0.24441708624362946,0.13387413322925568,0.1787242591381073,0.17957815527915955,0.18405549228191376,0.27569329738616943,0.3135932385921478,0.254255473613739,0.0929616317152977
is,0.28837618231773376,1.0,0.2414398044347763,0.4854315221309662,0.14559021592140198,0.27355384826660156,0.13817991316318512,0.24065633118152618,0.42745086550712585,0.5823672413825989,0.26013633608818054,0.4854315221309662,0.22961433231830597
due,0.15204688906669617,0.24065633118152618,0.17957815527915955,0.2533245384693146,0.1845283955335617,0.2898779809474945,0.15257316827774048,1.0000001192092896,0.35188060998916626,0.22577603161334991,0.30350881814956665,0.2533245384693146,0.10954997688531876
to,0.455847829580307,0.42745086550712585,0.18405549228191376,0.41548454761505127,0.27188464999198914,0.4069952368736267,0.21037620306015015,0.35188060998916626,1.0,0.535392165184021,0.2743901312351227,0.41548454761505127,0.29463258385658264
differences,0.3500737249851227,0.26013633608818054,0.3135932385921478,0.3115874230861664,0.3093383312225342,0.16522116959095,0.16938309371471405,0.30350881814956665,0.2743901312351227,0.323578417301178,1.0000001192092896,0.3115874230861664,0.20399115979671478
in,0.30808621644973755,0.5394441485404968,0.23537677526474,0.5696388483047485,0.1795814335346222,0.4274188280105591,0.1950610727071762,0.2516716718673706,0.45010748505592346,0.6662389636039734,0.23158365488052368,0.5696388483047485,0.20430970191955566
value,0.24056871235370636,0.22550974786281586,0.21557684242725372,0.14933855831623077,0.3184899091720581,0.19919884204864502,0.2351473569869995,0.14252588152885437,0.23921877145767212,0.16908381879329681,0.24119558930397034,0.14933855831623077,0.23920650780200958
added,0.23789235949516296,0.21163742244243622,0.07134811580181122,0.2879071831703186,0.2154298573732376,0.23234812915325165,0.17682842910289764,0.2727276086807251,0.29473474621772766,0.3207796514034271,0.23104940354824066,0.2879071831703186,0.2865637540817261
by,0.2455483376979828,0.3899846076965332,0.20363955199718475,0.3646814823150635,0.17474129796028137,0.3373257517814636,0.18895922601222992,0.22024279832839966,0.33534231781959534,0.4408751428127289,0.21569925546646118,0.3646814823150635,0.17966607213020325
different,0.39262300729751587,0.24624870717525482,0.24536947906017303,0.3747533857822418,0.23413468897342682,0.29131123423576355,0.13393791019916534,0.18584801256656647,0.3617510497570038,0.36412742733955383,0.6331667900085449,0.3747533857822418,0.24476227164268494
classifications,0.21462439000606537,0.18983225524425507,0.2475450485944748,0.21456779539585114,0.20410819351673126,0.16717274487018585,0.10378790646791458,0.17216183245182037,0.2127382606267929,0.24730227887630463,0.41649430990219116,0.21456779539585114,0.19250738620758057
of,0.33290785551071167,0.4854315221309662,0.254255473613739,1.0,0.2581324577331543,0.4249346852302551,0.23769748210906982,0.2533245384693146,0.41548454761505127,0.733189046382904,0.3115874230861664,1.0,0.1826142966747284
workers,0.21390831470489502,0.16085883975028992,0.1788649708032608,0.20827822387218475,0.2732676565647125,0.17290110886096954,0.5137044787406921,0.11186375468969345,0.2307046800851822,0.23066683113574982,0.19324809312820435,0.20827822387218475,0.1706571877002716
.,0.3567904531955719,0.4569662809371948,0.22641029953956604,0.5352458953857422,0.26448529958724976,0.41536515951156616,0.2150036245584488,0.19861014187335968,0.4645031690597534,0.5934505462646484,0.2511407434940338,0.5352458953857422,0.4130953550338745
,what,is,distribution,of,income,from,labor,due,to,the,differences,of,?
neoclassical,0.23971682786941528,0.19961686432361603,0.15124595165252686,0.2511714696884155,0.21451933681964874,0.17083163559436798,0.21402229368686676,0.20247311890125275,0.18782052397727966,0.16609536111354828,0.27367180585861206,0.2511714696884155,0.19664928317070007
economics,0.21107932925224304,0.19443869590759277,0.19930686056613922,0.2429119050502777,0.3433777987957001,0.17973090708255768,0.30948761105537415,0.13500899076461792,0.22133201360702515,0.17465341091156006,0.21858517825603485,0.2429119050502777,0.15849412977695465
views,0.32671356201171875,0.1585468053817749,0.07077593356370926,0.1923438459634781,0.26254796981811523,0.2086656540632248,0.12971913814544678,0.15458932518959045,0.27688995003700256,0.23137402534484863,0.34216901659965515,0.1923438459634781,0.19388815760612488
