,in,which,year,were,the,north,and,south,courts,opened,?
on,0.46853652596473694,0.4245251417160034,0.27628999948501587,0.2774328887462616,0.5107308030128479,0.24055036902427673,0.4077630043029785,0.22021299600601196,0.17175407707691193,0.2514764964580536,0.2714994251728058
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.3906462490558624,1.0,0.36298373341560364,0.5171257257461548,0.3129390776157379,0.2453746348619461,0.28544309735298157,0.22068053483963013
very,0.3209688663482666,0.46625974774360657,0.1772192120552063,0.3175065517425537,0.34171217679977417,0.19288188219070435,0.4546867609024048,0.19676703214645386,0.2137305587530136,0.12533897161483765,0.20864155888557434
northern,0.3545122444629669,0.2470913678407669,0.22468909621238708,0.17930571734905243,0.3422943353652954,0.5398455858230591,0.2852024435997009,0.5065632462501526,0.22998636960983276,0.1573895812034607,0.13149388134479523
edge,0.258846253156662,0.3031310737133026,0.16201263666152954,0.17389318346977234,0.3453350365161896,0.22492864727973938,0.2609935402870178,0.23966960608959198,0.08567225188016891,0.1313430517911911,0.06842754781246185
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.34038281440734863,0.733189046382904,0.3604778051376343,0.5116966962814331,0.33382371068000793,0.24972429871559143,0.16720551252365112,0.1826142966747284
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.3906462490558624,1.0,0.36298373341560364,0.5171257257461548,0.3129390776157379,0.2453746348619461,0.28544309735298157,0.22068053483963013
site,0.20704983174800873,0.25946786999702454,0.15396235883235931,0.2008490264415741,0.288954496383667,0.20921063423156738,0.19108152389526367,0.17616568505764008,0.0873744860291481,0.21074961125850677,0.2014765441417694
is,0.5394441485404968,0.4457404911518097,0.2402215600013733,0.29386836290359497,0.5823672413825989,0.2993389368057251,0.3859752118587494,0.27680471539497375,0.19366668164730072,0.15947836637496948,0.22961433231830597
situated,0.3646708130836487,0.269835889339447,0.10533898323774338,0.16153854131698608,0.3139766454696655,0.3588326871395111,0.2149302363395691,0.357769250869751,0.21848250925540924,0.31551459431648254,0.039639271795749664
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.3906462490558624,1.0,0.36298373341560364,0.5171257257461548,0.3129390776157379,0.2453746348619461,0.28544309735298157,0.22068053483963013
