,how,many,pounds,of,steam,per,kilowatt,hour,does,the,energiprojekt,ab,engine,use,?
4,-0.09503452479839325,-0.054631516337394714,-0.0005847654538229108,0.17227263748645782,0.030093353241682053,0.03363574296236038,-0.049783896654844284,-0.035097766667604446,-0.055728133767843246,0.15499350428581238,0.11637481302022934,0.028631368651986122,0.041806191205978394,-0.006586939096450806,0.010515431873500347
kg,0.14154522120952606,0.12083993852138519,0.6146824359893799,0.1790316253900528,0.13662289083003998,0.21388159692287445,0.43132179975509644,0.17862549424171448,0.1284683495759964,0.14337459206581116,0.220045268535614,0.10086469352245331,0.16954778134822845,0.191390722990036,0.14374905824661255
(,0.1676948219537735,0.1455259770154953,0.18413324654102325,0.35032153129577637,0.11881943792104721,0.3121034801006317,0.26621508598327637,0.19172394275665283,0.2728188931941986,0.33289089798927307,0.29587435722351074,0.2610151469707489,0.11642640084028244,0.2174896001815796,0.40561532974243164
8.8,0.13851244747638702,0.25659114122390747,0.16924859583377838,0.3453676104545593,0.23898646235466003,0.054061464965343475,0.2099871039390564,0.1118415892124176,0.16839644312858582,0.3822566866874695,0.3504078686237335,0.20496052503585815,0.18559423089027405,0.15270507335662842,0.1106664314866066
lb,0.15300911664962769,0.0467466376721859,0.563682496547699,0.08671753108501434,0.03632994741201401,0.272781103849411,0.3923150897026062,0.19698573648929596,0.13109004497528076,0.11970353126525879,0.2292248010635376,0.12928107380867004,0.15694396197795868,0.2016482949256897,0.19396306574344635
),0.17939934134483337,0.16602720320224762,0.174909308552742,0.3680361211299896,0.13912063837051392,0.327212929725647,0.2686123549938202,0.2031816989183426,0.2575884759426117,0.3456730246543884,0.3044908046722412,0.26529037952423096,0.12827058136463165,0.23662498593330383,0.42300865054130554
of,0.2480744868516922,0.37253960967063904,0.16210339963436127,1.0,0.20239725708961487,0.17468707263469696,0.23088720440864563,0.18765881657600403,0.3119818866252899,0.733189046382904,0.32877352833747864,0.13576503098011017,0.17095594108104706,0.2750902473926544,0.1826142966747284
steam,0.13796336948871613,0.1984996646642685,0.15839152038097382,0.20239725708961487,1.0000001192092896,0.18112611770629883,0.37495219707489014,0.22082816064357758,0.1864793747663498,0.23105813562870026,0.22548584640026093,0.14790964126586914,0.4921848475933075,0.2950085997581482,0.113324373960495
per,0.2243444174528122,0.16423305869102478,0.29164910316467285,0.17468707263469696,0.18112611770629883,0.9999999403953552,0.4382781386375427,0.39741143584251404,0.22441036999225616,0.21691934764385223,0.2189909815788269,0.10015473514795303,0.1609477996826172,0.25447556376457214,0.22323818504810333
kwh,0.23212046921253204,0.20522861182689667,0.3823520243167877,0.16924215853214264,0.3293211758136749,0.35366758704185486,0.638362467288971,0.3851046860218048,0.18020778894424438,0.14336103200912476,0.38648590445518494,0.21249039471149445,0.4132596552371979,0.3217140734195709,0.2694392502307892
.,0.3287222981452942,0.3974229395389557,0.24242696166038513,0.5352458953857422,0.22855372726917267,0.2729434370994568,0.32033848762512207,0.24835029244422913,0.3022993505001068,0.5934505462646484,0.3307434916496277,0.28026220202445984,0.21814921498298645,0.3711656630039215,0.4130953550338745
