,how,many,scientists,called,to,change,the,ipcc,in,feb,2010,?
in,0.2601168751716614,0.41474202275276184,0.1995355486869812,0.40847352147102356,0.45010748505592346,0.2510564923286438,0.6662389636039734,0.1257958561182022,1.0,0.14008425176143646,0.2692960798740387,0.20430970191955566
february,0.1331711709499359,0.13121047616004944,0.11136476695537567,0.07907956093549728,0.20325583219528198,0.2049398273229599,0.26483774185180664,0.1285850554704666,0.2990526556968689,0.38152045011520386,0.13249562680721283,0.29594847559928894
2010,0.17927342653274536,0.33878764510154724,0.14944857358932495,0.16592775285243988,0.3413967490196228,0.2345055788755417,0.31722962856292725,0.18147490918636322,0.2692960798740387,0.003970018588006496,1.0000001192092896,0.21232788264751434
",",0.22659391164779663,0.40610817074775696,0.25785407423973083,0.26549121737480164,0.44245919585227966,0.2752361297607422,0.4933079481124878,0.15590040385723114,0.5201468467712402,0.2816077768802643,0.24006164073944092,0.31091248989105225
in,0.2601168751716614,0.41474202275276184,0.1995355486869812,0.40847352147102356,0.45010748505592346,0.2510564923286438,0.6662389636039734,0.1257958561182022,1.0,0.14008425176143646,0.2692960798740387,0.20430970191955566
response,0.34960323572158813,0.23894017934799194,0.166368305683136,0.20884771645069122,0.277526319026947,0.3333420157432556,0.28909924626350403,0.27314651012420654,0.20744606852531433,0.12968693673610687,0.09944754093885422,0.2007838636636734
to,0.44169697165489197,0.40243685245513916,0.27814680337905884,0.2987143397331238,1.0,0.3581787943840027,0.535392165184021,0.25466105341911316,0.45010748505592346,0.1664871871471405,0.3413967490196228,0.29463258385658264
controversies,0.3342365324497223,0.4635269045829773,0.2536284327507019,0.2951778471469879,0.2992996871471405,0.2526153326034546,0.2970908582210541,0.32475367188453674,0.3287384808063507,0.04951132461428642,0.2797428369522095,0.28375184535980225
regarding,0.31397679448127747,0.33849823474884033,0.1942654401063919,0.16524316370487213,0.29117533564567566,0.33223652839660645,0.29280903935432434,0.32495084404945374,0.2634240984916687,0.13546249270439148,0.18231083452701569,0.36967232823371887
claims,0.15778739750385284,0.1896159052848816,0.24077977240085602,0.16760261356830597,0.27401837706565857,0.10750909894704819,0.24698559939861298,0.26686185598373413,0.15647023916244507,0.09954790025949478,0.19441910088062286,0.18741291761398315
in,0.2601168751716614,0.41474202275276184,0.1995355486869812,0.40847352147102356,0.45010748505592346,0.2510564923286438,0.6662389636039734,0.1257958561182022,1.0,0.14008425176143646,0.2692960798740387,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.25988271832466125,0.489897221326828,0.535392165184021,0.3641999065876007,1.0,0.24925659596920013,0.6662389636039734,0.1535518914461136,0.31722962856292725,0.22068053483963013
fourth,0.11421087384223938,0.08846861124038696,0.12303689867258072,0.2881080210208893,0.22159133851528168,0.15160220861434937,0.40804702043533325,0.20800668001174927,0.29149749875068665,0.12106428295373917,0.08519599586725235,0.13791213929653168
assessment,0.26327964663505554,0.14593549072742462,0.2950461506843567,0.18647903203964233,0.22932879626750946,0.23811079561710358,0.28427207469940186,0.5005803108215332,0.19949871301651,0.13095201551914215,0.05275435000658035,0.22666098177433014
report,0.2084086388349533,0.17323614656925201,0.24473358690738678,0.17115433514118195,0.2559358477592468,0.24036449193954468,0.2556745111942291,0.4727894961833954,0.204250767827034,0.21084660291671753,0.1325688362121582,0.3138936758041382
