,graham,gano,kicked,a,field,goal,of,how,many,yards,?
a,0.24513362348079681,0.21979376673698425,0.2796778082847595,1.0,0.2030690312385559,0.20853768289089203,0.5052502155303955,0.29312583804130554,0.2872205972671509,0.19167225062847137,0.23916715383529663
16-yard,0.3455345034599304,0.2096519023180008,0.3197776973247528,0.32420042157173157,0.27801766991615295,0.25576290488243103,0.2562587559223175,0.26863282918930054,0.2272297441959381,0.5373048186302185,0.12999987602233887
reception,0.20228688418865204,0.1674324870109558,0.262936532497406,0.23858176171779633,0.14700523018836975,0.1738162785768509,0.20910748839378357,0.17294476926326752,0.2312208116054535,0.3975681662559509,0.17967697978019714
by,0.17205315828323364,0.11040637642145157,0.24980829656124115,0.32094135880470276,0.18480901420116425,0.14687420427799225,0.3646814823150635,0.34370526671409607,0.3409687578678131,0.1708054542541504,0.17966607213020325
devin,0.4211660921573639,0.2191045880317688,0.3034479022026062,0.25191959738731384,0.13535311818122864,0.14813438057899475,0.17299361526966095,0.1716802567243576,0.048369407653808594,0.20699408650398254,0.16963998973369598
funchess,0.15956595540046692,0.16523893177509308,0.16909660398960114,0.3001127243041992,0.1782236546278,0.242384672164917,0.30151912569999695,0.23999552428722382,0.19429266452789307,0.21229864656925201,0.20353761315345764
and,0.23618346452713013,0.18752357363700867,0.2418012171983719,0.3739250600337982,0.26487240195274353,0.20885969698429108,0.5116966962814331,0.33647966384887695,0.5296266674995422,0.22108176350593567,0.20544172823429108
a,0.24513362348079681,0.21979376673698425,0.2796778082847595,1.0,0.2030690312385559,0.20853768289089203,0.5052502155303955,0.29312583804130554,0.2872205972671509,0.19167225062847137,0.23916715383529663
12-yard,0.3013535737991333,0.13624942302703857,0.3037802577018738,0.24791721999645233,0.2330370992422104,0.2229161262512207,0.1742749661207199,0.23588337004184723,0.17705181241035461,0.522172749042511,0.10327286273241043
run,0.215216726064682,0.07174168527126312,0.253982812166214,0.2607046067714691,0.11617713421583176,0.24854470789432526,0.2272813767194748,0.2245650738477707,0.24698178470134735,0.2157886028289795,0.17904110252857208
by,0.17205315828323364,0.11040637642145157,0.24980829656124115,0.32094135880470276,0.18480901420116425,0.14687420427799225,0.3646814823150635,0.34370526671409607,0.3409687578678131,0.1708054542541504,0.17966607213020325
stewart,0.380492240190506,0.21946047246456146,0.18678753077983856,0.1547141820192337,0.20084623992443085,0.09508170187473297,0.19252897799015045,0.1742994338274002,0.14387744665145874,0.17841756343841553,0.11473192274570465
then,0.20514702796936035,0.2144881784915924,0.3420948386192322,0.3970017731189728,0.20403032004833221,0.15350303053855896,0.2937326431274414,0.36093711853027344,0.27087974548339844,0.18285872042179108,0.2884598970413208
set,0.1242886483669281,0.1572752445936203,0.22836513817310333,0.2540091574192047,0.1578865945339203,0.21092823147773743,0.20671486854553223,0.2561637759208679,0.23547255992889404,0.19454100728034973,0.1698019951581955
up,0.1513201743364334,0.0937952846288681,0.29603251814842224,0.32523053884506226,0.11040262877941132,0.22843164205551147,0.32945773005485535,0.2819872200489044,0.2688518464565277,0.2173794060945511,0.1819818764925003
gano,0.16287410259246826,1.0,0.20933812856674194,0.21979376673698425,0.1191931962966919,0.13990363478660583,0.18499763309955597,0.0923214927315712,0.1426343470811844,0.1410108357667923,0.12128016352653503
's,0.06598549336194992,0.026030274108052254,-0.022945592179894447,0.04866964742541313,0.07850787043571472,0.0441170372068882,-0.03817026689648628,-0.026164190843701363,0.01698932610452175,0.0408332459628582,-0.023395681753754616
39-yard,0.3291720747947693,0.1773333102464676,0.32961735129356384,0.28543829917907715,0.2437637448310852,0.24654942750930786,0.1702103465795517,0.28164052963256836,0.18343187868595123,0.5500062108039856,0.1945265233516693
field,0.09765046089887619,0.1191931962966919,0.1876479834318161,0.2030690312385559,1.0,0.26796361804008484,0.20410659909248352,0.19519785046577454,0.1401631236076355,0.3101290166378021,0.11279727518558502
