,which,sculpture,by,michelangelo,has,a,full-size,replica,in,the,cast,courts,?
the,0.6521818041801453,0.23690329492092133,0.4408751428127289,0.1876763552427292,0.4177538752555847,0.5829201340675354,0.24892286956310272,0.2576879858970642,0.6662389636039734,1.0,0.2840540409088135,0.2453746348619461,0.22068053483963013
other,0.50507652759552,0.15971827507019043,0.3321913778781891,0.17593075335025787,0.3162766396999359,0.2806335389614105,0.21926282346248627,0.12746024131774902,0.39989137649536133,0.44152235984802246,0.18513330817222595,0.23347687721252441,0.24682199954986572
includes,0.36315640807151794,0.20323829352855682,0.23219992220401764,0.13932982087135315,0.32801979780197144,0.25086286664009094,0.1532193273305893,0.14027242362499237,0.32460328936576843,0.3388250470161438,0.15729176998138428,0.17864775657653809,0.14011523127555847
reproductions,0.4269464313983917,0.222711980342865,0.22164617478847504,0.21923424303531647,0.22338852286338806,0.22000961005687714,0.321201890707016,0.3584888279438019,0.2454567551612854,0.319449245929718,0.16563953459262848,0.21323509514331818,0.26919856667518616
of,0.5011631846427917,0.2746802270412445,0.3646814823150635,0.1672085076570511,0.3909035325050354,0.5052502155303955,0.24311110377311707,0.20613695681095123,0.5696388483047485,0.733189046382904,0.2314109057188034,0.24972429871559143,0.1826142966747284
various,0.42230772972106934,0.1990341693162918,0.2973117232322693,0.14373478293418884,0.2322511225938797,0.17124241590499878,0.21299415826797485,0.20759239792823792,0.266343355178833,0.3235042691230774,0.1293805092573166,0.23064538836479187,0.12823495268821716
works,0.2730301022529602,0.27663424611091614,0.2887086570262909,0.2885820269584656,0.2049179971218109,0.2170431762933731,0.13377612829208374,0.06906508654356003,0.2656683027744293,0.26337864995002747,0.18130892515182495,0.14004778861999512,0.19597402215003967
of,0.5011631846427917,0.2746802270412445,0.3646814823150635,0.1672085076570511,0.3909035325050354,0.5052502155303955,0.24311110377311707,0.20613695681095123,0.5696388483047485,0.733189046382904,0.2314109057188034,0.24972429871559143,0.1826142966747284
italian,0.19053605198860168,0.15243719518184662,0.14713914692401886,0.4092249870300293,0.20822639763355255,0.2020866572856903,0.1833563596010208,0.10517430305480957,0.1941935271024704,0.19855095446109772,0.058399539440870285,0.1528339982032776,0.1156633123755455
renaissance,0.1855861097574234,0.36997923254966736,0.18631196022033691,0.4646790325641632,0.16632917523384094,0.1908426582813263,0.17400942742824554,0.16864947974681854,0.20993053913116455,0.2050212025642395,0.1643410623073578,0.22476312518119812,0.12260647863149643
sculpture,0.2241707295179367,1.0,0.17374664545059204,0.5217298269271851,0.1540418565273285,0.19645118713378906,0.21499034762382507,0.31388047337532043,0.23036405444145203,0.23690329492092133,0.2901458740234375,0.16710346937179565,0.1571214497089386
and,0.506277859210968,0.2538686692714691,0.4289871156215668,0.20936304330825806,0.43716782331466675,0.3739250600337982,0.23126323521137238,0.0907871350646019,0.4954058527946472,0.5171257257461548,0.24523046612739563,0.2592387795448303,0.20544172823429108
architecture,0.23836448788642883,0.4259554147720337,0.14900097250938416,0.24643397331237793,0.18328659236431122,0.2194099873304367,0.19930262863636017,0.19657832384109497,0.2624244689941406,0.24488379061222076,0.15014398097991943,0.20670118927955627,0.14343059062957764
",",0.3658004403114319,0.2533513307571411,0.3680937886238098,0.19369113445281982,0.3734780251979828,0.427140474319458,0.2172151803970337,0.1330750733613968,0.5201468467712402,0.4933079481124878,0.19477514922618866,0.21853886544704437,0.31091248989105225
including,0.41826364398002625,0.23391926288604736,0.30155983567237854,0.1561141312122345,0.36956900358200073,0.21045410633087158,0.09121536463499069,0.19320720434188843,0.35857823491096497,0.3738902807235718,0.18938800692558289,0.22117748856544495,0.1633303165435791
a,0.56894451379776,0.19645118713378906,0.32094135880470276,0.19243310391902924,0.4670248031616211,1.0,0.24466565251350403,0.232511505484581,0.539380669593811,0.5829201340675354,0.21993473172187805,0.23228667676448822,0.23916715383529663
full-size,0.2706618905067444,0.21499034762382507,0.14078585803508759,0.21914485096931458,0.16418837010860443,0.24466565251350403,1.0000001192092896,0.25803342461586,0.19159546494483948,0.24892286956310272,0.14821656048297882,0.1665383130311966,0.2742193341255188
replica,0.3249676525592804,0.31388047337532043,0.14575982093811035,0.22304873168468475,0.13115742802619934,0.232511505484581,0.25803342461586,0.9999999403953552,0.18848586082458496,0.2576879858970642,0.1927659660577774,0.1001155823469162,0.07987788319587708
of,0.5011631846427917,0.2746802270412445,0.3646814823150635,0.1672085076570511,0.3909035325050354,0.5052502155303955,0.24311110377311707,0.20613695681095123,0.5696388483047485,0.733189046382904,0.2314109057188034,0.24972429871559143,0.1826142966747284
michelangelo,0.20139002799987793,0.5217298269271851,0.22181446850299835,0.9999999403953552,0.15531887114048004,0.19243310391902924,0.21914485096931458,0.22304873168468475,0.19959935545921326,0.1876763552427292,0.23293061554431915,0.20585206151008606,0.19637954235076904
's,0.03856118768453598,0.08444227278232574,-0.010884488001465797,-0.0016491737915202975,-0.040683966130018234,0.04866964742541313,0.026123171672225,-0.01762530393898487,-0.037580832839012146,-0.01540423184633255,0.05063885822892189,0.013939086347818375,-0.023395681753754616
david,0.16383904218673706,0.22022004425525665,0.23508615791797638,0.3275004029273987,0.12676075100898743,0.19156141579151154,0.1373114138841629,0.13355158269405365,0.17107756435871124,0.2237231284379959,0.15748806297779083,0.15245991945266724,0.04158485680818558
.,0.45942068099975586,0.2360875904560089,0.3936232924461365,0.19865936040878296,0.4105546176433563,0.50484299659729,0.2953047454357147,0.18199627101421356,0.5591574311256409,0.5934505462646484,0.21193501353263855,0.2468891590833664,0.4130953550338745
