,what,scientist,told,the,french,academy,of,sciences,that,he,had,found,how,to,liquefy,oxygen,?
using,0.27984681725502014,0.19761663675308228,0.17291362583637238,0.28364112973213196,0.19392900168895721,0.1430114507675171,0.24298200011253357,0.13566777110099792,0.4372335970401764,0.15816910564899445,0.2784138321876526,0.194510355591774,0.39886897802352905,0.3678804934024811,0.28322264552116394,0.20990879833698273,0.2804589569568634
a,0.3320399522781372,0.2334214746952057,0.18592841923236847,0.5829201340675354,0.24285779893398285,0.1969248354434967,0.5052502155303955,0.25444474816322327,0.47537946701049805,0.4393508732318878,0.34897568821907043,0.2869448959827423,0.29312583804130554,0.45503583550453186,0.2711775004863739,0.21662019193172455,0.23916715383529663
cascade,0.22669699788093567,0.11424776911735535,0.04272332042455673,0.32521477341651917,0.11280442774295807,0.1482461541891098,0.2202981561422348,0.17141135036945343,0.2480059415102005,0.11157238483428955,0.04498475790023804,0.16472214460372925,0.12760907411575317,0.23094698786735535,0.233186274766922,0.1778106391429901,0.16310933232307434
method,0.25476205348968506,0.2958194315433502,0.09078194946050644,0.21624743938446045,0.12343426793813705,0.18011215329170227,0.22896558046340942,0.2432815283536911,0.29335150122642517,0.12526355683803558,0.12502546608448029,0.17498011887073517,0.3021480143070221,0.2593044936656952,0.2695889174938202,0.2175072282552719,0.2194802314043045
",",0.3087472915649414,0.2815703749656677,0.2750641405582428,0.4933079481124878,0.28806620836257935,0.2933559715747833,0.4946078956127167,0.2827865481376648,0.4137537479400635,0.40251094102859497,0.35487717390060425,0.27385151386260986,0.22659391164779663,0.44245919585227966,0.24592620134353638,0.21812842786312103,0.31091248989105225
swiss,0.06743662059307098,0.28632545471191406,0.05026107653975487,0.17452241480350494,0.4302447438240051,0.1091383621096611,0.13239948451519012,0.1517137736082077,0.12183129042387009,0.14419852197170258,0.11151175200939178,0.04620984569191933,0.11224500834941864,0.0861743912100792,0.15110711753368378,0.15499626100063324,0.11023817211389542
chemist,0.1775139421224594,0.5804430842399597,0.09857111424207687,0.1387878656387329,0.2436521053314209,0.18801084160804749,0.14547590911388397,0.3400012254714966,0.14571717381477356,0.17698578536510468,0.11074502766132355,0.17548617720603943,0.16476723551750183,0.13821417093276978,0.2611062824726105,0.2541825771331787,0.14970816671848297
and,0.31309178471565247,0.21329741179943085,0.27008020877838135,0.5171257257461548,0.32751965522766113,0.24105693399906158,0.5116966962814331,0.2685838043689728,0.4731321930885315,0.45427167415618896,0.3872550129890442,0.27978911995887756,0.33647966384887695,0.48971283435821533,0.29033857583999634,0.22261030972003937,0.20544172823429108
physicist,0.19407397508621216,0.692849338054657,0.11502816528081894,0.14301171898841858,0.2653864324092865,0.23421019315719604,0.1528705656528473,0.39440327882766724,0.1525067836046219,0.1933012157678604,0.14627224206924438,0.11499138176441193,0.20141123235225677,0.11992333829402924,0.12970690429210663,0.13485993444919586,0.1378137767314911
raoul,0.10912086814641953,0.24428658187389374,0.21143600344657898,0.16875003278255463,0.40165889263153076,0.2716652750968933,0.18400339782238007,0.21372836828231812,0.11046575009822845,0.2857084572315216,0.23239976167678833,0.18725474178791046,0.13619551062583923,0.19001108407974243,0.18772462010383606,0.16156773269176483,0.1258176863193512
pierre,0.129045307636261,0.23876415193080902,0.11572232097387314,0.19442830979824066,0.4649295508861542,0.12669464945793152,0.16238592565059662,0.19970935583114624,0.21001261472702026,0.22818711400032043,0.1818261295557022,0.19874468445777893,0.10669540613889694,0.1525011956691742,0.2830769121646881,0.15230655670166016,0.16526779532432556
