,what,was,the,term,kennedy,used,to,show,that,america,was,falling,behind,the,soviet,union,due,to,inactivity,in,space,programs,?
up,0.28591108322143555,0.24070115387439728,0.38423117995262146,0.12385809421539307,0.17055736482143402,0.2526317238807678,0.40375280380249023,0.27403897047042847,0.35427621006965637,0.15953722596168518,0.24070115387439728,0.3268032371997833,0.24375076591968536,0.38423117995262146,0.16690897941589355,0.17829470336437225,0.17410676181316376,0.40375280380249023,0.2245437204837799,0.3120773434638977,0.22489678859710693,0.20229388773441315,0.1819818764925003
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.3310292959213257,0.2569362223148346,0.40058770775794983,1.0,0.29833272099494934,0.5436353087425232,0.2636699676513672,0.3636345863342285,0.25933295488357544,0.2780356705188751,0.535392165184021,0.19090956449508667,0.16926777362823486,0.35188060998916626,1.0,0.322395920753479,0.45010748505592346,0.22712917625904083,0.23389451205730438,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.2740369141101837,0.20303435623645782,0.3718377649784088,0.535392165184021,0.319829523563385,0.5473989248275757,0.37090015411376953,0.48711544275283813,0.3168080151081085,0.38928431272506714,1.0,0.2312941700220108,0.24421639740467072,0.22577603161334991,0.535392165184021,0.26064926385879517,0.6662389636039734,0.24495907127857208,0.21757709980010986,0.22068053483963013
election,0.2325795590877533,0.2808833718299866,0.22873377799987793,0.31136035919189453,0.2194415032863617,0.09018900990486145,0.20867465436458588,0.18825975060462952,0.2480500340461731,0.14834390580654144,0.2808833718299866,0.15470817685127258,0.1341019868850708,0.22873377799987793,0.15134501457214355,0.20660363137722015,0.1723506897687912,0.20867465436458588,0.23228488862514496,0.2450414001941681,0.07476970553398132,0.15951193869113922,0.23105260729789734
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.26047757267951965,0.1657739132642746,0.3075267970561981,0.41548454761505127,0.21383242309093475,0.41498205065727234,0.28803038597106934,0.4069072902202606,0.27901384234428406,0.2801654636859894,0.733189046382904,0.17437179386615753,0.2642118036746979,0.2533245384693146,0.41548454761505127,0.23844215273857117,0.5696388483047485,0.21300287544727325,0.18037469685077667,0.1826142966747284
1960,-0.11768999695777893,0.02247970923781395,0.038049813359975815,-0.006359883118420839,0.03531629592180252,0.011015900410711765,-0.07981643825769424,0.026501929387450218,-0.05043068900704384,0.05516219884157181,0.02247970923781395,0.014711776748299599,0.03130940720438957,0.038049813359975815,-0.06580059230327606,-0.006368344184011221,-0.022316869348287582,-0.07981643825769424,-0.0469929501414299,0.03880028799176216,0.014312527142465115,-0.06763626635074615,-0.02243652194738388
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.21599270403385162,0.3363509774208069,0.3120402991771698,0.44245919585227966,0.31928569078445435,0.4137537479400635,0.253568559885025,0.45456063747406006,0.24877594411373138,0.27367478609085083,0.4933079481124878,0.25194454193115234,0.2362271547317505,0.3106630742549896,0.44245919585227966,0.27907994389533997,0.5201468467712402,0.2285580337047577,0.21514803171157837,0.31091248989105225
kennedy,0.2125646471977234,0.1929353028535843,0.20303435623645782,0.11046575009822845,1.0,0.12539151310920715,0.2569362223148346,0.16894085705280304,0.26946479082107544,0.18301182985305786,0.1929353028535843,0.1630340963602066,0.13526175916194916,0.20303435623645782,0.16605955362319946,0.12483806163072586,0.08300365507602692,0.2569362223148346,0.3030177354812622,0.10888300836086273,0.28336045145988464,0.17858032882213593,0.21965277194976807
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.16051872074604034,0.19618205726146698,0.2477826625108719,0.37984350323677063,0.2552371621131897,0.4407361149787903,0.2162282019853592,0.5927209258079529,0.21972371637821198,0.2895805537700653,0.3875846862792969,0.25813958048820496,0.2522551715373993,0.24372361600399017,0.37984350323677063,0.2482776641845703,0.385026752948761,0.16386190056800842,0.19699513912200928,0.20728366076946259
been,0.2567804455757141,0.518218457698822,0.3563927710056305,0.1964738517999649,0.22356203198432922,0.2855360507965088,0.34945759177207947,0.23647178709506989,0.4152003228664398,0.2012217491865158,0.518218457698822,0.17939268052577972,0.15804438292980194,0.3563927710056305,0.1751912236213684,0.16404001414775848,0.24634958803653717,0.34945759177207947,0.3782050907611847,0.3515113592147827,0.18637923896312714,0.24672594666481018,0.24354910850524902
speaking,0.3079870939254761,0.21738967299461365,0.34174251556396484,0.22726623713970184,0.14695380628108978,0.22939105331897736,0.2276923805475235,0.15044809877872467,0.2573334574699402,0.27975761890411377,0.21738967299461365,0.22189615666866302,0.17368517816066742,0.34174251556396484,0.12796522676944733,0.15695470571517944,0.11570129543542862,0.2276923805475235,0.1568530797958374,0.2803732752799988,0.10453387349843979,0.2027522474527359,0.18994855880737305
out,0.3633197546005249,0.28168347477912903,0.39404502511024475,0.20513272285461426,0.18591275811195374,0.2197798490524292,0.42386990785598755,0.22993630170822144,0.43996092677116394,0.2317066341638565,0.28168347477912903,0.3100307285785675,0.36902371048927307,0.39404502511024475,0.1344956010580063,0.1148899644613266,0.16355231404304504,0.42386990785598755,0.2407703548669815,0.3576207756996155,0.19062338769435883,0.19271305203437805,0.22020699083805084
against,0.24561616778373718,0.22972732782363892,0.3090755045413971,0.15740714967250824,0.15664032101631165,0.16741667687892914,0.310872346162796,0.1270272582769394,0.3318655490875244,0.16263650357723236,0.22972732782363892,0.19000770151615143,0.25005829334259033,0.3090755045413971,0.11852100491523743,0.1828596144914627,0.1884404867887497,0.310872346162796,0.1774081140756607,0.27273955941200256,0.09528990089893341,0.18565954267978668,0.18095137178897858
the,0.42745697498321533,0.48711544275283813,1.0,0.2740369141101837,0.20303435623645782,0.3718377649784088,0.535392165184021,0.319829523563385,0.5473989248275757,0.37090015411376953,0.48711544275283813,0.3168080151081085,0.38928431272506714,1.0,0.2312941700220108,0.24421639740467072,0.22577603161334991,0.535392165184021,0.26064926385879517,0.6662389636039734,0.24495907127857208,0.21757709980010986,0.22068053483963013
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.11803510040044785,0.016692638397216797,0.08103004097938538,0.06720756739377975,0.015512588433921337,0.05285148695111275,-0.07555023580789566,-0.012679691426455975,-0.018637066707015038,-0.032467395067214966,0.029072100296616554,0.06603430956602097,0.08401795476675034,0.005027893465012312,0.06720756739377975,0.12661105394363403,0.04765888676047325,0.004888324998319149,-0.04822218418121338,0.0685480609536171
missile,0.18716071546077728,0.14506791532039642,0.22224080562591553,0.13881824910640717,0.23357219994068146,0.21682769060134888,0.20164655148983002,0.11827733367681503,0.2214413434267044,0.18935208022594452,0.14506791532039642,0.2121555358171463,0.15350674092769623,0.22224080562591553,0.3492259383201599,0.20088578760623932,0.13566875457763672,0.20164655148983002,0.11825919151306152,0.15350346267223358,0.27224522829055786,0.12344684451818466,0.20229725539684296
gap,0.17691411077976227,0.15560869872570038,0.27986636757850647,0.1624910980463028,0.06537117809057236,0.12421412765979767,0.22861579060554504,0.16063161194324493,0.24178916215896606,0.12321240454912186,0.15560869872570038,0.20485512912273407,0.19125764071941376,0.27986636757850647,0.12398397922515869,0.23484176397323608,0.1677285134792328,0.22861579060554504,0.25786563754081726,0.1954546719789505,0.20091187953948975,0.08835484087467194,0.09251954406499863
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.13619764149188995,-0.09702956676483154,0.050410956144332886,-0.009905828163027763,0.04856986179947853,0.007880004122853279,-0.0384608618915081,0.04456103965640068,-0.0607808493077755,-0.05827774107456207,0.041273195296525955,-0.08973073214292526,-0.10012631863355637,0.008131635375320911,-0.009905828163027763,-0.03184879198670387,0.07432962208986282,-0.03227292746305466,0.02154052071273327,0.018684765323996544
