,when,did,it,retract,to,a,inland,formation,?
during,0.46721696853637695,0.30679523944854736,0.26678937673568726,0.14544165134429932,0.2828781306743622,0.30341604351997375,0.18573962152004242,0.24706533551216125,0.1325719803571701
the,0.5091903209686279,0.34736719727516174,0.6251175999641418,0.2649511396884918,0.535392165184021,0.5829201340675354,0.28756555914878845,0.33687281608581543,0.22068053483963013
oligocene,0.19753681123256683,0.18183334171772003,0.22918018698692322,0.2512064576148987,0.19295597076416016,0.14887689054012299,0.36899086833000183,0.41954585909843445,0.17752304673194885
",",0.36674630641937256,0.3015086054801941,0.48329564929008484,0.21595780551433563,0.44245919585227966,0.427140474319458,0.2774789035320282,0.24612528085708618,0.31091248989105225
for,0.43402108550071716,0.318512886762619,0.32171204686164856,0.12254448980093002,0.4451248347759247,0.44038116931915283,0.18506357073783875,0.20318037271499634,0.264628142118454
example,0.40509727597236633,0.2528466582298279,0.33693674206733704,0.17816416919231415,0.3451666533946991,0.40234753489494324,0.12671302258968353,0.22773747146129608,0.30374911427497864
",",0.36674630641937256,0.3015086054801941,0.48329564929008484,0.21595780551433563,0.44245919585227966,0.427140474319458,0.2774789035320282,0.24612528085708618,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,0.6251175999641418,0.2649511396884918,0.535392165184021,0.5829201340675354,0.28756555914878845,0.33687281608581543,0.22068053483963013
rainforest,0.1446964144706726,0.0939265564084053,0.2913419008255005,0.1231183335185051,0.23412610590457916,0.2497720569372177,0.40582138299942017,0.22916540503501892,0.1917492002248764
spanned,0.17586927115917206,0.18671296536922455,0.16352896392345428,0.21287581324577332,0.12249962240457535,0.22149311006069183,0.19939793646335602,0.19381795823574066,0.17097629606723785
a,0.44397395849227905,0.2552328109741211,0.5452592968940735,0.24448907375335693,0.45503583550453186,1.0,0.20193709433078766,0.28019317984580994,0.23916715383529663
relatively,0.37015649676322937,0.19489876925945282,0.3524859547615051,0.2857986390590668,0.3473149538040161,0.3819689452648163,0.2751975655555725,0.290406197309494,0.1281091868877411
narrow,0.23444139957427979,0.11639537662267685,0.267782598733902,0.34206900000572205,0.2536180913448334,0.31331387162208557,0.28449127078056335,0.18227125704288483,0.1023377925157547
band,0.28244373202323914,0.1734745353460312,0.2320912629365921,0.1203637346625328,0.24239279329776764,0.23926927149295807,0.2132076770067215,0.22088852524757385,0.1476995348930359
.,0.475719153881073,0.35288307070732117,0.5593622326850891,0.21092292666435242,0.4645031690597534,0.50484299659729,0.280521422624588,0.23124639689922333,0.4130953550338745
,when,did,it,retract,to,a,inland,formation,?
it,0.4775012135505676,0.2993364930152893,0.9999999403953552,0.26868289709091187,0.513711154460907,0.5452592968940735,0.32057440280914307,0.27954819798469543,0.25732165575027466
expanded,0.19404000043869019,0.20851697027683258,0.30578672885894775,0.1950511634349823,0.29032543301582336,0.20242644846439362,0.27373918890953064,0.14131569862365723,0.2124357968568802
again,0.5500401854515076,0.35250324010849,0.4277820587158203,0.25993379950523376,0.4861571192741394,0.3266791105270386,0.16414563357830048,0.16089290380477905,0.2679590880870819
during,0.46721696853637695,0.30679523944854736,0.26678937673568726,0.14544165134429932,0.2828781306743622,0.30341604351997375,0.18573962152004242,0.24706533551216125,0.1325719803571701
the,0.5091903209686279,0.34736719727516174,0.6251175999641418,0.2649511396884918,0.535392165184021,0.5829201340675354,0.28756555914878845,0.33687281608581543,0.22068053483963013
middle,0.25323590636253357,0.17732174694538116,0.24598756432533264,0.10487454384565353,0.2015334814786911,0.23820361495018005,0.17707759141921997,0.17563502490520477,0.13139553368091583
miocene,0.17729653418064117,0.18433159589767456,0.20352795720100403,0.30513453483581543,0.18162402510643005,0.1425538957118988,0.3036072850227356,0.3365660607814789,0.17454083263874054
",",0.36674630641937256,0.3015086054801941,0.48329564929008484,0.21595780551433563,0.44245919585227966,0.427140474319458,0.2774789035320282,0.24612528085708618,0.31091248989105225
then,0.6026323437690735,0.303744375705719,0.39228495955467224,0.31165173649787903,0.5203860402107239,0.3970017731189728,0.2503455877304077,0.1951218992471695,0.2884598970413208
retracted,0.32431066036224365,0.23658187687397003,0.18429426848888397,0.803327202796936,0.24240811169147491,0.23073118925094604,0.16773918271064758,0.2181982696056366,0.15319350361824036
to,0.5423505902290344,0.4452643394470215,0.513711154460907,0.3047446012496948,1.0,0.45503583550453186,0.26499468088150024,0.21429739892482758,0.29463258385658264
a,0.44397395849227905,0.2552328109741211,0.5452592968940735,0.24448907375335693,0.45503583550453186,1.0,0.20193709433078766,0.28019317984580994,0.23916715383529663
mostly,0.30604639649391174,0.20761212706565857,0.345846951007843,0.10639891028404236,0.25999927520751953,0.29069283604621887,0.19538603723049164,0.2148488461971283,0.09124795347452164
inland,0.2228497564792633,0.18365129828453064,0.32057440280914307,0.1494404822587967,0.26499468088150024,0.20193709433078766,1.0000001192092896,0.27006101608276367,0.1506642997264862
formation,0.2390158325433731,0.1121787428855896,0.27954819798469543,0.15652108192443848,0.21429739892482758,0.28019317984580994,0.27006101608276367,1.0000001192092896,0.09831923991441727
at,0.38876327872276306,0.28390252590179443,0.36473900079727173,0.2027413547039032,0.36524343490600586,0.3095070421695709,0.24200333654880524,0.17016786336898804,0.21978627145290375
the,0.5091903209686279,0.34736719727516174,0.6251175999641418,0.2649511396884918,0.535392165184021,0.5829201340675354,0.28756555914878845,0.33687281608581543,0.22068053483963013
last,0.3294509947299957,0.30895525217056274,0.23236626386642456,0.16974689066410065,0.30156898498535156,0.2864423990249634,0.1411396712064743,0.19991441071033478,0.22371746599674225
glacial,0.17068825662136078,0.14076055586338043,0.22686712443828583,0.21849116683006287,0.18375512957572937,0.16328370571136475,0.3480876684188843,0.42746567726135254,0.09140896797180176
maximum,0.2093929946422577,0.10565699636936188,0.20822367072105408,0.20230260491371155,0.27501562237739563,0.24441662430763245,0.25743529200553894,0.18199129402637482,0.10959649085998535
.,0.475719153881073,0.35288307070732117,0.5593622326850891,0.21092292666435242,0.4645031690597534,0.50484299659729,0.280521422624588,0.23124639689922333,0.4130953550338745
