,what,jewish,practice,did,the,yuan,ban,?
despite,0.1825345903635025,0.11526782065629959,0.2574993669986725,0.38115930557250977,0.3172689974308014,0.09224607795476913,0.1795906126499176,0.14350546896457672
the,0.42745697498321533,0.19492539763450623,0.27333036065101624,0.34736719727516174,1.0,0.2548272907733917,0.1830999106168747,0.22068053483963013
high,0.20466077327728271,0.06447291374206543,0.13835065066814423,0.15957149863243103,0.28034812211990356,0.11027754843235016,0.13909585773944855,0.11137914657592773
position,0.22031237185001373,0.07353346794843674,0.24853970110416412,0.2170831561088562,0.3183514177799225,0.14908689260482788,0.18615950644016266,0.15529610216617584
given,0.21883496642112732,0.15327130258083344,0.23232147097587585,0.24950160086154938,0.37508252263069153,0.15679694712162018,0.19092029333114624,0.2570464313030243
to,0.455847829580307,0.19074052572250366,0.289366751909256,0.4452643394470215,0.535392165184021,0.1499021351337433,0.26575782895088196,0.29463258385658264
muslims,0.26523277163505554,0.42098376154899597,0.32785889506340027,0.23549841344356537,0.2657718360424042,0.2013479769229889,0.23692111670970917,0.18742211163043976
",",0.3087472915649414,0.23398083448410034,0.2838936448097229,0.3015086054801941,0.4933079481124878,0.20958951115608215,0.2151244729757309,0.31091248989105225
some,0.4491020441055298,0.13900890946388245,0.2881247103214264,0.42553430795669556,0.4566698372364044,0.17040593922138214,0.19253218173980713,0.2562315762042999
policies,0.37312451004981995,0.21371282637119293,0.3082192540168762,0.28301122784614563,0.22566401958465576,0.19575415551662445,0.37249499559402466,0.2969106435775757
of,0.33290785551071167,0.14794707298278809,0.2597380578517914,0.2513895630836487,0.733189046382904,0.22696353495121002,0.15118597447872162,0.1826142966747284
the,0.42745697498321533,0.19492539763450623,0.27333036065101624,0.34736719727516174,1.0,0.2548272907733917,0.1830999106168747,0.22068053483963013
yuan,0.13503028452396393,0.12365982681512833,0.14365524053573608,0.1467057168483734,0.2548272907733917,1.0,0.2795812487602234,0.12871281802654266
emperors,0.2092321366071701,0.17993323504924774,0.20022621750831604,0.19426412880420685,0.3175390362739563,0.3459857106208801,0.17736612260341644,0.20214810967445374
severely,0.19176317751407623,0.1372157633304596,0.21112826466560364,0.24242344498634338,0.266305536031723,0.17586439847946167,0.15138795971870422,0.165714293718338
discriminated,0.2510840594768524,0.2875858545303345,0.3038318157196045,0.2615359425544739,0.2034548819065094,0.06033516675233841,0.27185991406440735,0.20056916773319244
against,0.24561616778373718,0.1756686419248581,0.1776616871356964,0.22514554858207703,0.3090755045413971,0.06840601563453674,0.2335735708475113,0.18095137178897858
them,0.4994642734527588,0.16230030357837677,0.2853124737739563,0.44189682602882385,0.4788833558559418,0.20190900564193726,0.20979967713356018,0.35435691475868225
",",0.3087472915649414,0.23398083448410034,0.2838936448097229,0.3015086054801941,0.4933079481124878,0.20958951115608215,0.2151244729757309,0.31091248989105225
restricting,0.31934303045272827,0.16369733214378357,0.3678846061229706,0.24651764333248138,0.3183368146419525,0.20060551166534424,0.45662176609039307,0.23524156212806702
halal,0.24984975159168243,0.2542080581188202,0.2407357394695282,0.12808774411678314,0.24448668956756592,0.24190223217010498,0.24763046205043793,0.27990949153900146
