,in,which,two,codes,were,the,roles,of,pharmacists,codified,?
the,0.6662389636039734,0.6521818041801453,0.43858039379119873,0.2820484936237335,0.3906462490558624,1.0,0.20862428843975067,0.733189046382904,0.24311043322086334,0.3358305096626282,0.22068053483963013
place,0.38128477334976196,0.31738516688346863,0.26965609192848206,0.16286662220954895,0.24349497258663177,0.4179787337779999,0.17934754490852356,0.2685627043247223,0.16580279171466827,0.2223774790763855,0.2455766350030899
of,0.5696388483047485,0.5011631846427917,0.37726253271102905,0.2656005620956421,0.34038281440734863,0.733189046382904,0.19068127870559692,1.0,0.20506609976291656,0.2921281158924103,0.1826142966747284
pharmacists,0.22358480095863342,0.22686466574668884,0.21233591437339783,0.22558316588401794,0.23712067306041718,0.24311043322086334,0.11337340623140335,0.20506609976291656,1.0,0.24114064872264862,0.1797308325767517
in,1.0,0.4840516746044159,0.36463531851768494,0.2638666331768036,0.3815755248069763,0.6662389636039734,0.22586841881275177,0.5696388483047485,0.22358480095863342,0.2377956211566925,0.20430970191955566
society,0.21229879558086395,0.2405610978603363,0.10151374340057373,0.1606549620628357,0.19307035207748413,0.2789285480976105,0.12311360985040665,0.23646748065948486,0.2655962407588959,0.2555146813392639,0.1373005360364914
was,0.45514053106307983,0.2830964922904968,0.27166637778282166,0.14829948544502258,0.590133786201477,0.48711544275283813,0.15320858359336853,0.4069072902202606,0.20881661772727966,0.27255678176879883,0.18412111699581146
expressly,0.16332072019577026,0.2463512271642685,0.11863615363836288,0.22799690067768097,0.11241191625595093,0.23084045946598053,0.14405331015586853,0.21654202044010162,0.12481216341257095,0.32228225469589233,0.15493391454219818
defined,0.2143561989068985,0.3236873149871826,0.1791386604309082,0.2183898687362671,0.1679520308971405,0.2634572982788086,0.16916722059249878,0.2659633457660675,0.21417129039764404,0.4329289197921753,0.22494901716709137
in,1.0,0.4840516746044159,0.36463531851768494,0.2638666331768036,0.3815755248069763,0.6662389636039734,0.22586841881275177,0.5696388483047485,0.22358480095863342,0.2377956211566925,0.20430970191955566
the,0.6662389636039734,0.6521818041801453,0.43858039379119873,0.2820484936237335,0.3906462490558624,1.0,0.20862428843975067,0.733189046382904,0.24311043322086334,0.3358305096626282,0.22068053483963013
taihō,0.26877012848854065,0.30019888281822205,0.1817520260810852,0.27664169669151306,0.22493185102939606,0.3370930254459381,0.10566552728414536,0.2643266022205353,0.05007532984018326,0.3339225947856903,0.17502492666244507
code,0.20991306006908417,0.2779754102230072,0.14095529913902283,0.7192670106887817,0.12113898992538452,0.25827479362487793,0.1005626916885376,0.17838595807552338,0.16465669870376587,0.4144614338874817,0.22105959057807922
(,0.3087427020072937,0.2589828372001648,0.2169162482023239,0.1895482838153839,0.14743882417678833,0.33289089798927307,0.21756726503372192,0.35032153129577637,0.14513295888900757,0.19660651683807373,0.40561532974243164
701,-0.0016219747485592961,0.0018652350408956409,0.03518899530172348,0.06786669790744781,0.001186337205581367,-0.006762919947504997,0.0736803412437439,-0.050887126475572586,0.07164114713668823,0.0824432224035263,0.03595533221960068
),0.3326910734176636,0.2758678197860718,0.24161455035209656,0.1719919890165329,0.1566188633441925,0.3456730246543884,0.23596638441085815,0.3680361211299896,0.1354888379573822,0.21400074660778046,0.42300865054130554
and,0.4954058527946472,0.506277859210968,0.4671151638031006,0.23982839286327362,0.42175528407096863,0.5171257257461548,0.28516852855682373,0.5116966962814331,0.26810887455940247,0.29245686531066895,0.20544172823429108
re-stated,0.2764894962310791,0.2605926990509033,0.2122258096933365,0.19648601114749908,0.32817837595939636,0.31726232171058655,0.15468452870845795,0.2470816969871521,0.08379712700843811,0.4673866033554077,0.22842873632907867
in,1.0,0.4840516746044159,0.36463531851768494,0.2638666331768036,0.3815755248069763,0.6662389636039734,0.22586841881275177,0.5696388483047485,0.22358480095863342,0.2377956211566925,0.20430970191955566
the,0.6662389636039734,0.6521818041801453,0.43858039379119873,0.2820484936237335,0.3906462490558624,1.0,0.20862428843975067,0.733189046382904,0.24311043322086334,0.3358305096626282,0.22068053483963013
yōrō,0.3319862484931946,0.3147328794002533,0.2669490575790405,0.19958481192588806,0.25329041481018066,0.4068968594074249,0.15800203382968903,0.35377874970436096,0.08914578706026077,0.2748350203037262,0.27390944957733154
code,0.20991306006908417,0.2779754102230072,0.14095529913902283,0.7192670106887817,0.12113898992538452,0.25827479362487793,0.1005626916885376,0.17838595807552338,0.16465669870376587,0.4144614338874817,0.22105959057807922
(,0.3087427020072937,0.2589828372001648,0.2169162482023239,0.1895482838153839,0.14743882417678833,0.33289089798927307,0.21756726503372192,0.35032153129577637,0.14513295888900757,0.19660651683807373,0.40561532974243164
718,-0.05421622470021248,-0.02828669361770153,0.007177549414336681,0.04042957350611687,0.10580270737409592,0.06842467933893204,-0.1321081519126892,0.10326509177684784,0.021149102598428726,0.10878375917673111,-0.05540534108877182
),0.3326910734176636,0.2758678197860718,0.24161455035209656,0.1719919890165329,0.1566188633441925,0.3456730246543884,0.23596638441085815,0.3680361211299896,0.1354888379573822,0.21400074660778046,0.42300865054130554
.,0.5591574311256409,0.45942068099975586,0.3524959683418274,0.22005680203437805,0.3378238379955292,0.5934505462646484,0.2085149884223938,0.5352458953857422,0.27446362376213074,0.2771959602832794,0.4130953550338745
