,who,'s,satellites,would,the,new,free-to-air,channels,be,broadcast,from,?
the,0.3733934462070465,-0.01540423184633255,0.22091621160507202,0.4133751392364502,1.0,0.3845241069793701,0.2850368618965149,0.27277594804763794,0.4248143136501312,0.2713715434074402,0.40150508284568787,0.22068053483963013
new,0.2378052920103073,-0.008355522528290749,0.1997692584991455,0.30488598346710205,0.3845241069793701,0.9999999403953552,0.2501574158668518,0.1410730928182602,0.22046978771686554,0.19357985258102417,0.3360432982444763,0.14782847464084625
package,0.1654548943042755,0.026113996282219887,0.1672147810459137,0.2550957202911377,0.19628381729125977,0.1813972443342209,0.28715482354164124,0.28894901275634766,0.2217237800359726,0.2152961939573288,0.10089264810085297,0.17711099982261658
included,0.19250646233558655,-0.041006240993738174,0.14177629351615906,0.29065564274787903,0.3825419843196869,0.22560076415538788,0.24890509247779846,0.08804058283567429,0.24444355070590973,0.1470171958208084,0.2588649094104767,0.14385655522346497
four,0.1980169266462326,0.030550921335816383,0.15992264449596405,0.22496724128723145,0.40344667434692383,0.25229623913764954,0.1989520788192749,0.1603700816631317,0.2155974805355072,0.19108189642429352,0.25403454899787903,0.14532537758350372
channels,0.13797876238822937,0.09595498442649841,0.38004815578460693,0.23080313205718994,0.27277594804763794,0.1410730928182602,0.28640833497047424,1.0,0.240802600979805,0.4576503038406372,0.14713366329669952,0.19657258689403534
formerly,0.1746588498353958,0.015445336699485779,0.15646319091320038,0.13516458868980408,0.2854805290699005,0.2171558141708374,0.26209956407546997,0.17166642844676971,0.10593939572572708,0.15476147830486298,0.20008546113967896,0.0843876302242279
available,0.1272890865802765,0.03610558435320854,0.19324298202991486,0.3103061616420746,0.26723232865333557,0.20730333030223846,0.3542773425579071,0.3310510516166687,0.3507455885410309,0.24488548934459686,0.21971632540225983,0.2501629889011383
free-to-air,0.30989640951156616,0.08610355108976364,0.2306119203567505,0.30602288246154785,0.2850368618965149,0.2501574158668518,0.9999998807907104,0.28640833497047424,0.3018122911453247,0.2270347774028778,0.3126908838748932,0.2213255912065506
",",0.3365725874900818,-0.0016132977325469255,0.21846163272857666,0.32586824893951416,0.4933079481124878,0.36073189973831177,0.3174576461315155,0.2199012041091919,0.39254459738731384,0.24917922914028168,0.39760664105415344,0.31091248989105225
broadcasting,0.16948257386684418,0.10137476027011871,0.39046570658683777,0.17461958527565002,0.29916465282440186,0.2377755343914032,0.31030789017677307,0.5162619948387146,0.18808916211128235,0.843898594379425,0.19793446362018585,0.10870421677827835
on,0.2340552806854248,0.0026888418942689896,0.24012160301208496,0.35589995980262756,0.5107308030128479,0.31106263399124146,0.2634529173374176,0.3108726739883423,0.37900757789611816,0.2845228910446167,0.36926645040512085,0.2714994251728058
astra,0.09775906056165695,0.01497064158320427,0.30371958017349243,0.15895076096057892,0.15104183554649353,0.14107196033000946,0.22850240767002106,0.13411109149456024,0.10741230100393295,0.14905864000320435,0.16685625910758972,0.1366768777370453
's,0.05599616840481758,0.9999999403953552,0.10868103802204132,0.036968596279621124,-0.01540423184633255,-0.008355522528290749,0.08610355108976364,0.09595498442649841,0.025217169895768166,0.0797032043337822,-0.01936490088701248,-0.023395681753754616
satellites,0.19453608989715576,0.10868103802204132,1.0,0.21661706268787384,0.22091621160507202,0.1997692584991455,0.2306119203567505,0.38004815578460693,0.2409551739692688,0.36802777647972107,0.23094208538532257,0.18280646204948425
",",0.3365725874900818,-0.0016132977325469255,0.21846163272857666,0.32586824893951416,0.4933079481124878,0.36073189973831177,0.3174576461315155,0.2199012041091919,0.39254459738731384,0.24917922914028168,0.39760664105415344,0.31091248989105225
as,0.3923053741455078,-0.05775856226682663,0.187424898147583,0.3824005722999573,0.48381632566452026,0.24585270881652832,0.2646140456199646,0.19637690484523773,0.5230465531349182,0.19535446166992188,0.3251767158508301,0.27043893933296204
well,0.3480316996574402,-0.0049502006731927395,0.20296064019203186,0.35135388374328613,0.42630070447921753,0.22021858394145966,0.27614495158195496,0.23655861616134644,0.4045031666755676,0.19174237549304962,0.31084778904914856,0.24815571308135986
as,0.3923053741455078,-0.05775856226682663,0.187424898147583,0.3824005722999573,0.48381632566452026,0.24585270881652832,0.2646140456199646,0.19637690484523773,0.5230465531349182,0.19535446166992188,0.3251767158508301,0.27043893933296204
introducing,0.16335970163345337,-0.06954057514667511,0.16435453295707703,0.2939335107803345,0.2765180766582489,0.2915348708629608,0.28822410106658936,0.1674501597881317,0.23547352850437164,0.14407871663570404,0.18429219722747803,0.20713724195957184
new,0.2378052920103073,-0.008355522528290749,0.1997692584991455,0.30488598346710205,0.3845241069793701,0.9999999403953552,0.2501574158668518,0.1410730928182602,0.22046978771686554,0.19357985258102417,0.3360432982444763,0.14782847464084625
channels,0.13797876238822937,0.09595498442649841,0.38004815578460693,0.23080313205718994,0.27277594804763794,0.1410730928182602,0.28640833497047424,1.0,0.240802600979805,0.4576503038406372,0.14713366329669952,0.19657258689403534
.,0.3541337847709656,-0.003708066651597619,0.1830187737941742,0.35067233443260193,0.5934505462646484,0.35031336545944214,0.312704473733902,0.24374878406524658,0.4383580684661865,0.2280997633934021,0.41536515951156616,0.4130953550338745
