,what,helped,the,lama,determine,to,be,reborn,?
a,0.3320399522781372,0.24550430476665497,0.5829201340675354,0.20858566462993622,0.3650607168674469,0.45503583550453186,0.39883795380592346,0.21887549757957458,0.23916715383529663
lama,0.16090387105941772,0.14416755735874176,0.2565627992153168,0.9999998807907104,0.08342867344617844,0.21757736802101135,0.14560893177986145,0.259982705116272,0.16422642767429352
who,0.40942975878715515,0.36359652876853943,0.3733934462070465,0.21235448122024536,0.2680947780609131,0.42656609416007996,0.3371641933917999,0.24752824008464813,0.26220351457595825
has,0.20338068902492523,0.17282982170581818,0.4177538752555847,0.17976592481136322,0.2546979784965515,0.3619994819164276,0.3863394856452942,0.14120788872241974,0.15994466841220856
through,0.23167094588279724,0.21067379415035248,0.44071322679519653,0.12284461408853531,0.20295420289039612,0.4062686562538147,0.290402352809906,0.24598941206932068,0.16913433372974396
phowa,0.23746804893016815,0.22109940648078918,0.27567192912101746,0.2667357325553894,0.1909317821264267,0.21681104600429535,0.2102453112602234,0.2033909112215042,0.22585579752922058
and,0.31309178471565247,0.318156898021698,0.5171257257461548,0.18979990482330322,0.2686745524406433,0.48971283435821533,0.41766801476478577,0.19089490175247192,0.20544172823429108
siddhi,0.23652470111846924,0.11654236167669296,0.1906265914440155,0.5481589436531067,0.06169832870364189,0.184240460395813,0.22070550918579102,0.29442334175109863,0.1849033385515213
consciously,0.3468970060348511,0.19500955939292908,0.18681304156780243,0.26702216267585754,0.247559055685997,0.2933062016963959,0.29973357915878296,0.2976837158203125,0.18531851470470428
determined,0.2784222662448883,0.19056685268878937,0.3632190227508545,0.05703049525618553,0.8639670610427856,0.3210490345954895,0.359021931886673,0.2357984036207199,0.19379007816314697
to,0.455847829580307,0.42226478457450867,0.535392165184021,0.21757736802101135,0.4076496958732605,1.0,0.4972836375236511,0.21960826218128204,0.29463258385658264
be,0.3929833769798279,0.12704309821128845,0.4248143136501312,0.14560893177986145,0.43451228737831116,0.4972836375236511,1.0,0.18116900324821472,0.3324260413646698
reborn,0.263448029756546,0.2064780592918396,0.2765234708786011,0.259982705116272,0.17062264680862427,0.21960826218128204,0.18116900324821472,1.0,0.15652845799922943
",",0.3087472915649414,0.2661169171333313,0.4933079481124878,0.2287054806947708,0.2144405096769333,0.44245919585227966,0.39254459738731384,0.22024935483932495,0.31091248989105225
often,0.3849453330039978,0.21049076318740845,0.38004449009895325,0.1355188637971878,0.282938688993454,0.4351843297481537,0.463177889585495,0.16460539400577545,0.23748154938220978
many,0.36131182312965393,0.3159182071685791,0.4335206151008606,0.17866073548793793,0.2656705677509308,0.40243685245513916,0.3961109519004822,0.1620844602584839,0.2124512493610382
times,0.21414996683597565,0.1940913051366806,0.29093852639198303,0.06276162713766098,0.1983940303325653,0.32875269651412964,0.26316767930984497,0.16382984817028046,0.18880689144134521
",",0.3087472915649414,0.2661169171333313,0.4933079481124878,0.2287054806947708,0.2144405096769333,0.44245919585227966,0.39254459738731384,0.22024935483932495,0.31091248989105225
in,0.30808621644973755,0.304380863904953,0.6662389636039734,0.19965314865112305,0.28156906366348267,0.45010748505592346,0.3481820821762085,0.21463453769683838,0.20430970191955566
order,0.16634008288383484,0.26692959666252136,0.3284194767475128,0.2812924087047577,0.2762852609157562,0.35544881224632263,0.23933173716068268,0.15881888568401337,0.13725648820400238
to,0.455847829580307,0.42226478457450867,0.535392165184021,0.21757736802101135,0.4076496958732605,1.0,0.4972836375236511,0.21960826218128204,0.29463258385658264
continue,0.34721019864082336,0.2560933530330658,0.28966447710990906,0.1600334197282791,0.32637539505958557,0.4441169500350952,0.3588188588619232,0.25515735149383545,0.23903685808181763
their,0.35142919421195984,0.2567629814147949,0.516537070274353,0.16326285898685455,0.36186301708221436,0.44619059562683105,0.3200586438179016,0.18927974998950958,0.1898253709077835
bodhisattva,0.26302748918533325,0.13160765171051025,0.2109043151140213,0.4782675504684448,0.2544323801994324,0.2636365592479706,0.2911364734172821,0.4311319589614868,0.20698724687099457
vow,0.24468858540058136,0.1737137883901596,0.244873046875,0.3211057782173157,0.1711335927248001,0.29791751503944397,0.1882219761610031,0.3097831904888153,0.16463518142700195
is,0.28837618231773376,0.1382724791765213,0.5823672413825989,0.17610245943069458,0.31959035992622375,0.42745086550712585,0.4819129705429077,0.19375185668468475,0.22961433231830597
called,0.3235960602760315,0.2737511694431305,0.489897221326828,0.1513001173734665,0.22298797965049744,0.2987143397331238,0.2761072516441345,0.277566522359848,0.18963319063186646
a,0.3320399522781372,0.24550430476665497,0.5829201340675354,0.20858566462993622,0.3650607168674469,0.45503583550453186,0.39883795380592346,0.21887549757957458,0.23916715383529663
tulku,0.22875241935253143,0.2171177715063095,0.29448169469833374,0.46191778779029846,0.12921275198459625,0.22456157207489014,0.19557200372219086,0.30001911520957947,0.20201897621154785
.,0.3567904531955719,0.25779226422309875,0.5934505462646484,0.16730062663555145,0.323413223028183,0.4645031690597534,0.4383580684661865,0.19837509095668793,0.4130953550338745
