,the,4,sales,and,service,centers,are,viewed,as
in,0.6662389636039734,0.08310048282146454,0.2021544724702835,0.4954058527946472,0.1740635335445404,0.3050653338432312,0.3841303884983063,0.194101944565773,0.3887844979763031
1965,0.09033208340406418,0.0964139848947525,-0.05352864786982536,0.032571952790021896,0.0017016507918015122,-0.14310532808303833,0.032928384840488434,0.0006812620558775961,0.10019949078559875
",",0.4933079481124878,0.15652385354042053,0.2223382443189621,0.6633074283599854,0.2389259785413742,0.18621011078357697,0.4062570035457611,0.2206074744462967,0.48816442489624023
at,0.457212895154953,0.0922076404094696,0.15828846395015717,0.3571503460407257,0.2093784511089325,0.25646108388900757,0.2074895054101944,0.22511647641658783,0.28092536330223083
the,1.0,0.15499350428581238,0.18809081614017487,0.5171257257461548,0.22661015391349792,0.3307511508464813,0.40399202704429626,0.34172287583351135,0.48381632566452026
instigation,0.31134524941444397,0.18898501992225647,0.050249163061380386,0.1842237412929535,0.26553264260292053,0.2884529232978821,0.1205768957734108,0.1860639601945877,0.20180411636829376
of,0.733189046382904,0.17227263748645782,0.16567732393741608,0.5116966962814331,0.18425606191158295,0.2771235704421997,0.39081433415412903,0.27454227209091187,0.3886612355709076
warner,0.2301838994026184,0.07987871021032333,0.21707095205783844,0.2326769232749939,0.1473504602909088,0.15939201414585114,0.12853403389453888,0.15968982875347137,0.2300994098186493
sinback,0.30068886280059814,0.14005105197429657,0.2798745036125183,0.3491363823413849,0.24564817547798157,0.16100330650806427,0.19645190238952637,0.20542241632938385,0.32753750681877136
",",0.4933079481124878,0.15652385354042053,0.2223382443189621,0.6633074283599854,0.2389259785413742,0.18621011078357697,0.4062570035457611,0.2206074744462967,0.48816442489624023
a,0.5829201340675354,0.08102071285247803,0.24190501868724823,0.3739250600337982,0.23104366660118103,0.27225613594055176,0.265255331993103,0.22637882828712463,0.39550232887268066
data,0.20546740293502808,0.022111453115940094,0.2001122236251831,0.23368559777736664,0.21897931396961212,0.22105909883975983,0.192618265748024,0.17197197675704956,0.17336879670619965
network,0.27187061309814453,0.009909438900649548,0.2277568131685257,0.27591994404792786,0.30970117449760437,0.287153035402298,0.2036537528038025,0.3065511882305145,0.2054080367088318
based,0.29860720038414,0.004101566504687071,0.22931714355945587,0.2660958170890808,0.16225408017635345,0.2369498610496521,0.3002447783946991,0.15395037829875946,0.2264380156993866
on,0.5107308030128479,0.0647423267364502,0.24581362307071686,0.4077630043029785,0.21384719014167786,0.2477446049451828,0.268924742937088,0.3040112555027008,0.36047765612602234
this,0.6274310946464539,0.025583302602171898,0.19398969411849976,0.42353692650794983,0.2517107129096985,0.22260043025016785,0.35762670636177063,0.3171018064022064,0.43993282318115234
voice-phone,0.19556234776973724,0.024699294939637184,0.26196691393852234,0.24651136994361877,0.2663858234882355,0.15923215448856354,0.2029641717672348,0.13196022808551788,0.25299695134162903
network,0.27187061309814453,0.009909438900649548,0.2277568131685257,0.27591994404792786,0.30970117449760437,0.287153035402298,0.2036537528038025,0.3065511882305145,0.2054080367088318
was,0.48711544275283813,0.23394860327243805,0.23775486648082733,0.3740963041782379,0.22689001262187958,0.1675269901752472,0.3076191842556,0.20419913530349731,0.3677520453929901
designed,0.2559613883495331,0.129648357629776,0.18232844769954681,0.2359010875225067,0.19692067801952362,0.18894322216510773,0.14064814150333405,0.2738097310066223,0.23383614420890808
to,0.535392165184021,0.059323787689208984,0.24637509882450104,0.48971283435821533,0.24411341547966003,0.23697607219219208,0.3504326641559601,0.22659115493297577,0.42092081904411316
connect,0.28719469904899597,0.00846558902412653,0.11197037249803543,0.24899420142173767,0.2683864235877991,0.30086734890937805,0.3178507685661316,0.20564086735248566,0.1250377744436264
ge,0.17362771928310394,0.09029260277748108,0.20410481095314026,0.18000748753547668,0.19365687668323517,0.08636651933193207,0.11451897025108337,0.11409692466259003,0.1007845476269722
's,-0.01540423184633255,-0.0858617052435875,0.04694020748138428,0.06895173341035843,0.017307469621300697,0.023153606802225113,-0.008927806280553341,-0.004221256822347641,-0.05775856226682663
four,0.40344667434692383,0.05966099724173546,0.14250993728637695,0.34700489044189453,0.13996493816375732,0.18796662986278534,0.3568944036960602,0.12037771195173264,0.21867670118808746
computer,0.19781450927257538,-0.011406133882701397,0.22334226965904236,0.2362591028213501,0.20845623314380646,0.2351047694683075,0.21593840420246124,0.22651192545890808,0.18216735124588013
sales,0.18809081614017487,-0.010911144316196442,1.0000001192092896,0.2523452341556549,0.2824479043483734,0.17705130577087402,0.1315358728170395,0.20729950070381165,0.21310457587242126
