,who,may,change,the,date,by,up,to,a,month,",",on,the,proposal,of,the,po,?
the,0.3733934462070465,0.2694292366504669,0.3641999065876007,1.0,0.25333094596862793,0.4408751428127289,0.38423117995262146,0.535392165184021,0.5829201340675354,0.2821349799633026,0.4933079481124878,0.5107308030128479,1.0,0.24154584109783173,0.733189046382904,1.0,0.1867695450782776,0.22068053483963013
date,0.13548210263252258,0.27594587206840515,0.15418247878551483,0.25333094596862793,1.0,0.1930214762687683,0.17187295854091644,0.2530132532119751,0.20166118443012238,0.3354404866695404,0.2279704213142395,0.21806180477142334,0.25333094596862793,0.1737164855003357,0.19568462669849396,0.25333094596862793,0.1023879125714302,0.2698357403278351
of,0.2827862501144409,0.26447007060050964,0.2569013833999634,0.733189046382904,0.19568462669849396,0.3646814823150635,0.32945773005485535,0.41548454761505127,0.5052502155303955,0.23822399973869324,0.4946078956127167,0.3966929316520691,0.733189046382904,0.18171913921833038,1.0,0.733189046382904,0.17525362968444824,0.1826142966747284
the,0.3733934462070465,0.2694292366504669,0.3641999065876007,1.0,0.25333094596862793,0.4408751428127289,0.38423117995262146,0.535392165184021,0.5829201340675354,0.2821349799633026,0.4933079481124878,0.5107308030128479,1.0,0.24154584109783173,0.733189046382904,1.0,0.1867695450782776,0.22068053483963013
poll,0.27574092149734497,0.19567334651947021,0.16857635974884033,0.23910145461559296,0.19694460928440094,0.2048029601573944,0.20235028862953186,0.23188330233097076,0.1860024631023407,0.19929827749729156,0.21387311816215515,0.26017341017723083,0.23910145461559296,0.2668232023715973,0.18281781673431396,0.23910145461559296,0.11905014514923096,0.2697046399116516
may,0.23082798719406128,0.9999998807907104,0.2796947658061981,0.2694292366504669,0.27594587206840515,0.1970296949148178,0.2067306935787201,0.391582727432251,0.29255667328834534,0.24754159152507782,0.5007920861244202,0.3428080081939697,0.2694292366504669,0.2293459177017212,0.26447007060050964,0.2694292366504669,0.05760704353451729,0.2768254578113556
be,0.3371641933917999,0.45514434576034546,0.4429277777671814,0.4248143136501312,0.26916593313217163,0.43158695101737976,0.27963516116142273,0.4972836375236511,0.39883795380592346,0.22338947653770447,0.39254459738731384,0.37900757789611816,0.4248143136501312,0.2579894959926605,0.33904364705085754,0.4248143136501312,0.15207912027835846,0.3324260413646698
varied,0.12923531234264374,0.17054888606071472,0.26003676652908325,0.28940922021865845,0.1256149709224701,0.23458465933799744,0.17633797228336334,0.2537915110588074,0.23873841762542725,0.10519884526729584,0.23590058088302612,0.2151639461517334,0.28940922021865845,0.1245674416422844,0.3254011273384094,0.28940922021865845,0.09815164655447006,0.14171531796455383
by,0.39727845788002014,0.1970296949148178,0.2329561412334442,0.4408751428127289,0.1930214762687683,1.0000001192092896,0.2738759219646454,0.33534231781959534,0.32094135880470276,0.13876639306545258,0.3680937886238098,0.33887791633605957,0.4408751428127289,0.18392276763916016,0.3646814823150635,0.4408751428127289,0.1314128190279007,0.17966607213020325
up,0.26056501269340515,0.2067306935787201,0.2605941891670227,0.38423117995262146,0.17187295854091644,0.2738759219646454,1.0000001192092896,0.40375280380249023,0.32523053884506226,0.14794470369815826,0.34193792939186096,0.34194523096084595,0.38423117995262146,0.2977048456668854,0.32945773005485535,0.38423117995262146,0.13669739663600922,0.1819818764925003
to,0.42656609416007996,0.391582727432251,0.3581787943840027,0.535392165184021,0.2530132532119751,0.33534231781959534,0.40375280380249023,1.0,0.45503583550453186,0.24505755305290222,0.44245919585227966,0.41031414270401,0.535392165184021,0.30947795510292053,0.41548454761505127,0.535392165184021,0.15240855515003204,0.29463258385658264
