,what,is,the,name,for,the,smaller,streams,along,the,region,northern,germany,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.4739971458911896,1.0,0.3588939607143402,0.260405570268631,0.39495137333869934,1.0,0.35020557045936584,0.3422943353652954,0.3181285262107849,0.22068053483963013
name,0.18623162806034088,0.3359788954257965,0.3171212375164032,1.0,0.25737348198890686,0.3171212375164032,0.1419886201620102,0.17381468415260315,0.13465045392513275,0.3171212375164032,0.19915026426315308,0.20375952124595642,0.15115536749362946,0.15381577610969543
rijn,0.12599071860313416,0.14968563616275787,0.15022686123847961,0.12630204856395721,0.14207713305950165,0.15022686123847961,0.16258199512958527,0.20213447511196136,0.15433521568775177,0.15022686123847961,0.17484675347805023,0.1524416208267212,0.29008790850639343,0.15792600810527802
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.24995659291744232,0.28180238604545593,0.29824912548065186,0.4933079481124878,0.2119160145521164,0.29473260045051575,0.2898865044116974,0.31091248989105225
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.2635002136230469,0.314039945602417,0.40150508284568787,0.17215733230113983,0.24230526387691498,0.279703289270401,0.40150508284568787,0.2132602334022522,0.2595764696598053,0.18705032765865326,0.19969791173934937
here,0.5220553874969482,0.3368209898471832,0.37885698676109314,0.22922948002815247,0.3840431272983551,0.37885698676109314,0.2768397331237793,0.23237958550453186,0.24009083211421967,0.37885698676109314,0.23169399797916412,0.18460896611213684,0.19471809267997742,0.5686008334159851
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.17627742886543274,0.36199691891670227,0.5107308030128479,0.2226184457540512,0.2370377779006958,0.41361382603645325,0.5107308030128479,0.17006917297840118,0.1784326285123825,0.23571176826953888,0.2714994251728058
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4464869201183319,0.4933079481124878,0.24995659291744232,0.28180238604545593,0.29824912548065186,0.4933079481124878,0.2119160145521164,0.29473260045051575,0.2898865044116974,0.31091248989105225
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.43268078565597534,0.5823672413825989,0.22372925281524658,0.2553871273994446,0.23571021854877472,0.5823672413825989,0.3317503035068512,0.25616052746772766,0.2201172411441803,0.22961433231830597
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.275164932012558,0.4236139953136444,0.3718377649784088,0.2568661868572235,0.2054000347852707,0.1619422286748886,0.3718377649784088,0.20852907001972198,0.1416221261024475,0.2561575770378113,0.22430120408535004
