,what,is,the,minimum,required,if,you,want,to,teach,in,canada,?
teaching,0.27416905760765076,0.16213442385196686,0.2182690054178238,0.13746872544288635,0.18910564482212067,0.15667687356472015,0.18933749198913574,0.21059025824069977,0.2762126624584198,0.7737311720848083,0.2659059166908264,0.18795564770698547,0.20424684882164001
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.16051530838012695,0.20162324607372284,0.2589588761329651,0.21252386271953583,0.2281211018562317,0.45010748505592346,0.23312166333198547,1.0,0.3175714612007141,0.20430970191955566
canada,0.19760756194591522,0.20416449010372162,0.2934837341308594,0.22334030270576477,0.18331634998321533,0.15681304037570953,0.17401696741580963,0.18112118542194366,0.21444441378116608,0.1658613532781601,0.3175714612007141,0.9999999403953552,0.15722735226154327
requires,0.24784088134765625,0.3339230418205261,0.2693159878253937,0.42665359377861023,0.776898205280304,0.38680121302604675,0.33225610852241516,0.3545558452606201,0.2967781126499176,0.24013811349868774,0.16126661002635956,0.16748715937137604,0.26020103693008423
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.2512331008911133,0.2891559302806854,0.41272827982902527,0.334549218416214,0.2898913025856018,0.45503583550453186,0.18608243763446808,0.539380669593811,0.2316429316997528,0.23916715383529663
post-secondary,0.2607934772968292,0.24217359721660614,0.2635050117969513,0.23061563074588776,0.27987101674079895,0.2636309266090393,0.2459675818681717,0.21813936531543732,0.29251307249069214,0.26429346203804016,0.25477343797683716,0.21936577558517456,0.24135255813598633
degree,0.21753965318202972,0.18510471284389496,0.20765221118927002,0.22626063227653503,0.24687190353870392,0.17561346292495728,0.1623936891555786,0.13456672430038452,0.23240768909454346,0.26654618978500366,0.28089648485183716,0.1696268618106842,0.1060895025730133
bachelor,0.19332286715507507,0.16306135058403015,0.17960217595100403,0.1785004884004593,0.22442255914211273,0.13954390585422516,0.14789225161075592,0.16408169269561768,0.17299802601337433,0.31092917919158936,0.2620902359485626,0.20106248557567596,0.07728833705186844
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.00876589585095644,0.010141395032405853,-0.0015437148977071047,0.03899187967181206,0.009669095277786255,0.03782717138528824,-0.013839141465723515,-0.037580832839012146,0.04991593211889267,-0.023395681753754616
degree,0.21753965318202972,0.18510471284389496,0.20765221118927002,0.22626063227653503,0.24687190353870392,0.17561346292495728,0.1623936891555786,0.13456672430038452,0.23240768909454346,0.26654618978500366,0.28089648485183716,0.1696268618106842,0.1060895025730133
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.16740559041500092,0.2724599838256836,0.421799898147583,0.31283900141716003,0.31944841146469116,0.4645031690597534,0.2642667293548584,0.5591574311256409,0.2708069980144501,0.4130953550338745
