,who,did,the,snp,obtain,16,seats,from,?
the,0.3733934462070465,0.34736719727516174,1.0,0.283728688955307,0.21407602727413177,0.0058518932200968266,0.25880131125450134,0.40150508284568787,0.22068053483963013
snp,0.2023230940103531,0.1372436136007309,0.283728688955307,1.0,0.1494903713464737,0.060097213834524155,0.3624264597892761,0.18264254927635193,0.14808869361877441
took,0.2481452226638794,0.42470768094062805,0.31657639145851135,0.14274968206882477,0.16592802107334137,0.03222259134054184,0.13564057648181915,0.2382442206144333,0.14109265804290771
16,0.08880186825990677,0.015878839418292046,0.0058518932200968266,0.060097213834524155,0.0411970317363739,1.0,0.08058667927980423,0.09613096714019775,0.08446579426527023
seats,0.20975743234157562,0.16118532419204712,0.25880131125450134,0.3624264597892761,0.10414797067642212,0.08058667927980423,1.0,0.1905638575553894,0.10678832978010178
from,0.27839982509613037,0.20248863101005554,0.40150508284568787,0.18264254927635193,0.24089112877845764,0.09613096714019775,0.1905638575553894,1.0,0.19969791173934937
labour,0.2062065452337265,0.10617300868034363,0.1636447161436081,0.4118184745311737,0.12185448408126831,0.0008512016502209008,0.3248540163040161,0.13942566514015198,0.15689024329185486
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2538265883922577,0.20451262593269348,0.04709499701857567,0.22755272686481476,0.39760664105415344,0.31091248989105225
with,0.3282766342163086,0.25472134351730347,0.4223487675189972,0.17483806610107422,0.21885082125663757,0.023928450420498848,0.1449013352394104,0.26272761821746826,0.2433311939239502
many,0.4149286150932312,0.375588983297348,0.4335206151008606,0.227031409740448,0.19147582352161407,0.06954623758792877,0.1988271325826645,0.33099696040153503,0.2124512493610382
of,0.2827862501144409,0.2513895630836487,0.733189046382904,0.26387298107147217,0.22279390692710876,0.005479797255247831,0.22482673823833466,0.4249346852302551,0.1826142966747284
their,0.3767721951007843,0.38078752160072327,0.516537070274353,0.19337835907936096,0.2757963538169861,0.06486149877309799,0.2117362916469574,0.3038119673728943,0.1898253709077835
key,0.10147488117218018,0.14891697466373444,0.2260027974843979,0.2632552981376648,0.2094034105539322,0.05675026774406433,0.14424841105937958,0.14647065103054047,0.18782930076122284
figures,0.2154833972454071,0.13928313553333282,0.2664589285850525,0.17139486968517303,0.17680679261684418,-0.08342209458351135,0.19694557785987854,0.20966191589832306,0.15584851801395416
not,0.369414746761322,0.6481515765190125,0.4310511648654938,0.22017015516757965,0.2845298647880554,-0.0013140100054442883,0.2094612866640091,0.2567668557167053,0.41942933201789856
returned,0.23187772929668427,0.32570260763168335,0.32857778668403625,0.11745834350585938,0.24097180366516113,0.00024393956118728966,0.14216062426567078,0.25394386053085327,0.07695316523313522
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.17458908259868622,0.34578439593315125,0.055442724376916885,0.19008702039718628,0.4069952368736267,0.29463258385658264
parliament,0.237068772315979,0.20460043847560883,0.26521381735801697,0.4491223990917206,0.1380486935377121,0.004939742386341095,0.45153921842575073,0.18214061856269836,0.1586504578590393
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2538265883922577,0.20451262593269348,0.04709499701857567,0.22755272686481476,0.39760664105415344,0.31091248989105225
although,0.3003382384777069,0.29252153635025024,0.3265823423862457,0.19769667088985443,0.24540917575359344,0.0197959803044796,0.19661836326122284,0.22925063967704773,0.15541206300258636
labour,0.2062065452337265,0.10617300868034363,0.1636447161436081,0.4118184745311737,0.12185448408126831,0.0008512016502209008,0.3248540163040161,0.13942566514015198,0.15689024329185486
leader,0.31168457865715027,0.16038542985916138,0.27799519896507263,0.2781114876270294,0.11725986003875732,0.07414703071117401,0.2785441279411316,0.17586389183998108,0.09527933597564697
iain,0.3305266201496124,0.18416619300842285,0.2207079827785492,0.43107184767723083,0.15729428827762604,0.0794045478105545,0.22136254608631134,0.12448820471763611,0.1350942701101303
gray,0.17458562552928925,0.11630945652723312,0.20816172659397125,0.1723404973745346,0.09544432163238525,0.07349506765604019,0.1501794010400772,0.18410159647464752,0.18180930614471436
retained,0.14383310079574585,0.28948208689689636,0.2996930480003357,0.2263108342885971,0.30241143703460693,0.007365787401795387,0.15768080949783325,0.2380828708410263,0.0590956024825573
east,0.20229652523994446,0.17160435020923615,0.3383176326751709,0.2008734494447708,0.09820530563592911,-0.029586780816316605,0.19251297414302826,0.27024149894714355,0.10070597380399704
lothian,0.17629271745681763,0.14268572628498077,0.2804417014122009,0.2757481336593628,0.049857255071401596,-0.05886543542146683,0.21413487195968628,0.16059570014476776,0.08631976693868637
by,0.39727845788002014,0.18574509024620056,0.4408751428127289,0.17104749381542206,0.18065550923347473,0.04803045094013214,0.15212112665176392,0.3373257517814636,0.17966607213020325
151,0.06027810275554657,0.061543721705675125,0.02751023694872856,0.09396342188119888,-0.09116168320178986,0.01395541150122881,0.11502114683389664,0.02842097170650959,-0.06296487897634506
votes,0.2908877730369568,0.22304154932498932,0.2303277552127838,0.3159879446029663,0.17521770298480988,0.09676928073167801,0.4076401889324188,0.1461344212293625,0.23052719235420227
.,0.3541337847709656,0.35288307070732117,0.5934505462646484,0.3462342321872711,0.1978217512369156,0.08594998717308044,0.2494688183069229,0.41536515951156616,0.4130953550338745
