,when,was,the,basis,for,the,social,chapter,developed,?
the,0.5091903209686279,0.48711544275283813,1.0,0.2758672833442688,0.4739971458911896,1.0,0.21797899901866913,0.29158273339271545,0.24490751326084137,0.22068053483963013
basis,0.1897476762533188,0.2420235276222229,0.2758672833442688,1.0000001192092896,0.34436357021331787,0.2758672833442688,0.2561687231063843,0.1958538144826889,0.2869626581668854,0.14255106449127197
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.34436357021331787,0.9999999403953552,0.4739971458911896,0.2460131198167801,0.17448696494102478,0.22294896841049194,0.264628142118454
the,0.5091903209686279,0.48711544275283813,1.0,0.2758672833442688,0.4739971458911896,1.0,0.21797899901866913,0.29158273339271545,0.24490751326084137,0.22068053483963013
social,0.17212750017642975,0.196878582239151,0.21797899901866913,0.2561687231063843,0.2460131198167801,0.21797899901866913,1.0,0.09733142703771591,0.18669067323207855,0.1615191102027893
chapter,0.22070160508155823,0.15535534918308258,0.29158273339271545,0.1958538144826889,0.17448696494102478,0.29158273339271545,0.09733142703771591,1.0,0.10337091982364655,0.20212359726428986
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.2420235276222229,0.3863949179649353,0.48711544275283813,0.196878582239151,0.15535534918308258,0.3253139555454254,0.18412111699581146
developed,0.19180624186992645,0.3253139555454254,0.24490751326084137,0.2869626581668854,0.22294896841049194,0.24490751326084137,0.18669067323207855,0.10337091982364655,1.0000001192092896,0.10763012617826462
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.24894960224628448,0.4322226941585541,0.6662389636039734,0.23382627964019775,0.17266090214252472,0.2498214840888977,0.20430970191955566
1989,-0.1379205584526062,0.06480737775564194,-0.009533590637147427,-0.029053544625639915,-0.06098385527729988,-0.009533590637147427,0.03409900888800621,0.02227126993238926,0.041667282581329346,0.08110656589269638
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.29579752683639526,0.3248702883720398,0.4408751428127289,0.17605063319206238,0.18838970363140106,0.2796236276626587,0.17966607213020325
the,0.5091903209686279,0.48711544275283813,1.0,0.2758672833442688,0.4739971458911896,1.0,0.21797899901866913,0.29158273339271545,0.24490751326084137,0.22068053483963013
``,0.07174111902713776,-0.012679691426455975,0.029072100296616554,0.05432598292827606,0.01270448137074709,0.029072100296616554,0.0685405433177948,0.011363795958459377,0.007079461123794317,0.0685480609536171
social,0.17212750017642975,0.196878582239151,0.21797899901866913,0.2561687231063843,0.2460131198167801,0.21797899901866913,1.0,0.09733142703771591,0.18669067323207855,0.1615191102027893
partners,0.1821286827325821,0.1373923420906067,0.13242726027965546,0.16275855898857117,0.215999037027359,0.13242726027965546,0.25933218002319336,0.09803066402673721,0.2571917474269867,0.10955255478620529
'',-0.07688097655773163,0.04456103965640068,0.041273195296525955,0.06054284796118736,-0.04479556903243065,0.041273195296525955,0.01732291281223297,0.05710073933005333,-0.01097940281033516,0.018684765323996544
representatives,0.17181353271007538,0.24171686172485352,0.2691882848739624,0.28225404024124146,0.21602854132652283,0.2691882848739624,0.21540245413780212,0.2745710015296936,0.17214669287204742,0.14079871773719788
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23746788501739502,0.4464869201183319,0.4933079481124878,0.2674078345298767,0.19008858501911163,0.24565434455871582,0.31091248989105225
namely,0.22608695924282074,0.10310938209295273,0.309270441532135,0.2351149320602417,0.17869549989700317,0.309270441532135,0.14397071301937103,0.13117115199565887,0.1450529545545578,0.18782232701778412
unice,0.18914669752120972,0.23699362576007843,0.2676805257797241,0.2323044240474701,0.27642765641212463,0.2676805257797241,0.32647913694381714,0.12866535782814026,0.10204363614320755,0.23634421825408936
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23746788501739502,0.4464869201183319,0.4933079481124878,0.2674078345298767,0.19008858501911163,0.24565434455871582,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.2758672833442688,0.4739971458911896,1.0,0.21797899901866913,0.29158273339271545,0.24490751326084137,0.22068053483963013
employers,0.19837351143360138,0.17833228409290314,0.2401597499847412,0.2159494161605835,0.27313733100891113,0.2401597499847412,0.2677309513092041,0.06135372072458267,0.20959550142288208,0.1917707920074463
',0.2558356821537018,0.33675912022590637,0.474788099527359,0.18534986674785614,0.31184524297714233,0.474788099527359,0.13682404160499573,0.18634487688541412,0.17608153820037842,0.330942302942276
confederation,0.15986080467700958,0.254781037569046,0.338320255279541,0.175911083817482,0.2157653421163559,0.338320255279541,0.16070805490016937,0.15389026701450348,0.14512194693088531,0.1559038907289505
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23746788501739502,0.4464869201183319,0.4933079481124878,0.2674078345298767,0.19008858501911163,0.24565434455871582,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.2758672833442688,0.4739971458911896,1.0,0.21797899901866913,0.29158273339271545,0.24490751326084137,0.22068053483963013
european,0.1717725396156311,0.22463937103748322,0.3423081040382385,0.1877344846725464,0.2838500738143921,0.3423081040382385,0.27265316247940063,0.07376755774021149,0.25989091396331787,0.14560863375663757
