,when,was,waruhiu,itote,captured,?
the,0.5091903209686279,0.48711544275283813,0.29313451051712036,0.2985721826553345,0.2944179177284241,0.22068053483963013
capture,0.2154914140701294,0.19458261132240295,0.2773086130619049,0.2617517411708832,0.8150180578231812,0.12945853173732758
of,0.3757161796092987,0.4069072902202606,0.3224335312843323,0.2966042160987854,0.2722737491130829,0.1826142966747284
warũhiũ,0.1551012396812439,0.1967357099056244,0.6327696442604065,0.24688729643821716,0.20619435608386993,0.15495353937149048
itote,0.19220411777496338,0.25723376870155334,0.4557717740535736,0.9999998807907104,0.22170661389827728,0.30962395668029785
(,0.2459595799446106,0.2980341613292694,0.35936394333839417,0.3081676661968231,0.17535492777824402,0.40561532974243164
aka,0.05013052746653557,0.14816008508205414,0.24645943939685822,0.2590077221393585,0.11371949315071106,0.21979451179504395
general,0.20438088476657867,0.2445744127035141,0.22366280853748322,0.21458378434181213,0.16256536543369293,0.1972234547138214
china,0.20798636972904205,0.20567192137241364,0.40798458456993103,0.2725343406200409,0.10140629857778549,0.18007943034172058
),0.2538422644138336,0.3267642855644226,0.3724285066127777,0.31520652770996094,0.18214084208011627,0.42300865054130554
on,0.37706470489501953,0.3909217119216919,0.25009676814079285,0.2598482370376587,0.20104572176933289,0.2714994251728058
15,-0.04047394171357155,0.08381640166044235,0.00901035312563181,-0.11769595742225647,0.00696810707449913,-0.010706285014748573
january,0.23963238298892975,0.3933098316192627,0.31743234395980835,0.21625977754592896,0.18376584351062775,0.28608936071395874
1954,0.06652027368545532,7.787912909407169e-05,0.09053193777799606,-0.08139587193727493,0.032082583755254745,-0.028866952285170555
and,0.4716290831565857,0.3740963041782379,0.3343293070793152,0.24049612879753113,0.23562167584896088,0.20544172823429108
the,0.5091903209686279,0.48711544275283813,0.29313451051712036,0.2985721826553345,0.2944179177284241,0.22068053483963013
subsequent,0.20265498757362366,0.20916680991649628,0.3004198670387268,0.2800845801830292,0.11050353944301605,0.13111010193824768
interrogation,0.3037089407444,0.23275919258594513,0.26701638102531433,0.28672879934310913,0.2558191120624542,0.24190327525138855
led,0.2072276622056961,0.34443995356559753,0.20349985361099243,0.12293550372123718,0.3527730107307434,0.09273858368396759
to,0.5423505902290344,0.3636345863342285,0.21545040607452393,0.331343412399292,0.22367680072784424,0.29463258385658264
a,0.44397395849227905,0.4508470594882965,0.296144038438797,0.32793521881103516,0.21114401519298553,0.23916715383529663
better,0.24589477479457855,0.17653010785579681,0.20075105130672455,0.24777396023273468,0.11143296211957932,0.32159438729286194
understanding,0.3055726885795593,0.19648301601409912,0.19584017992019653,0.34379345178604126,0.04697667062282562,0.3107462525367737
of,0.3757161796092987,0.4069072902202606,0.3224335312843323,0.2966042160987854,0.2722737491130829,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.29313451051712036,0.2985721826553345,0.2944179177284241,0.22068053483963013
mau,0.11291714757680893,0.1807904988527298,0.32907766103744507,0.2799607217311859,0.20413188636302948,0.12663695216178894
mau,0.11291714757680893,0.1807904988527298,0.32907766103744507,0.2799607217311859,0.20413188636302948,0.12663695216178894
command,0.23274312913417816,0.22477014362812042,0.2400711625814438,0.25188663601875305,0.34328052401542664,0.13402260839939117
structure,0.20773598551750183,0.1626352071762085,0.08925288915634155,0.31121882796287537,0.11700151115655899,0.1770772784948349
.,0.475719153881073,0.40146201848983765,0.36059853434562683,0.3329928517341614,0.28043997287750244,0.4130953550338745
