,what,percentage,of,the,population,of,warsaw,was,jewish,in,1897,?
according,0.2776208221912384,0.18052242696285248,0.3307822346687317,0.3202974498271942,0.3151155114173889,0.3307822346687317,0.10470367968082428,0.31116798520088196,0.2617756128311157,0.29259276390075684,-0.06447169929742813,0.21173474192619324
to,0.455847829580307,0.25744274258613586,0.41548454761505127,0.535392165184021,0.19776633381843567,0.41548454761505127,0.1953994333744049,0.3636345863342285,0.19074052572250366,0.45010748505592346,-0.1238127127289772,0.29463258385658264
russian,0.1513282060623169,0.12145387381315231,0.16226479411125183,0.24014991521835327,0.13008631765842438,0.16226479411125183,0.40157637000083923,0.19927078485488892,0.3009997010231018,0.2035142034292221,0.003605638863518834,0.12951652705669403
census,0.2061002552509308,0.27352070808410645,0.19615516066551208,0.2524987757205963,0.6778454184532166,0.19615516066551208,0.13932354748249054,0.1721275895833969,0.20166735351085663,0.2571312189102173,-0.08022716641426086,0.12548218667507172
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.3060894012451172,1.0,0.19253842532634735,0.4069072902202606,0.14794707298278809,0.5696388483047485,-0.050145477056503296,0.1826142966747284
1897,-0.04215753823518753,-0.06878576427698135,-0.050145477056503296,-0.06401624530553818,-0.03213530033826828,-0.050145477056503296,0.0016610382590442896,0.000576548685785383,0.022123441100120544,-0.037797924131155014,0.9999998807907104,-0.011546479538083076
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.4946078956127167,0.25300899147987366,0.45456063747406006,0.23398083448410034,0.5201468467712402,-0.029812507331371307,0.31091248989105225
out,0.3633197546005249,0.2497665137052536,0.34176841378211975,0.39404502511024475,0.14538586139678955,0.34176841378211975,0.10430089384317398,0.28168347477912903,0.1407061517238617,0.3576207756996155,-0.10872091352939606,0.22020699083805084
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.3060894012451172,1.0,0.19253842532634735,0.4069072902202606,0.14794707298278809,0.5696388483047485,-0.050145477056503296,0.1826142966747284
the,0.42745697498321533,0.2736506462097168,0.733189046382904,1.0,0.32044094800949097,0.733189046382904,0.23137180507183075,0.48711544275283813,0.19492539763450623,0.6662389636039734,-0.06401624530553818,0.22068053483963013
total,0.19850242137908936,0.46965354681015015,0.29045331478118896,0.27068960666656494,0.3710280954837799,0.29045331478118896,0.11657501757144928,0.14069223403930664,0.048941053450107574,0.27667245268821716,-0.13603483140468597,0.14396025240421295
population,0.2000674307346344,0.35606327652931213,0.3060894012451172,0.32044094800949097,1.0,0.3060894012451172,0.1863958090543747,0.1935066133737564,0.2111501693725586,0.3268454372882843,-0.03213530033826828,0.14449454843997955
of,0.33290785551071167,0.24724560976028442,1.0,0.733189046382904,0.3060894012451172,1.0,0.19253842532634735,0.4069072902202606,0.14794707298278809,0.5696388483047485,-0.050145477056503296,0.1826142966747284
"638,000",0.13361360132694244,0.03957474231719971,0.28866228461265564,0.2248474657535553,0.0302873607724905,0.28866228461265564,0.19266971945762634,0.2162242978811264,0.2502700984477997,0.16994920372962952,-0.08021053671836853,0.15030118823051453
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.4933079481124878,0.2967977225780487,0.4946078956127167,0.25300899147987366,0.45456063747406006,0.23398083448410034,0.5201468467712402,-0.029812507331371307,0.31091248989105225
jews,0.22131574153900146,0.1891186386346817,0.2207300066947937,0.24901628494262695,0.2635205090045929,0.2207300066947937,0.2863190770149231,0.1935933530330658,0.6836509108543396,0.2334136962890625,-0.0629487857222557,0.16730794310569763
constituted,0.22958192229270935,0.23181059956550598,0.38538259267807007,0.3523770868778229,0.28517571091651917,0.38538259267807007,0.13186098635196686,0.2563793361186981,0.16533543169498444,0.2523535192012787,-0.04338071867823601,0.18476234376430511
"219,000",-0.1254507452249527,-0.16708990931510925,0.009088844992220402,0.026617448776960373,-0.19100016355514526,0.009088844992220402,0.028226086869835854,0.10539252310991287,0.012467588298022747,0.006063808687031269,0.07498469948768616,-0.1395319551229477
(,0.2411840260028839,0.15512096881866455,0.35032153129577637,0.33289089798927307,0.14130665361881256,0.35032153129577637,0.1835584193468094,0.2980341613292694,0.1265600472688675,0.3087427020072937,-0.05777914449572563,0.40561532974243164
around,0.27475327253341675,0.2270122766494751,0.3296394646167755,0.40085816383361816,0.28779906034469604,0.3296394646167755,0.1713886260986328,0.24039418995380402,0.20036020874977112,0.41294145584106445,-0.0012673401506617665,0.14729668200016022
34,0.05857600271701813,-0.05059954524040222,-0.03786544129252434,0.0011487285373732448,-0.01832934282720089,-0.03786544129252434,0.03320155292749405,-0.0111698592081666,-0.031775135546922684,0.03443729504942894,-0.07933671772480011,-0.004250505939126015
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.21490740776062012,0.4585210084915161,0.19953428208827972,0.09878579527139664,0.11743833869695663,0.09837056696414948,0.19465309381484985,-0.02216271124780178,0.21441808342933655
percent,0.2506202459335327,0.7300876379013062,0.3004763424396515,0.277066707611084,0.4591834247112274,0.3004763424396515,0.13758932054042816,0.15081442892551422,0.1266622692346573,0.24886950850486755,-0.06008107215166092,0.14671556651592255
),0.26259949803352356,0.18347817659378052,0.3680361211299896,0.3456730246543884,0.1573704034090042,0.3680361211299896,0.19817118346691132,0.3267642855644226,0.1493406891822815,0.3326910734176636,-0.035223230719566345,0.42300865054130554
.,0.3567904531955719,0.28866735100746155,0.5352458953857422,0.5934505462646484,0.26950228214263916,0.5352458953857422,0.26825499534606934,0.40146201848983765,0.19860893487930298,0.5591574311256409,-0.023639611899852753,0.4130953550338745
