,what,did,luther,try,to,do,for,the,jews,?
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.24484941363334656,0.45010748505592346,0.23402775824069977,0.4322226941585541,0.6662389636039734,0.2334136962890625,0.20430970191955566
1523,-0.058873407542705536,-0.12093567103147507,0.004445450380444527,-0.01697772555053234,-0.08963276445865631,-0.023979071527719498,-0.016432927921414375,-0.06523832678794861,-0.0905066728591919,-0.1076718270778656
",",0.3087472915649414,0.3015086054801941,0.23255878686904907,0.27472031116485596,0.44245919585227966,0.3283645510673523,0.4464869201183319,0.4933079481124878,0.27184903621673584,0.31091248989105225
luther,0.2134782373905182,0.23667675256729126,1.0,0.15412436425685883,0.18029534816741943,0.10933273285627365,0.12958186864852905,0.1759674996137619,0.24326977133750916,0.1732746809720993
advised,0.26456019282341003,0.3517385721206665,0.06255439668893814,0.3849167227745056,0.3607461154460907,0.3081120550632477,0.2914423644542694,0.2796591818332672,0.1320340484380722,0.18871766328811646
kindness,0.37375304102897644,0.24049517512321472,0.15458734333515167,0.3035196363925934,0.2994745373725891,0.2757733464241028,0.2779295742511749,0.22352644801139832,0.27522116899490356,0.23247063159942627
toward,0.2619364559650421,0.1586475372314453,0.12438017129898071,0.25916585326194763,0.3459627032279968,0.15671567618846893,0.22335384786128998,0.3341628313064575,0.19700604677200317,0.09989774227142334
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.28568562865257263,0.535392165184021,0.30239659547805786,0.4739971458911896,1.0,0.24901628494262695,0.22068053483963013
jews,0.22131574153900146,0.23080717027187347,0.24326977133750916,0.14949879050254822,0.22399327158927917,0.2377673238515854,0.19548188149929047,0.24901628494262695,1.0000001192092896,0.16730794310569763
in,0.30808621644973755,0.2593238651752472,0.20523880422115326,0.24484941363334656,0.45010748505592346,0.23402775824069977,0.4322226941585541,0.6662389636039734,0.2334136962890625,0.20430970191955566
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.39859604835510254,0.5436353087425232,0.44533252716064453,0.4137635827064514,0.5473989248275757,0.27395346760749817,0.32716336846351624
jesus,0.307744562625885,0.18355801701545715,0.2590349614620209,0.07788697630167007,0.20926058292388916,0.2776592969894409,0.17945149540901184,0.23073002696037292,0.4108753204345703,0.19975169003009796
christ,0.2615339457988739,0.17013269662857056,0.2758595049381256,0.12356738746166229,0.22245259582996368,0.2089453637599945,0.1445605307817459,0.25124865770339966,0.3402741253376007,0.13772203028202057
was,0.22111038863658905,0.41399896144866943,0.19185513257980347,0.1551802158355713,0.3636345863342285,0.11523093283176422,0.3863949179649353,0.48711544275283813,0.1935933530330658,0.18412111699581146
born,0.16581368446350098,0.15831230580806732,0.13310980796813965,0.12468994408845901,0.13695985078811646,0.11914525181055069,0.23335127532482147,0.19202874600887299,0.12846967577934265,0.19166848063468933
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.2632726728916168,0.45503583550453186,0.26237669587135315,0.44038116931915283,0.5829201340675354,0.17522315680980682,0.23916715383529663
jew,0.20799759030342102,0.25726914405822754,0.2666005492210388,0.14547878503799438,0.2079152762889862,0.18753091990947723,0.21925987303256989,0.18198102712631226,0.6943495869636536,0.22572754323482513
and,0.31309178471565247,0.34479495882987976,0.20796556770801544,0.359083354473114,0.48971283435821533,0.276123583316803,0.5064792633056641,0.5171257257461548,0.2555774748325348,0.20544172823429108
also,0.42747777700424194,0.39334940910339355,0.22154976427555084,0.3221021294593811,0.5348826050758362,0.36242780089378357,0.5373267531394958,0.6021018624305725,0.19443780183792114,0.21848613023757935
aimed,0.2549166977405548,0.15651002526283264,0.10811826586723328,0.35484060645103455,0.2532106637954712,0.16829508543014526,0.19653503596782684,0.2317158579826355,0.14529608190059662,0.2069684863090515
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.5391331911087036,1.0,0.38876664638519287,0.4451248347759247,0.535392165184021,0.22399327158927917,0.29463258385658264
convert,0.23213930428028107,0.11352664232254028,0.1407083421945572,0.23389115929603577,0.357098251581192,0.2377619445323944,0.20581190288066864,0.20079432427883148,0.2961066961288452,0.2126215249300003
them,0.4994642734527588,0.44189682602882385,0.1940135955810547,0.5110113024711609,0.5916602611541748,0.4653012752532959,0.41447147727012634,0.4788833558559418,0.3200531303882599,0.35435691475868225
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.5391331911087036,1.0,0.38876664638519287,0.4451248347759247,0.535392165184021,0.22399327158927917,0.29463258385658264
christianity,0.27987581491470337,0.21473132073879242,0.3391180634498596,0.20962996780872345,0.28133612871170044,0.19156882166862488,0.166645810008049,0.2489117980003357,0.4690726697444916,0.22408421337604523
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.3077121675014496,0.4645031690597534,0.3613996207714081,0.4726039469242096,0.5934505462646484,0.2115412801504135,0.4130953550338745
