,sedimentary,rock,can,be,turned,into,which,of,the,three,types,of,rock,?
the,0.2576860189437866,0.23786304891109467,0.312528520822525,0.4248143136501312,0.3414173722267151,0.39493247866630554,0.6521818041801453,0.733189046382904,1.0,0.43452659249305725,0.23509301245212555,0.733189046382904,0.23786304891109467,0.22068053483963013
sedimentary,1.0,0.4918837249279022,0.18778736889362335,0.27282798290252686,0.18897227942943573,0.2809908390045166,0.3548518121242523,0.30878832936286926,0.2576860189437866,0.20196804404258728,0.27684104442596436,0.30878832936286926,0.4918837249279022,0.1575118452310562
rock,0.4918837249279022,1.0,0.1506635546684265,0.24234087765216827,0.12615546584129333,0.2020813673734665,0.2919301390647888,0.2653365731239319,0.23786304891109467,0.17912183701992035,0.17830850183963776,0.2653365731239319,1.0,0.13172835111618042
can,0.18778736889362335,0.1506635546684265,1.0,0.5791122913360596,0.2572396397590637,0.301788330078125,0.41132649779319763,0.2603091299533844,0.312528520822525,0.21489545702934265,0.42601388692855835,0.2603091299533844,0.1506635546684265,0.3226337134838104
then,0.158636212348938,0.18938525021076202,0.3455607295036316,0.38089728355407715,0.3549734354019165,0.42628222703933716,0.4444481134414673,0.2937326431274414,0.4297412931919098,0.31523916125297546,0.12112748622894287,0.2937326431274414,0.18938525021076202,0.2884598970413208
be,0.27282798290252686,0.24234087765216827,0.5791122913360596,1.0,0.3454827666282654,0.3462390601634979,0.476310670375824,0.33904364705085754,0.4248143136501312,0.25663426518440247,0.31168943643569946,0.33904364705085754,0.24234087765216827,0.3324260413646698
subsequently,0.1258930116891861,0.11882973462343216,0.1432991921901703,0.2655993700027466,0.23675347864627838,0.23395416140556335,0.2420702427625656,0.19330023229122162,0.2886511981487274,0.16921310126781464,0.0434904508292675,0.19330023229122162,0.11882973462343216,0.005594457965344191
turned,0.18897227942943573,0.12615546584129333,0.2572396397590637,0.3454827666282654,1.0,0.40972059965133667,0.31035420298576355,0.27018553018569946,0.3414173722267151,0.23390381038188934,0.14840684831142426,0.27018553018569946,0.12615546584129333,0.130948007106781
into,0.2809908390045166,0.2020813673734665,0.301788330078125,0.3462390601634979,0.40972059965133667,1.0,0.4405161738395691,0.32255905866622925,0.39493247866630554,0.30367451906204224,0.2332717925310135,0.32255905866622925,0.2020813673734665,0.15662476420402527
a,0.22127015888690948,0.25165656208992004,0.3915780484676361,0.39883795380592346,0.32632166147232056,0.3461161255836487,0.56894451379776,0.5052502155303955,0.5829201340675354,0.3025658130645752,0.27099108695983887,0.5052502155303955,0.25165656208992004,0.23916715383529663
metamorphic,0.6371334791183472,0.470113068819046,0.28249213099479675,0.22635863721370697,0.10352679342031479,0.29558154940605164,0.33025869727134705,0.21258093416690826,0.19381749629974365,0.1827429234981537,0.2651577591896057,0.21258093416690826,0.470113068819046,0.11114242672920227
rock,0.4918837249279022,1.0,0.1506635546684265,0.24234087765216827,0.12615546584129333,0.2020813673734665,0.2919301390647888,0.2653365731239319,0.23786304891109467,0.17912183701992035,0.17830850183963776,0.2653365731239319,1.0,0.13172835111618042
due,0.19624386727809906,0.18637855350971222,0.19167451560497284,0.29785820841789246,0.2692275643348694,0.15842439234256744,0.26323074102401733,0.2533245384693146,0.22577603161334991,0.09162242710590363,0.13841001689434052,0.2533245384693146,0.18637855350971222,0.10954997688531876
to,0.18232817947864532,0.22657817602157593,0.4979398250579834,0.4972836375236511,0.33177903294563293,0.38810545206069946,0.5345056653022766,0.41548454761505127,0.535392165184021,0.3043823838233948,0.20054484903812408,0.41548454761505127,0.22657817602157593,0.29463258385658264
heat,0.3103214204311371,0.2756347060203552,0.261982798576355,0.25805994868278503,0.17391054332256317,0.21984709799289703,0.28304964303970337,0.19590096175670624,0.2556036710739136,0.20167715847492218,0.17421941459178925,0.19590096175670624,0.2756347060203552,0.16343188285827637
and,0.30291467905044556,0.2808155119419098,0.3675691485404968,0.41766801476478577,0.372392475605011,0.36597734689712524,0.506277859210968,0.5116966962814331,0.5171257257461548,0.3826501965522766,0.3014242649078369,0.5116966962814331,0.2808155119419098,0.20544172823429108
