,what,objective,would,be,labeled,as,practical,?
the,0.42745697498321533,0.24117743968963623,0.4133751392364502,0.4248143136501312,0.2831297516822815,0.48381632566452026,0.22487887740135193,0.22068053483963013
objective,0.3859251141548157,0.9999999403953552,0.35834190249443054,0.29935064911842346,0.1952516734600067,0.20504701137542725,0.44476640224456787,0.2514022886753082
is,0.28837618231773376,0.23534484207630157,0.33626067638397217,0.4819129705429077,0.2062641680240631,0.43216490745544434,0.1970025897026062,0.22961433231830597
typically,0.2460547685623169,0.2592109739780426,0.2613261938095093,0.4431031346321106,0.38579946756362915,0.31947922706604004,0.3081367611885071,0.14485043287277222
a,0.3320399522781372,0.2810792028903961,0.398599237203598,0.39883795380592346,0.2557033598423004,0.39550232887268066,0.2746756970882416,0.23916715383529663
course,0.3412042260169983,0.28340548276901245,0.3512524664402008,0.36351922154426575,0.1257411241531372,0.3086532652378082,0.35432153940200806,0.28826573491096497
of,0.33290785551071167,0.2389526516199112,0.3353942930698395,0.33904364705085754,0.2756808400154114,0.3886612355709076,0.2982906401157379,0.1826142966747284
study,0.3123835027217865,0.18507856130599976,0.1529979407787323,0.23262172937393188,0.23013529181480408,0.23803003132343292,0.34080490469932556,0.15902167558670044
",",0.3087472915649414,0.2312176525592804,0.32586824893951416,0.39254459738731384,0.20426814258098602,0.48816442489624023,0.29843440651893616,0.31091248989105225
lesson,0.3164811134338379,0.18726851046085358,0.24501293897628784,0.21964840590953827,0.1195179671049118,0.180730402469635,0.2722286880016327,0.24912706017494202
plan,0.2947953939437866,0.3122659921646118,0.38749009370803833,0.2215609848499298,0.10631182044744492,0.22160357236862183,0.2297142893075943,0.1961054503917694
",",0.3087472915649414,0.2312176525592804,0.32586824893951416,0.39254459738731384,0.20426814258098602,0.48816442489624023,0.29843440651893616,0.31091248989105225
or,0.33867141604423523,0.28868991136550903,0.39548179507255554,0.5260903835296631,0.2985210418701172,0.4400654137134552,0.24113623797893524,0.32389625906944275
a,0.3320399522781372,0.2810792028903961,0.398599237203598,0.39883795380592346,0.2557033598423004,0.39550232887268066,0.2746756970882416,0.23916715383529663
practical,0.32826119661331177,0.44476640224456787,0.2726718783378601,0.2888796925544739,0.20050303637981415,0.2604967951774597,1.0,0.19861027598381042
skill,0.2639748454093933,0.339898020029068,0.2341078668832779,0.24721801280975342,0.11856365203857422,0.2650424540042877,0.38258740305900574,0.14437545835971832
.,0.3567904531955719,0.2545163035392761,0.35067233443260193,0.4383580684661865,0.2531788945198059,0.515582263469696,0.24168071150779724,0.4130953550338745
