,what,is,the,name,of,the,latin,translation,of,dioscorides,',book,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.24914836883544922,0.26402729749679565,0.733189046382904,0.3262089490890503,0.474788099527359,0.2652374505996704,0.22068053483963013
latin,0.1759578436613083,0.1937478482723236,0.24914836883544922,0.32249414920806885,0.23412929475307465,0.24914836883544922,1.0,0.3243323564529419,0.23412929475307465,0.29600679874420166,0.15121865272521973,0.18747279047966003,0.1303461492061615
translation,0.22188860177993774,0.24474994838237762,0.26402729749679565,0.2657293975353241,0.18704865872859955,0.26402729749679565,0.3243323564529419,0.9999998807907104,0.18704865872859955,0.15309728682041168,0.28818774223327637,0.4110705852508545,0.22574150562286377
de,0.10476839542388916,0.20309367775917053,0.23491892218589783,0.20640511810779572,0.26292696595191956,0.23491892218589783,0.1869998723268509,0.15754781663417816,0.26292696595191956,0.31712695956230164,0.25263482332229614,0.13256895542144775,0.11064168810844421
materia,0.2444755584001541,0.15364250540733337,0.1780187338590622,0.14210733771324158,0.19752740859985352,0.1780187338590622,0.1644774228334427,0.16662751138210297,0.19752740859985352,0.33103030920028687,0.14463946223258972,0.20295749604701996,0.20970690250396729
medica,0.13963454961776733,0.19918517768383026,0.15281075239181519,0.15340028703212738,0.19712603092193604,0.15281075239181519,0.20152787864208221,0.08154711872339249,0.19712603092193604,0.346174418926239,0.15871292352676392,0.14597256481647491,0.13558873534202576
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.2060166597366333,0.2620614171028137,0.35032153129577637,0.25863656401634216,0.5287467241287231,0.18474207818508148,0.40561532974243164
concerning,0.32910221815109253,0.20238538086414337,0.3162810802459717,0.048540517687797546,0.3457396328449249,0.3162810802459717,0.15601737797260284,0.32850372791290283,0.3457396328449249,0.13030998408794403,0.22013626992702484,0.2982954680919647,0.2719282805919647
medical,0.2389855533838272,0.22198186814785004,0.2398311346769333,0.1427740901708603,0.2826511859893799,0.2398311346769333,0.16601397097110748,0.20212918519973755,0.2826511859893799,0.15102916955947876,0.1766381412744522,0.1969011425971985,0.13234087824821472
substances,0.2663726210594177,0.25203269720077515,0.27348068356513977,0.16281667351722717,0.2613070607185364,0.27348068356513977,0.14314672350883484,0.12663018703460693,0.2613070607185364,0.4378352761268616,0.12997256219387054,0.18609201908111572,0.19339443743228912
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.2638341188430786,0.3680361211299896,0.3456730246543884,0.21256890892982483,0.2564658224582672,0.3680361211299896,0.25851351022720337,0.5468860864639282,0.19147184491157532,0.42300865054130554
