,how,many,streetcars,did,the,fresno,traction,company,operate,in,1931,?
by,0.34370526671409607,0.3409687578678131,0.2741352915763855,0.18574509024620056,0.4408751428127289,0.12580959498882294,0.25288599729537964,0.22328482568264008,0.16318510472774506,0.370934396982193,0.11394833028316498,0.17966607213020325
1931,0.18209615349769592,0.10026991367340088,0.07443050295114517,0.13169489800930023,0.2207084596157074,0.04543792083859444,0.09880170971155167,-0.01943882554769516,0.036641281098127365,0.10557710379362106,1.0,-0.060640864074230194
the,0.33890387415885925,0.4335206151008606,0.27101609110832214,0.34736719727516174,1.0,0.22571885585784912,0.2531668245792389,0.26591673493385315,0.23581141233444214,0.6662389636039734,0.2207084596157074,0.22068053483963013
fresno,0.06638962775468826,0.1503066122531891,0.27756398916244507,0.1545737385749817,0.22571885585784912,1.0000001192092896,0.09081877768039703,0.1543436050415039,0.1381179839372635,0.26126348972320557,0.04543792083859444,0.13224096596240997
traction,0.26871174573898315,0.1858513355255127,0.3919811546802521,0.06943720579147339,0.2531668245792389,0.09081877768039703,0.9999998807907104,0.27291953563690186,0.355042427778244,0.18224193155765533,0.09880170971155167,0.14741027355194092
company,0.15308363735675812,0.196149542927742,0.35032737255096436,0.16800642013549805,0.26591673493385315,0.1543436050415039,0.27291953563690186,1.0,0.30101603269577026,0.22141718864440918,-0.01943882554769516,0.12195809185504913
operated,0.13169187307357788,0.14010198414325714,0.39011046290397644,0.1476217359304428,0.24699872732162476,0.21881461143493652,0.31034013628959656,0.3583459258079529,0.7721559405326843,0.24622488021850586,0.002693530870601535,0.12718230485916138
47,-0.17398743331432343,-0.12225890904664993,-0.12406209856271744,-0.0923357605934143,-0.03119542822241783,-0.07498563081026077,-0.024438276886940002,-0.058691538870334625,-0.0019738636910915375,-0.026636576279997826,0.008786014281213284,-0.07188211381435394
streetcars,0.1981026977300644,0.3100131154060364,1.0,0.22382256388664246,0.27101609110832214,0.27756398916244507,0.3919811546802521,0.35032737255096436,0.3522281348705292,0.27939674258232117,0.07443050295114517,0.15918008983135223
over,0.31446483731269836,0.47131630778312683,0.2711760401725769,0.2535076439380646,0.39856547117233276,0.15256716310977936,0.19665305316448212,0.2113076150417328,0.2127862423658371,0.3605569899082184,0.2591129541397095,0.25742942094802856
49,0.09959059953689575,0.25677934288978577,-0.05095171183347702,0.059956930577754974,0.1526768058538437,0.00805132556706667,0.08757645636796951,0.0052489787340164185,0.16799703240394592,0.10012009739875793,0.16809166967868805,-0.019234824925661087
miles,0.13798850774765015,0.12950319051742554,0.3345806896686554,0.10529203712940216,0.25706055760383606,0.164978489279747,0.20791485905647278,0.16453467309474945,0.17808924615383148,0.22700901329517365,0.1517823189496994,0.09363767504692078
of,0.2480744868516922,0.37253960967063904,0.2158621847629547,0.2513895630836487,0.733189046382904,0.1875009983778,0.20298659801483154,0.20467796921730042,0.22024419903755188,0.5696388483047485,0.16745001077651978,0.1826142966747284
track,0.15683725476264954,0.1412264108657837,0.31718677282333374,0.15564705431461334,0.22914014756679535,0.15291231870651245,0.3562011122703552,0.19195516407489777,0.1897137463092804,0.1798572689294815,0.029000313952565193,0.11461397260427475
.,0.3287222981452942,0.3974229395389557,0.28604841232299805,0.35288307070732117,0.5934505462646484,0.2480216920375824,0.17596113681793213,0.266353577375412,0.23679214715957642,0.5591574311256409,0.06983193010091782,0.4130953550338745
