,what,is,the,native,format,for,the,walt,disney,company,'s,us,tv,properties,?
abc,0.1317344456911087,0.16037321090698242,0.2068762183189392,0.13189911842346191,0.2297828495502472,0.22510288655757904,0.2068762183189392,0.36108773946762085,0.37895750999450684,0.16210390627384186,0.06670809537172318,0.16869185864925385,0.4720865786075592,0.13060899078845978,0.19065172970294952
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.0551753006875515,0.020792445167899132,-0.07241261005401611,-0.01540423184633255,0.09715674072504044,0.0786653682589531,0.003266559913754463,0.9999999403953552,0.032960113137960434,0.08012830466032028,-0.07409704476594925,-0.023395681753754616
master,0.16430073976516724,0.16117574274539948,0.19769129157066345,0.11043489724397659,0.07620012015104294,0.1568533182144165,0.19769129157066345,0.1746075302362442,0.12086819112300873,0.1565655916929245,0.025999123230576515,0.04480480030179024,0.0939640998840332,0.11359317600727081,0.11915034055709839
feed,0.24202558398246765,0.18941432237625122,0.2381063848733902,0.2203686237335205,0.23739777505397797,0.20785245299339294,0.2381063848733902,0.18873073160648346,0.17020361125469208,0.12223681807518005,0.07618222385644913,0.1352968066930771,0.16567565500736237,0.11795555800199509,0.19348634779453278
is,0.28837618231773376,1.0,0.5823672413825989,0.25614386796951294,0.21288776397705078,0.43268078565597534,0.5823672413825989,0.21739564836025238,0.18704643845558167,0.18005689978599548,0.02396530658006668,0.1808239072561264,0.1617223173379898,0.22585535049438477,0.22961433231830597
transmitted,0.1978447586297989,0.21750763058662415,0.2535918653011322,0.16157189011573792,0.24951592087745667,0.2362280935049057,0.2535918653011322,0.17097307741641998,0.16413936018943787,0.0993504747748375,-0.061072129756212234,0.17688195407390594,0.22037914395332336,0.22808866202831268,0.15801244974136353
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.24378694593906403,0.2023913413286209,0.4322226941585541,0.6662389636039734,0.24451637268066406,0.18521910905838013,0.22141718864440918,-0.037580832839012146,0.19746538996696472,0.17989183962345123,0.19315902888774872,0.20430970191955566
720p,-0.04736834391951561,0.0981503501534462,0.12184148281812668,0.09060107171535492,0.046079762279987335,-0.008400661870837212,0.12184148281812668,-0.028595153242349625,-0.03018881566822529,0.018421579152345657,0.018186360597610474,-0.06898916512727737,-0.00985074695199728,-0.15019889175891876,0.024638570845127106
high,0.20466077327728271,0.2383800595998764,0.28034812211990356,0.16759106516838074,0.11970654875040054,0.1925620585680008,0.28034812211990356,0.1570858508348465,0.12188468873500824,0.10688766092061996,-0.04658069461584091,0.1800197809934616,0.25300079584121704,0.17972242832183838,0.11137914657592773
definition,0.330344021320343,0.29006320238113403,0.23176956176757812,0.17855603992938995,0.2965310513973236,0.2789401710033417,0.23176956176757812,0.16053223609924316,0.1513095498085022,0.14351491630077362,-0.07552970945835114,0.24062049388885498,0.1557416170835495,0.3150438368320465,0.2796523869037628
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.30732813477516174,0.21768099069595337,0.4464869201183319,0.4933079481124878,0.19253113865852356,0.2132069319486618,0.2697763442993164,-0.0016132977325469255,0.3120202422142029,0.2778550088405609,0.21241174638271332,0.31091248989105225
