,what,are,the,tentacles,of,cydipped,ctenophores,are,usually,fringed,with,?
the,0.42745697498321533,0.40399202704429626,1.0,0.24109509587287903,0.733189046382904,0.2935319244861603,0.2543465793132782,0.40399202704429626,0.36782920360565186,0.2664870023727417,0.4223487675189972,0.22068053483963013
tentacles,0.17259258031845093,0.3209848701953888,0.24109509587287903,0.9999999403953552,0.21750880777835846,0.4084874093532562,0.5793060064315796,0.3209848701953888,0.3501661717891693,0.39210444688796997,0.22586162388324738,0.15145425498485565
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.21750880777835846,1.0,0.24427834153175354,0.2626190483570099,0.39081433415412903,0.33931583166122437,0.2415461540222168,0.41827285289764404,0.1826142966747284
cydippid,0.2701593041419983,0.26190534234046936,0.3269699513912201,0.46526506543159485,0.293387770652771,0.6414287090301514,0.5625914335250854,0.26190534234046936,0.37356430292129517,0.3363448679447174,0.23098008334636688,0.2854539453983307
ctenophores,0.2505159080028534,0.35426098108291626,0.2543465793132782,0.5793060064315796,0.2626190483570099,0.38359835743904114,1.0,0.35426098108291626,0.31735676527023315,0.37270426750183105,0.17838598787784576,0.2054179310798645
are,0.29724663496017456,1.0,0.40399202704429626,0.3209848701953888,0.39081433415412903,0.29205837845802307,0.35426098108291626,1.0,0.5635237097740173,0.27321481704711914,0.38996943831443787,0.24591213464736938
typically,0.2460547685623169,0.4610564708709717,0.33345210552215576,0.3391483724117279,0.28964799642562866,0.31866055727005005,0.3468061089515686,0.4610564708709717,0.7066826820373535,0.24775275588035583,0.3270100951194763,0.14485043287277222
fringed,0.10277488827705383,0.27321481704711914,0.2664870023727417,0.39210444688796997,0.2415461540222168,0.3788834512233734,0.37270426750183105,0.27321481704711914,0.24900808930397034,1.0,0.21908631920814514,0.0928630456328392
with,0.2464839518070221,0.38996943831443787,0.4223487675189972,0.22586162388324738,0.41827285289764404,0.32467183470726013,0.17838598787784576,0.38996943831443787,0.3430865705013275,0.21908631920814514,0.9999999403953552,0.2433311939239502
tentilla,0.27320170402526855,0.29637789726257324,0.3119664192199707,0.3030882179737091,0.2974798381328583,0.2794782221317291,0.3035872280597687,0.29637789726257324,0.3346222937107086,0.20527245104312897,0.23482318222522736,0.18873277306556702
(,0.2411840260028839,0.23263892531394958,0.33289089798927307,0.12793618440628052,0.35032153129577637,0.15941458940505981,0.18976886570453644,0.23263892531394958,0.19256804883480072,0.14034722745418549,0.29503780603408813,0.40561532974243164
``,0.008517155423760414,0.12624181807041168,0.029072100296616554,0.08641248196363449,0.06780257821083069,0.024403972551226616,0.20245838165283203,0.12624181807041168,0.11877422779798508,0.004739077761769295,0.08974023163318634,0.0685480609536171
little,0.2614184617996216,0.21188540756702423,0.2412613034248352,0.15478472411632538,0.20116642117500305,0.24782206118106842,0.20618726313114166,0.21188540756702423,0.26894229650497437,0.10880400985479355,0.22821269929409027,0.20336517691612244
tentacles,0.17259258031845093,0.3209848701953888,0.24109509587287903,0.9999999403953552,0.21750880777835846,0.4084874093532562,0.5793060064315796,0.3209848701953888,0.3501661717891693,0.39210444688796997,0.22586162388324738,0.15145425498485565
'',0.08143015950918198,0.0263817198574543,0.041273195296525955,-0.0471188984811306,0.13035868108272552,0.00383005291223526,0.021284958347678185,0.0263817198574543,0.02397526055574417,-0.02653813734650612,0.07907696813344955,0.018684765323996544
),0.26259949803352356,0.2373749315738678,0.3456730246543884,0.12745746970176697,0.3680361211299896,0.16683505475521088,0.1612478494644165,0.2373749315738678,0.21711577475070953,0.14223924279212952,0.3069596290588379,0.42300865054130554
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.2031479775905609,0.4946078956127167,0.23217889666557312,0.19362998008728027,0.4062570035457611,0.21946179866790771,0.27380943298339844,0.4120737314224243,0.31091248989105225
although,0.24844598770141602,0.30740880966186523,0.3265823423862457,0.20226886868476868,0.3024747669696808,0.31913697719573975,0.2347905933856964,0.30740880966186523,0.3583064675331116,0.26635029911994934,0.32515957951545715,0.15541206300258636
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.22963744401931763,0.5052502155303955,0.26025480031967163,0.25153061747550964,0.265255331993103,0.46690207719802856,0.1982877105474472,0.3783375024795532,0.23916715383529663
few,0.2780759632587433,0.43078693747520447,0.34660017490386963,0.15079110860824585,0.2682102620601654,0.3099574148654938,0.21493549644947052,0.43078693747520447,0.3555605113506317,0.16342408955097198,0.270814448595047,0.2334265559911728
genera,0.16195979714393616,0.371402382850647,0.2141112983226776,0.3825000524520874,0.22244544327259064,0.31708332896232605,0.5442821383476257,0.371402382850647,0.2289842963218689,0.2525494694709778,0.16315865516662598,0.18074829876422882
have,0.39808809757232666,0.6577680706977844,0.40389683842658997,0.3148491680622101,0.3802283704280853,0.38421446084976196,0.3612369894981384,0.6577680706977844,0.46938973665237427,0.26854103803634644,0.48046383261680603,0.32991164922714233
simple,0.4218197166919708,0.3569783866405487,0.24738673865795135,0.2669031023979187,0.23205730319023132,0.2911437749862671,0.3481474220752716,0.3569783866405487,0.3641156554222107,0.15791495144367218,0.2723137438297272,0.4614735543727875
tentacles,0.17259258031845093,0.3209848701953888,0.24109509587287903,0.9999999403953552,0.21750880777835846,0.4084874093532562,0.5793060064315796,0.3209848701953888,0.3501661717891693,0.39210444688796997,0.22586162388324738,0.15145425498485565
