,what,did,tesla,begin,to,research,in,march,1896,?
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.2903634011745453,0.45010748505592346,0.21249429881572723,1.0,0.29730337858200073,0.2654690742492676,0.20430970191955566
march,0.20529508590698242,0.27992504835128784,0.1457514613866806,0.17549718916416168,0.2274535447359085,0.20168209075927734,0.29730337858200073,1.0000001192092896,0.04018770530819893,0.2802562415599823
1896,0.11299002915620804,0.23122188448905945,0.13362865149974823,0.17740538716316223,0.21903732419013977,0.04348050430417061,0.2654690742492676,0.04018770530819893,1.0,0.05348491296172142
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.27304404973983765,0.44245919585227966,0.2764695882797241,0.5201468467712402,0.4256272315979004,0.1761244833469391,0.31091248989105225
after,0.21973377466201782,0.30330467224121094,0.0752151682972908,0.4157010316848755,0.37890323996543884,0.1559707522392273,0.44050168991088867,0.32460421323776245,0.17759014666080475,0.16608688235282898
hearing,0.34058091044425964,0.26051026582717896,0.24375475943088531,0.20054660737514496,0.26730701327323914,0.22234967350959778,0.20339344441890717,0.17999236285686493,0.1567230224609375,0.19994913041591644
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.24830074608325958,0.41548454761505127,0.22573977708816528,0.5696388483047485,0.20692677795886993,0.1831727921962738,0.1826142966747284
wilhelm,0.19761525094509125,0.1907045841217041,0.25783807039260864,0.10353472083806992,0.18317948281764984,0.14321888983249664,0.16685768961906433,0.19238360226154327,0.08244884759187698,0.12678855657577515
röntgen,0.17986534535884857,0.19253376126289368,0.32189181447029114,0.13970963656902313,0.1965516060590744,0.2704392671585083,0.36843982338905334,0.3146648705005646,0.08371496200561523,0.19019243121147156
's,0.02692362666130066,0.05069678649306297,0.06449045985937119,-0.07216574251651764,0.03782717138528824,-0.03923575207591057,-0.037580832839012146,-0.036253921687603,-0.032892126590013504,-0.023395681753754616
discovery,0.16559629142284393,0.14172746241092682,0.19655756652355194,0.16253182291984558,0.17063306272029877,0.3753754496574402,0.23947767913341522,0.13343091309070587,0.14941805601119995,0.11594310402870178
of,0.33290785551071167,0.2513895630836487,0.18837453424930573,0.24830074608325958,0.41548454761505127,0.22573977708816528,0.5696388483047485,0.20692677795886993,0.1831727921962738,0.1826142966747284
x-ray,0.24739032983779907,0.23021014034748077,0.07060568034648895,0.11591490358114243,0.2863662540912628,0.11821365356445312,0.27182886004447937,0.20251059532165527,0.1624978929758072,0.26398539543151855
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.2599445581436157,0.48971283435821533,0.27611881494522095,0.4954058527946472,0.25804370641708374,0.2577982544898987,0.20544172823429108
x-ray,0.24739032983779907,0.23021014034748077,0.07060568034648895,0.11591490358114243,0.2863662540912628,0.11821365356445312,0.27182886004447937,0.20251059532165527,0.1624978929758072,0.26398539543151855
imaging,0.2268199324607849,0.1540277749300003,0.29163673520088196,0.1539638191461563,0.17666667699813843,0.3942432999610901,0.20635999739170074,0.12249237298965454,0.20991086959838867,0.0898628756403923
(,0.2411840260028839,0.18979617953300476,0.2156914919614792,0.12756820023059845,0.30882009863853455,0.21796925365924835,0.3087427020072937,0.345022052526474,0.03098868392407894,0.40561532974243164
radiography,0.26185622811317444,0.20611554384231567,0.27407652139663696,0.12608274817466736,0.18254850804805756,0.3930966854095459,0.21105821430683136,0.22627457976341248,0.08046127110719681,0.17347325384616852
),0.26259949803352356,0.18584993481636047,0.22692398726940155,0.13078060746192932,0.31236231327056885,0.2105444371700287,0.3326910734176636,0.37161096930503845,0.05350509658455849,0.42300865054130554
