,who,went,to,wittenberg,to,hear,luther,speak,?
luther,0.21013082563877106,0.16118715703487396,0.18029534816741943,0.42518264055252075,0.18029534816741943,0.2508317828178406,1.0,0.1493251472711563,0.1732746809720993
's,0.05599616840481758,0.0411166250705719,0.03782717138528824,0.0032721450552344322,0.03782717138528824,0.1089409813284874,-0.009990512393414974,0.06387770920991898,-0.023395681753754616
writings,0.25615644454956055,0.15244626998901367,0.18383939564228058,0.30623888969421387,0.18383939564228058,0.1942286640405655,0.32714858651161194,0.2808777391910553,0.1770159751176834
circulated,0.09032931178808212,0.18818151950836182,0.1756521463394165,0.14129875600337982,0.1756521463394165,0.1570383608341217,0.06250688433647156,0.06356527656316757,0.0759977251291275
widely,0.19227448105812073,0.11534354835748672,0.2705559730529785,0.12850786745548248,0.2705559730529785,0.12567418813705444,0.1059485599398613,0.18471390008926392,0.10354958474636078
",",0.3365725874900818,0.29013195633888245,0.44245919585227966,0.23876431584358215,0.44245919585227966,0.26677975058555603,0.23255878686904907,0.2902714014053345,0.31091248989105225
reaching,0.09968317300081253,0.30284422636032104,0.3080388903617859,0.1332039088010788,0.3080388903617859,0.19910922646522522,0.10332684963941574,0.21193987131118774,0.13075216114521027
france,0.18489117920398712,0.22612981498241425,0.2670897841453552,0.23605751991271973,0.2670897841453552,0.1295565515756607,0.19795531034469604,0.13808634877204895,0.15069349110126495
",",0.3365725874900818,0.29013195633888245,0.44245919585227966,0.23876431584358215,0.44245919585227966,0.26677975058555603,0.23255878686904907,0.2902714014053345,0.31091248989105225
england,0.23733465373516083,0.25434091687202454,0.27769553661346436,0.20450648665428162,0.27769553661346436,0.17658671736717224,0.17883558571338654,0.12166482955217361,0.13436897099018097
",",0.3365725874900818,0.29013195633888245,0.44245919585227966,0.23876431584358215,0.44245919585227966,0.26677975058555603,0.23255878686904907,0.2902714014053345,0.31091248989105225
and,0.41279885172843933,0.3419242799282074,0.48971283435821533,0.2583361864089966,0.48971283435821533,0.24915099143981934,0.20796556770801544,0.24840866029262543,0.20544172823429108
italy,0.17201180756092072,0.24079643189907074,0.19335418939590454,0.16096945106983185,0.19335418939590454,0.10323245078325272,0.09907186031341553,0.14357833564281464,0.11567100137472153
as,0.3923053741455078,0.21750199794769287,0.42092081904411316,0.24344627559185028,0.42092081904411316,0.19915033876895905,0.20242992043495178,0.20215177536010742,0.27043893933296204
early,0.23985694348812103,0.29421451687812805,0.24557004868984222,0.2517642676830292,0.24557004868984222,0.17004813253879547,0.20602326095104218,0.1809353083372116,0.15272949635982513
as,0.3923053741455078,0.21750199794769287,0.42092081904411316,0.24344627559185028,0.42092081904411316,0.19915033876895905,0.20242992043495178,0.20215177536010742,0.27043893933296204
1519,-0.11889626830816269,-0.21471020579338074,-0.09235245734453201,-0.06898121535778046,-0.09235245734453201,0.011229987256228924,-0.005450457334518433,-0.07621163874864578,0.008538873866200447
.,0.3541337847709656,0.27773603796958923,0.4645031690597534,0.30842825770378113,0.4645031690597534,0.25989943742752075,0.24907569587230682,0.2704809308052063,0.4130953550338745
