,what,does,warsaw,'s,mixture,of,architectural,styles,reflect,?
warsaw,0.10373849421739578,0.16921466588974,1.0,0.02839025668799877,0.07589977234601974,0.19253842532634735,0.18325236439704895,0.08955260366201401,0.12306009232997894,0.09769917279481888
's,0.02692362666130066,-0.02895052544772625,0.02839025668799877,0.9999999403953552,0.008330539800226688,-0.03817026689648628,-0.03541046753525734,-0.11067666858434677,0.015362873673439026,-0.023395681753754616
mixture,0.187636598944664,0.17905293405056,0.07589977234601974,0.008330539800226688,1.0,0.2121577262878418,0.18679559230804443,0.26203489303588867,0.20837247371673584,0.17455407977104187
of,0.33290785551071167,0.3119818866252899,0.19253842532634735,-0.03817026689648628,0.2121577262878418,1.0,0.2795933783054352,0.2074020504951477,0.2477911114692688,0.1826142966747284
architectural,0.20413975417613983,0.09811514616012573,0.18325236439704895,-0.03541046753525734,0.18679559230804443,0.2795933783054352,1.0000001192092896,0.36830776929855347,0.21079204976558685,0.13917183876037598
styles,0.18555131554603577,0.17688986659049988,0.08955260366201401,-0.11067666858434677,0.26203489303588867,0.2074020504951477,0.36830776929855347,0.9999999403953552,0.25549712777137756,0.22563885152339935
reflects,0.2569086253643036,0.29008254408836365,0.11123961955308914,0.010328720323741436,0.2326834499835968,0.29528287053108215,0.22128209471702576,0.25566795468330383,0.8704879283905029,0.13998140394687653
the,0.42745697498321533,0.35928019881248474,0.23137180507183075,-0.01540423184633255,0.1835496872663498,0.733189046382904,0.22612835466861725,0.18202731013298035,0.279869943857193,0.22068053483963013
turbulent,0.24760159850120544,0.2186717838048935,0.15576821565628052,0.018169689923524857,0.22823114693164825,0.2631188631057739,0.2207447588443756,0.1850036233663559,0.18856622278690338,0.18949764966964722
history,0.28630873560905457,0.1386861950159073,0.14789769053459167,-0.0466335192322731,0.13243825733661652,0.31014925241470337,0.3053028881549835,0.17279596626758575,0.21233002841472626,0.2501974403858185
of,0.33290785551071167,0.3119818866252899,0.19253842532634735,-0.03817026689648628,0.2121577262878418,1.0,0.2795933783054352,0.2074020504951477,0.2477911114692688,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.23137180507183075,-0.01540423184633255,0.1835496872663498,0.733189046382904,0.22612835466861725,0.18202731013298035,0.279869943857193,0.22068053483963013
city,0.17493832111358643,0.10004369169473648,0.25006377696990967,0.004406440537422895,0.15543662011623383,0.32503411173820496,0.2629626989364624,0.10670106112957001,0.058248549699783325,0.13423943519592285
and,0.31309178471565247,0.3461615741252899,0.2083624005317688,0.06895173341035843,0.28163203597068787,0.5116966962814331,0.2561565637588501,0.26430487632751465,0.2440095692873001,0.20544172823429108
country,0.22705033421516418,0.21151480078697205,0.14886943995952606,0.0747150406241417,0.11709766089916229,0.28866857290267944,0.14463430643081665,0.2010127604007721,0.2098628282546997,0.12647280097007751
.,0.3567904531955719,0.3022993505001068,0.26825499534606934,-0.003708066651597619,0.21000470221042633,0.5352458953857422,0.20860576629638672,0.28935497999191284,0.223892942070961,0.4130953550338745
