,what,type,of,physics,model,did,einstein,fail,to,make,?
physicists,0.30818524956703186,0.1291707307100296,0.17529773712158203,0.7275896668434143,0.23465003073215485,0.24456952512264252,0.5494347214698792,0.1954619437456131,0.23192022740840912,0.2407800257205963,0.1777985841035843
are,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.1597587615251541,0.07012248039245605,0.2159031480550766,0.13152484595775604,0.26262301206588745,0.3504326641559601,0.4522273540496826,0.24591213464736938
still,0.4548931419849396,0.1456364393234253,0.3288819193840027,0.17187295854091644,0.20165379345417023,0.38309040665626526,0.21045930683612823,0.345812052488327,0.41205283999443054,0.40794670581817627,0.3039587736129761
attempting,0.23469723761081696,0.11677499860525131,0.2223445326089859,0.09407569468021393,0.06475429236888885,0.33322376012802124,0.08807984739542007,0.3725495934486389,0.4533930718898773,0.24030254781246185,0.1953229457139969
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.19172722101211548,0.187554731965065,0.4452643394470215,0.23026029765605927,0.39796504378318787,1.0,0.497876912355423,0.29463258385658264
develop,0.20962175726890564,0.24937252700328827,0.2259741723537445,0.17097364366054535,0.12721161544322968,0.21923236548900604,0.18999561667442322,0.28059545159339905,0.3375980854034424,0.41274845600128174,0.15784582495689392
self-consistent,0.412405788898468,0.2657115161418915,0.2912914454936981,0.2527139186859131,0.25664258003234863,0.28436872363090515,0.33390262722969055,0.3599530756473541,0.34851011633872986,0.3352237939834595,0.2997022271156311
unification,0.27997052669525146,0.12609055638313293,0.36671194434165955,0.2629353106021881,0.21767421066761017,0.247173011302948,0.25239136815071106,0.25835296511650085,0.23181171715259552,0.13597241044044495,0.2305832952260971
models,0.22431734204292297,0.20434699952602386,0.19773605465888977,0.2910695970058441,0.6909285187721252,0.17353540658950806,0.29126760363578796,0.14852356910705566,0.2078617662191391,0.22617846727371216,0.16656708717346191
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.22907806932926178,0.16250061988830566,0.47518548369407654,0.290509432554245,0.378203809261322,0.5436353087425232,0.48783382773399353,0.32716336846351624
would,0.45766422152519226,0.13977667689323425,0.3353942930698395,0.19596807658672333,0.19583818316459656,0.6268245577812195,0.23698905110359192,0.3655117452144623,0.5965728163719177,0.44250184297561646,0.37178951501846313
combine,0.27796897292137146,0.28756603598594666,0.3253297805786133,0.22661714255809784,0.1677842140197754,0.14900802075862885,0.19734090566635132,0.25170499086380005,0.2847091257572174,0.41484397649765015,0.23649157583713531
all,0.41981086134910583,0.21204189956188202,0.42798417806625366,0.16385483741760254,0.07195847481489182,0.33943864703178406,0.19926686584949493,0.3510842025279999,0.42520734667778015,0.37725141644477844,0.29575422406196594
four,0.18057085573673248,0.09843834489583969,0.36293646693229675,0.18605856597423553,0.18097463250160217,0.20222175121307373,0.15451167523860931,0.18239356577396393,0.2803118824958801,0.19503113627433777,0.14532537758350372
fundamental,0.35305243730545044,0.13767659664154053,0.35164782404899597,0.4599416255950928,0.1861693263053894,0.24540147185325623,0.40178442001342773,0.23273125290870667,0.25741058588027954,0.23741328716278076,0.2011919468641281
interactions,0.32324331998825073,0.23329393565654755,0.24081720411777496,0.3452805280685425,0.22362524271011353,0.17633481323719025,0.2925505042076111,0.23471508920192719,0.24682006239891052,0.2385299950838089,0.21664206683635712
into,0.2180619090795517,0.14269600808620453,0.32255905866622925,0.13458384573459625,0.09365382045507431,0.14888085424900055,0.13355664908885956,0.17254212498664856,0.38810545206069946,0.3341430723667145,0.15662476420402527
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.1683787703514099,0.29218459129333496,0.2552328109741211,0.18183094263076782,0.21012653410434723,0.45503583550453186,0.34303420782089233,0.23916715383529663
theory,0.297923743724823,0.22037149965763092,0.23506702482700348,0.5034157633781433,0.2609904706478119,0.20347590744495392,0.448373407125473,0.21549300849437714,0.21947365999221802,0.21709653735160828,0.1387292891740799
of,0.33290785551071167,0.18112817406654358,1.0,0.2395489662885666,0.18271391093730927,0.2513895630836487,0.2119363248348236,0.16776414215564728,0.41548454761505127,0.2912110388278961,0.1826142966747284
everything,0.5900073051452637,0.17118684947490692,0.2166808843612671,0.25525563955307007,0.1582869440317154,0.38332322239875793,0.2999870479106903,0.29475024342536926,0.3921761214733124,0.3475540280342102,0.37031570076942444
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21820253133773804,0.1938832700252533,0.35288307070732117,0.2132062166929245,0.2996665835380554,0.4645031690597534,0.3547073304653168,0.4130953550338745
