,who,set,up,what,became,the,second,polish,republic,?
germany,0.2021419107913971,0.1476965993642807,0.2250266820192337,0.21690446138381958,0.21627181768417358,0.3181285262107849,0.18163155019283295,0.31398284435272217,0.3595566153526306,0.1388660967350006
did,0.34038686752319336,0.19107604026794434,0.21613863110542297,0.4259131848812103,0.3632316589355469,0.34736719727516174,0.20727969706058502,0.20273157954216003,0.14819517731666565,0.3023456633090973
so,0.39952170848846436,0.2838889956474304,0.3647330105304718,0.539469838142395,0.24157220125198364,0.4296516180038452,0.23802286386489868,0.1257985532283783,0.10113979130983353,0.43163934350013733
",",0.3365725874900818,0.24912182986736298,0.34193792939186096,0.3087472915649414,0.2798398435115814,0.4933079481124878,0.29927265644073486,0.2655222415924072,0.24418231844902039,0.31091248989105225
and,0.41279885172843933,0.27649927139282227,0.4032393991947174,0.31309178471565247,0.31226563453674316,0.5171257257461548,0.2743909955024719,0.2486540973186493,0.25642362236976624,0.20544172823429108
underground,0.2139425426721573,0.10279952734708786,0.16464374959468842,0.162822887301445,0.15304088592529297,0.24716822803020477,0.19614069163799286,0.176413893699646,0.17305313050746918,0.1097135841846466
leader,0.31168457865715027,0.15464085340499878,0.15032999217510223,0.15734966099262238,0.2814004719257355,0.27799519896507263,0.20691868662834167,0.17562244832515717,0.24107302725315094,0.09527933597564697
piłsudski,0.35818591713905334,0.17477372288703918,0.1757013201713562,0.2546396553516388,0.3425397574901581,0.3376682698726654,0.26093408465385437,0.6259793639183044,0.35638877749443054,0.20208734273910522
returned,0.23187772929668427,0.24220813810825348,0.22117260098457336,0.15085899829864502,0.4113330543041229,0.32857778668403625,0.2488974928855896,0.11670761555433273,0.1496218889951706,0.07695316523313522
to,0.42656609416007996,0.320547491312027,0.40375280380249023,0.455847829580307,0.20401327311992645,0.535392165184021,0.3098561465740204,0.1475636065006256,0.17235471308231354,0.29463258385658264
warsaw,0.16496863961219788,0.08846039324998856,0.09717676788568497,0.10373849421739578,0.1935342699289322,0.23137180507183075,0.1990465670824051,0.6311136484146118,0.23298583924770355,0.09769917279481888
on,0.2340552806854248,0.23748746514320374,0.34194523096084595,0.34226128458976746,0.19448097050189972,0.5107308030128479,0.26659107208251953,0.1288478970527649,0.15945054590702057,0.2714994251728058
11,0.11859084665775299,-0.12312860041856766,0.012448791414499283,0.0032819851767271757,0.05767389014363289,-0.0219515822827816,-0.059615880250930786,0.07495522499084473,-0.04075855016708374,-0.04295448586344719
november,0.2615586519241333,0.138518825173378,0.1567530781030655,0.23963461816310883,0.2418605536222458,0.25734350085258484,0.2536216676235199,0.20573759078979492,0.22659015655517578,0.3159552216529846
and,0.41279885172843933,0.27649927139282227,0.4032393991947174,0.31309178471565247,0.31226563453674316,0.5171257257461548,0.2743909955024719,0.2486540973186493,0.25642362236976624,0.20544172823429108
set,0.19352185726165771,1.0000001192092896,0.32636314630508423,0.28954121470451355,0.13721966743469238,0.2927955985069275,0.20862261950969696,0.09991562366485596,0.09270109981298447,0.1698019951581955
up,0.26056501269340515,0.32636314630508423,1.0000001192092896,0.28591108322143555,0.08214906603097916,0.38423117995262146,0.24278147518634796,0.0582222081720829,0.13398142158985138,0.1819818764925003
what,0.40942975878715515,0.28954121470451355,0.28591108322143555,0.9999998807907104,0.1434093862771988,0.42745697498321533,0.19948028028011322,0.08233486860990524,0.18626701831817627,0.5051238536834717
became,0.2624726891517639,0.13721966743469238,0.08214906603097916,0.1434093862771988,1.0,0.36325156688690186,0.27179786562919617,0.17801707983016968,0.2272920161485672,0.11374033987522125
the,0.3733934462070465,0.2927955985069275,0.38423117995262146,0.42745697498321533,0.36325156688690186,1.0,0.4620301127433777,0.17708231508731842,0.2862427830696106,0.22068053483963013
second,0.21920166909694672,0.20862261950969696,0.24278147518634796,0.19948028028011322,0.27179786562919617,0.4620301127433777,1.0,0.16637906432151794,0.20765520632266998,0.17239587008953094
polish,0.24491210281848907,0.09991562366485596,0.0582222081720829,0.08233486860990524,0.17801707983016968,0.17708231508731842,0.16637906432151794,1.0,0.19419921934604645,0.14012759923934937
republic,0.1744387000799179,0.09270109981298447,0.13398142158985138,0.18626701831817627,0.2272920161485672,0.2862427830696106,0.20765520632266998,0.19419921934604645,0.9999999403953552,0.16880398988723755
",",0.3365725874900818,0.24912182986736298,0.34193792939186096,0.3087472915649414,0.2798398435115814,0.4933079481124878,0.29927265644073486,0.2655222415924072,0.24418231844902039,0.31091248989105225
with,0.3282766342163086,0.19515010714530945,0.38676461577415466,0.2464839518070221,0.23679126799106598,0.4223487675189972,0.272382527589798,0.12943772971630096,0.15649500489234924,0.2433311939239502
warsaw,0.16496863961219788,0.08846039324998856,0.09717676788568497,0.10373849421739578,0.1935342699289322,0.23137180507183075,0.1990465670824051,0.6311136484146118,0.23298583924770355,0.09769917279481888
the,0.3733934462070465,0.2927955985069275,0.38423117995262146,0.42745697498321533,0.36325156688690186,1.0,0.4620301127433777,0.17708231508731842,0.2862427830696106,0.22068053483963013
capital,0.15628641843795776,0.11661040782928467,0.07358088344335556,0.17967931926250458,0.22269992530345917,0.3049491047859192,0.1927022635936737,0.10914254933595657,0.31316497921943665,0.0907452180981636
.,0.3541337847709656,0.2928885817527771,0.351434588432312,0.3567904531955719,0.2806840240955353,0.5934505462646484,0.346034437417984,0.23422029614448547,0.23547469079494476,0.4130953550338745
