,what,country,initially,received,the,largest,number,of,huguenot,refugees,?
after,0.21973377466201782,0.20467059314250946,0.36509522795677185,0.2279507964849472,0.4565047025680542,0.2332882136106491,0.1972200721502304,0.3867455720901489,0.26476725935935974,0.21363522112369537,0.16608688235282898
the,0.42745697498321533,0.30432501435279846,0.2997018098831177,0.24890556931495667,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29557526111602783,0.2474880963563919,0.22068053483963013
revocation,0.3527876138687134,0.27434051036834717,0.28400784730911255,0.2603462040424347,0.28586745262145996,0.1043931245803833,0.16956034302711487,0.2844073474407196,0.29530271887779236,0.2884339392185211,0.32403331995010376
of,0.33290785551071167,0.28866857290267944,0.21367986500263214,0.2628524899482727,0.733189046382904,0.36650770902633667,0.2778518795967102,1.0,0.29061198234558105,0.1848231703042984,0.1826142966747284
the,0.42745697498321533,0.30432501435279846,0.2997018098831177,0.24890556931495667,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29557526111602783,0.2474880963563919,0.22068053483963013
edict,0.16707053780555725,0.13302479684352875,0.13683965802192688,0.13675925135612488,0.17931364476680756,0.12606479227542877,0.16739118099212646,0.2533416450023651,0.3915477693080902,0.27711600065231323,0.16218337416648865
of,0.33290785551071167,0.28866857290267944,0.21367986500263214,0.2628524899482727,0.733189046382904,0.36650770902633667,0.2778518795967102,1.0,0.29061198234558105,0.1848231703042984,0.1826142966747284
nantes,0.13674625754356384,0.11077094078063965,0.14970457553863525,0.13053931295871735,0.20705030858516693,0.17067430913448334,0.12323898077011108,0.21890923380851746,0.5313296914100647,0.18013039231300354,0.15215469896793365
",",0.3087472915649414,0.27878350019454956,0.23403345048427582,0.2926693558692932,0.4933079481124878,0.26626327633857727,0.2535701394081116,0.4946078956127167,0.24752236902713776,0.18526069819927216,0.31091248989105225
the,0.42745697498321533,0.30432501435279846,0.2997018098831177,0.24890556931495667,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29557526111602783,0.2474880963563919,0.22068053483963013
dutch,0.1643560230731964,0.1899806261062622,0.20547854900360107,0.13066355884075165,0.1705695390701294,0.09616466611623764,0.09456061571836472,0.14408773183822632,0.39192789793014526,0.18563847243785858,0.1081366017460823
republic,0.18626701831817627,0.35216525197029114,0.18818619847297668,0.05847512558102608,0.2862427830696106,0.2425445169210434,0.11528492718935013,0.2802940905094147,0.2274702787399292,0.2593606412410736,0.16880398988723755
received,0.1010502278804779,0.13991045951843262,0.24733780324459076,1.0000001192092896,0.24890556931495667,0.053351275622844696,0.17425402998924255,0.2628524899482727,0.17008842527866364,0.25680333375930786,0.11905962228775024
the,0.42745697498321533,0.30432501435279846,0.2997018098831177,0.24890556931495667,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29557526111602783,0.2474880963563919,0.22068053483963013
largest,0.13463157415390015,0.20205822587013245,0.14248690009117126,0.053351275622844696,0.3757036626338959,0.9999999403953552,0.2101866453886032,0.36650770902633667,0.19646020233631134,0.14617009460926056,0.12401245534420013
group,0.2114069163799286,0.2667160928249359,0.2551218569278717,0.10589425265789032,0.30795547366142273,0.23300331830978394,0.3390882611274719,0.25542253255844116,0.1790638267993927,0.18581844866275787,0.13827809691429138
of,0.33290785551071167,0.28866857290267944,0.21367986500263214,0.2628524899482727,0.733189046382904,0.36650770902633667,0.2778518795967102,1.0,0.29061198234558105,0.1848231703042984,0.1826142966747284
huguenot,0.1912020891904831,0.20042119920253754,0.17929352819919586,0.17008842527866364,0.29557526111602783,0.19646020233631134,0.1813536137342453,0.29061198234558105,1.0000001192092896,0.3226073086261749,0.1359742432832718
refugees,0.17684882879257202,0.2713487148284912,0.2601354420185089,0.25680333375930786,0.2474880963563919,0.14617009460926056,0.15783782303333282,0.1848231703042984,0.3226073086261749,1.0,0.10817430168390274
",",0.3087472915649414,0.27878350019454956,0.23403345048427582,0.2926693558692932,0.4933079481124878,0.26626327633857727,0.2535701394081116,0.4946078956127167,0.24752236902713776,0.18526069819927216,0.31091248989105225
an,0.2821882665157318,0.19811232388019562,0.21542659401893616,0.1721169799566269,0.4207492768764496,0.18550355732440948,0.1875157356262207,0.32280945777893066,0.18697282671928406,0.10094741731882095,0.19793890416622162
estimated,0.19670580327510834,0.16217193007469177,0.24767844378948212,0.14956456422805786,0.29184040427207947,0.48734501004219055,0.2866502106189728,0.30473583936691284,0.20110413432121277,0.27209386229515076,0.18149758875370026
