,how,long,might,a,speaker,address,the,members,during,the,time,of,reflection,?
the,0.33890387415885925,0.3075225353240967,0.32504433393478394,0.5829201340675354,0.24416065216064453,0.24438561499118805,1.0,0.3321719169616699,0.4838213622570038,1.0,0.43061500787734985,0.733189046382904,0.28977152705192566,0.22068053483963013
first,0.27731001377105713,0.23231349885463715,0.21491271257400513,0.4287874400615692,0.24283725023269653,0.2779400050640106,0.49448907375335693,0.1530320644378662,0.45377472043037415,0.49448907375335693,0.4013477563858032,0.3536086082458496,0.2198193073272705,0.18701928853988647
item,0.2870815098285675,0.19858677685260773,0.3186729848384857,0.332552045583725,0.18503977358341217,0.2714765667915344,0.24508722126483917,0.08831435441970825,0.06865861266851425,0.24508722126483917,0.23906680941581726,0.18744561076164246,0.15222007036209106,0.2842435836791992
of,0.2480744868516922,0.2567519545555115,0.2900311052799225,0.5052502155303955,0.2137414962053299,0.23196934163570404,0.733189046382904,0.28120753169059753,0.3869180977344513,0.733189046382904,0.35127586126327515,1.0,0.27738237380981445,0.1826142966747284
business,0.21561309695243835,0.15665365755558014,0.1802816390991211,0.2670866549015045,0.1864260733127594,0.2550417482852936,0.2389037162065506,0.18729612231254578,0.21658463776111603,0.2389037162065506,0.24218250811100006,0.23985227942466736,0.14510966837406158,0.1545659303665161
on,0.32655060291290283,0.3373977243900299,0.23525792360305786,0.3848365545272827,0.15443606674671173,0.22459441423416138,0.5107308030128479,0.22849144041538239,0.3347817361354828,0.5107308030128479,0.30044233798980713,0.3966929316520691,0.24949415028095245,0.2714994251728058
wednesdays,0.16979889571666718,0.1438402384519577,0.1458834707736969,0.21565929055213928,0.16145125031471252,0.2104414999485016,0.23928871750831604,0.16695336997509003,0.23491759598255157,0.23928871750831604,0.32847312092781067,0.10741521418094635,0.1942691057920456,0.17503657937049866
is,0.22544461488723755,0.28473302721977234,0.37027186155319214,0.658733606338501,0.23745733499526978,0.17339114844799042,0.5823672413825989,0.1897467076778412,0.2240111529827118,0.5823672413825989,0.25187405943870544,0.4854315221309662,0.24867863953113556,0.22961433231830597
usually,0.36801108717918396,0.3277394473552704,0.4304712116718292,0.46690207719802856,0.18760813772678375,0.17072896659374237,0.36782920360565186,0.24925245344638824,0.2858264446258545,0.36782920360565186,0.30344077944755554,0.33931583166122437,0.238200843334198,0.19435347616672516
time,0.35346719622612,0.3612262010574341,0.29128819704055786,0.3292340338230133,0.17303644120693207,0.24245557188987732,0.43061500787734985,0.18101826310157776,0.49996283650398254,0.43061500787734985,0.9999998807907104,0.35127586126327515,0.2411166876554489,0.27391523122787476
