,who,presented,the,edict,of,worms,declaring,luther,to,be,an,outlaw,?
the,0.3733934462070465,0.3251480758190155,1.0,0.17931364476680756,0.733189046382904,0.22492028772830963,0.28212109208106995,0.1759674996137619,0.535392165184021,0.4248143136501312,0.4207492768764496,0.19308044016361237,0.22068053483963013
emperor,0.19567297399044037,0.11966820061206818,0.2871226370334625,0.45200514793395996,0.2615426778793335,0.19956737756729126,0.29606109857559204,0.16576659679412842,0.2257286012172699,0.19815446436405182,0.1260482370853424,0.2155398726463318,0.19661661982536316
presented,0.19792668521404266,1.0,0.3251480758190155,0.16264572739601135,0.30231305956840515,0.10814366489648819,0.27035507559776306,0.15171067416667938,0.24592746794223785,0.23645514249801636,0.21940281987190247,0.08586574345827103,0.17025142908096313
the,0.3733934462070465,0.3251480758190155,1.0,0.17931364476680756,0.733189046382904,0.22492028772830963,0.28212109208106995,0.1759674996137619,0.535392165184021,0.4248143136501312,0.4207492768764496,0.19308044016361237,0.22068053483963013
final,0.16870783269405365,0.2774543762207031,0.3543182611465454,0.19643276929855347,0.24563951790332794,0.07679961621761322,0.1825408935546875,0.1673239916563034,0.26099109649658203,0.16302402317523956,0.18066252768039703,0.08473286032676697,0.17315025627613068
draft,0.2113700658082962,0.14780698716640472,0.2136591076850891,0.19539302587509155,0.1597527265548706,0.08555666357278824,0.21615371108055115,0.23408667743206024,0.20236501097679138,0.17967285215854645,0.1483747959136963,0.1386203020811081,0.1941390335559845
of,0.2827862501144409,0.30231305956840515,0.733189046382904,0.2533416450023651,1.0,0.18906788527965546,0.3457174301147461,0.1719115972518921,0.41548454761505127,0.33904364705085754,0.32280945777893066,0.2101694494485855,0.1826142966747284
the,0.3733934462070465,0.3251480758190155,1.0,0.17931364476680756,0.733189046382904,0.22492028772830963,0.28212109208106995,0.1759674996137619,0.535392165184021,0.4248143136501312,0.4207492768764496,0.19308044016361237,0.22068053483963013
edict,0.20340287685394287,0.16264572739601135,0.17931364476680756,0.9999999403953552,0.2533416450023651,0.13133244216442108,0.3575727045536041,0.21338587999343872,0.22104638814926147,0.20309337973594666,0.09344249963760376,0.19119228422641754,0.16218337416648865
of,0.2827862501144409,0.30231305956840515,0.733189046382904,0.2533416450023651,1.0,0.18906788527965546,0.3457174301147461,0.1719115972518921,0.41548454761505127,0.33904364705085754,0.32280945777893066,0.2101694494485855,0.1826142966747284
worms,0.15145674347877502,0.10814366489648819,0.22492028772830963,0.13133244216442108,0.18906788527965546,1.0,0.1248071938753128,0.2998431622982025,0.18428558111190796,0.21445894241333008,0.10635863989591599,0.07887572050094604,0.18053190410137177
on,0.2340552806854248,0.2615085244178772,0.5107308030128479,0.1713172197341919,0.3966929316520691,0.21352466940879822,0.2331947684288025,0.19090485572814941,0.41031414270401,0.37900757789611816,0.3192969560623169,0.14556437730789185,0.2714994251728058
25,0.139450341463089,0.12481696903705597,0.1671934723854065,0.14057379961013794,0.13541533052921295,0.06395652890205383,0.11936510354280472,0.15167774260044098,0.12336429208517075,0.12654177844524384,0.1024932935833931,0.08784662187099457,0.09614268690347672
may,0.23082798719406128,0.27008071541786194,0.2694292366504669,0.12179074436426163,0.26447007060050964,0.2061220407485962,0.21926553547382355,0.16082176566123962,0.391582727432251,0.45514434576034546,0.30457955598831177,0.14013372361660004,0.2768254578113556
1521,0.25084468722343445,0.11678541451692581,0.18627284467220306,0.1361350566148758,0.10520750284194946,-0.0740685909986496,0.1395886093378067,0.08881302922964096,0.1331201046705246,0.05156166851520538,0.14793871343135834,0.13163672387599945,0.0046399421989917755
",",0.3365725874900818,0.28443270921707153,0.4933079481124878,0.14357776939868927,0.4946078956127167,0.25400060415267944,0.2539995014667511,0.23255878686904907,0.44245919585227966,0.39254459738731384,0.3581022024154663,0.24684704840183258,0.31091248989105225
declaring,0.22842320799827576,0.27035507559776306,0.28212109208106995,0.3575727045536041,0.3457174301147461,0.1248071938753128,1.0000001192092896,0.2712526321411133,0.27688875794410706,0.23053671419620514,0.16055914759635925,0.24986648559570312,0.22835050523281097
