,how,far,do,the,wildebeest,migrate,searching,for,food,and,water,?
two,0.2499001920223236,0.2551061511039734,0.22086432576179504,0.43858039379119873,0.21350601315498352,0.1993340253829956,0.2509796917438507,0.34734001755714417,0.1613643914461136,0.4671151638031006,0.20420964062213898,0.19645625352859497
million,0.21114659309387207,0.21537254750728607,0.15323026478290558,0.277012437582016,0.24829302728176117,0.17684853076934814,0.12177753448486328,0.18660776317119598,0.156113862991333,0.22906863689422607,0.1659386307001114,0.23092924058437347
wildebeest,0.1662098616361618,0.23273491859436035,0.21321290731430054,0.2439403235912323,1.0,0.4337839186191559,0.2124360352754593,0.16050384938716888,0.2691885828971863,0.24400384724140167,0.2937789559364319,0.17546460032463074
migrate,0.22249871492385864,0.2508799135684967,0.3168812692165375,0.23256927728652954,0.4337839186191559,1.0000001192092896,0.19814586639404297,0.1668197363615036,0.2569998800754547,0.2131493240594864,0.27382081747055054,0.1371379941701889
a,0.29312583804130554,0.21638330817222595,0.26237669587135315,0.5829201340675354,0.16777734458446503,0.1727871298789978,0.25525227189064026,0.44038116931915283,0.24320901930332184,0.3739250600337982,0.2979097068309784,0.23916715383529663
distance,0.22481301426887512,0.3987521827220917,0.14372798800468445,0.26146480441093445,0.24184773862361908,0.18298134207725525,0.16802366077899933,0.23153051733970642,0.18609650433063507,0.25180765986442566,0.2471868097782135,0.05407539755105972
of,0.2480744868516922,0.3005201518535614,0.26150479912757874,0.733189046382904,0.1844647228717804,0.18236465752124786,0.20568980276584625,0.4185989499092102,0.2602803111076355,0.5116966962814331,0.2741255462169647,0.1826142966747284
"2,900",0.11315979063510895,-0.020335448905825615,0.12261886149644852,0.0644303560256958,-0.01379445381462574,-0.08310142159461975,0.20915837585926056,0.21651403605937958,-0.017758244648575783,0.0361291728913784,-0.07070937007665634,0.22685237228870392
kilometres,0.09419187903404236,0.2930561602115631,0.13213765621185303,0.26219841837882996,0.24984675645828247,0.18909822404384613,0.13531383872032166,0.1671956181526184,0.16078583896160126,0.21372832357883453,0.3333059847354889,0.09185487031936646
(,0.1676948219537735,0.20085982978343964,0.24216170608997345,0.33289089798927307,0.14758934080600739,0.12425858527421951,0.14783388376235962,0.3357032239437103,0.1459987312555313,0.4862271547317505,0.16755586862564087,0.40561532974243164
