,what,molecules,of,the,adaptive,immune,system,only,exist,in,jawed,vertebrates,?
many,0.36131182312965393,0.2315228134393692,0.37253960967063904,0.4335206151008606,0.24851369857788086,0.2700537145137787,0.2631138563156128,0.4670507609844208,0.3568662405014038,0.41474202275276184,0.25549644231796265,0.2343185842037201,0.2124512493610382
of,0.33290785551071167,0.24428431689739227,1.0,0.733189046382904,0.18422213196754456,0.16620753705501556,0.25597915053367615,0.49632513523101807,0.28013259172439575,0.5696388483047485,0.21173660457134247,0.2946195900440216,0.1826142966747284
the,0.42745697498321533,0.2374771386384964,0.733189046382904,1.0,0.25968632102012634,0.21364226937294006,0.3233085572719574,0.5497692227363586,0.3024537265300751,0.6662389636039734,0.20447887480258942,0.3000766634941101,0.22068053483963013
classical,0.22816240787506104,0.22054459154605865,0.2391258031129837,0.20384269952774048,0.24626243114471436,0.10164280980825424,0.10931266844272614,0.20170830190181732,0.20848101377487183,0.2431333363056183,0.17297326028347015,0.16969169676303864,0.18862907588481903
molecules,0.2143162339925766,0.9999999403953552,0.24428431689739227,0.2374771386384964,0.322795569896698,0.3475925624370575,0.26136019825935364,0.24020810425281525,0.2600584924221039,0.2197362184524536,0.2517775297164917,0.4196745455265045,0.17409995198249817
of,0.33290785551071167,0.24428431689739227,1.0,0.733189046382904,0.18422213196754456,0.16620753705501556,0.25597915053367615,0.49632513523101807,0.28013259172439575,0.5696388483047485,0.21173660457134247,0.2946195900440216,0.1826142966747284
the,0.42745697498321533,0.2374771386384964,0.733189046382904,1.0,0.25968632102012634,0.21364226937294006,0.3233085572719574,0.5497692227363586,0.3024537265300751,0.6662389636039734,0.20447887480258942,0.3000766634941101,0.22068053483963013
adaptive,0.22806508839130402,0.322795569896698,0.18422213196754456,0.25968632102012634,1.0000001192092896,0.4945787191390991,0.31361085176467896,0.3120679557323456,0.22132834792137146,0.22990182042121887,0.3620651960372925,0.45574235916137695,0.12147218734025955
immune,0.2410416603088379,0.3475925624370575,0.16620753705501556,0.21364226937294006,0.4945787191390991,1.0,0.3962631821632385,0.22060026228427887,0.19829653203487396,0.14682820439338684,0.27702590823173523,0.44061943888664246,0.16080476343631744
system,0.23557309806346893,0.26136019825935364,0.25597915053367615,0.3233085572719574,0.31361085176467896,0.3962631821632385,1.0000001192092896,0.3086473345756531,0.21557503938674927,0.21978288888931274,0.11240080744028091,0.30950847268104553,0.15556083619594574
(,0.2411840260028839,0.18329155445098877,0.35032153129577637,0.33289089798927307,0.09221408516168594,0.08545625954866409,0.15626809000968933,0.30817532539367676,0.2199639081954956,0.3087427020072937,0.16179534792900085,0.16492655873298645,0.40561532974243164
e.g.,0.04733210429549217,-0.07536496222019196,-0.0030048114713281393,-0.0011739471228793263,-0.01702388934791088,-0.014204205013811588,0.0647004023194313,-0.07990551739931107,0.048557545989751816,-0.06976211816072464,-0.1775052547454834,-0.05023603513836861,0.018727071583271027
",",0.3087472915649414,0.18639802932739258,0.4946078956127167,0.4933079481124878,0.1528570055961609,0.15102852880954742,0.18439900875091553,0.4220978021621704,0.2977049946784973,0.5201468467712402,0.2612835168838501,0.2315424084663391,0.31091248989105225
