,what,individual,is,the,school,named,after,?
established,0.14869536459445953,0.22333453595638275,0.1754443645477295,0.33092597126960754,0.23115229606628418,0.2978200316429138,0.25570741295814514,0.15917523205280304
originally,0.2645323872566223,0.20147790014743805,0.33268988132476807,0.36820849776268005,0.18157614767551422,0.3656502962112427,0.28176453709602356,0.07821967452764511
by,0.2455483376979828,0.25471803545951843,0.3899846076965332,0.4408751428127289,0.1477794349193573,0.30212631821632385,0.41259682178497314,0.17966607213020325
the,0.42745697498321533,0.3706541955471039,0.5823672413825989,1.0,0.22953221201896667,0.3521348536014557,0.4565047025680542,0.22068053483963013
massachusetts,0.18341512978076935,0.21088272333145142,0.1454818993806839,0.22450406849384308,0.23529985547065735,0.16825242340564728,0.21166689693927765,0.13685078918933868
legislature,0.23629915714263916,0.22644047439098358,0.15513135492801666,0.2745116055011749,0.2708456516265869,0.19134566187858582,0.240727961063385,0.17475001513957977
and,0.31309178471565247,0.30311039090156555,0.3859752118587494,0.5171257257461548,0.2752758264541626,0.23097854852676392,0.3765919506549835,0.20544172823429108
soon,0.3005380630493164,0.16189509630203247,0.15320920944213867,0.3431394100189209,0.21599499881267548,0.2958146631717682,0.5849637389183044,0.17460282146930695
thereafter,0.22742412984371185,0.21957997977733612,0.13802701234817505,0.3637511134147644,0.2748720645904541,0.20884518325328827,0.521710216999054,0.1361512392759323
named,0.1525408923625946,0.0817764401435852,0.28335005044937134,0.3521348536014557,0.1915711611509323,1.0,0.4528660774230957,0.1297498345375061
for,0.3017193675041199,0.33574938774108887,0.43268078565597534,0.4739971458911896,0.18618352711200714,0.22057102620601654,0.3650246858596802,0.264628142118454
john,0.18237407505512238,0.10787563771009445,0.16449548304080963,0.2230520099401474,0.141232430934906,0.17183846235275269,0.22597751021385193,0.13162356615066528
harvard,0.2177114188671112,0.1592215597629547,0.15387701988220215,0.24496200680732727,0.42520302534103394,0.15475016832351685,0.18180784583091736,0.11685016006231308
(,0.2411840260028839,0.14718104898929596,0.35393038392066956,0.33289089798927307,0.16600246727466583,0.19926521182060242,0.2132600098848343,0.40561532974243164
its,0.30393704771995544,0.2618340253829956,0.4447362422943115,0.559237003326416,0.17151296138763428,0.24614404141902924,0.29879069328308105,0.15103481709957123
first,0.28086137771606445,0.21261492371559143,0.30889374017715454,0.49448907375335693,0.17308905720710754,0.35798725485801697,0.42302387952804565,0.18701928853988647
benefactor,0.23547804355621338,0.23246875405311584,0.2192850410938263,0.25581496953964233,0.2869030237197876,0.22670993208885193,0.23747631907463074,0.2532118260860443
),0.26259949803352356,0.15757425129413605,0.37732169032096863,0.3456730246543884,0.18641386926174164,0.19075927138328552,0.24162524938583374,0.42300865054130554
",",0.3087472915649414,0.20963770151138306,0.4691906273365021,0.4933079481124878,0.27141863107681274,0.2530003488063812,0.38860568404197693,0.31091248989105225
harvard,0.2177114188671112,0.1592215597629547,0.15387701988220215,0.24496200680732727,0.42520302534103394,0.15475016832351685,0.18180784583091736,0.11685016006231308
is,0.28837618231773376,0.21069909632205963,1.0,0.5823672413825989,0.19488026201725006,0.28335005044937134,0.2835143506526947,0.22961433231830597
the,0.42745697498321533,0.3706541955471039,0.5823672413825989,1.0,0.22953221201896667,0.3521348536014557,0.4565047025680542,0.22068053483963013
