,what,are,the,most,abundant,kind,of,phagocyte,?
neutrophils,0.15195876359939575,0.32790884375572205,0.20497199892997742,0.21191340684890747,0.43947339057922363,0.26638710498809814,0.207316592335701,0.7216452956199646,0.1422376185655594
and,0.31309178471565247,0.48576638102531433,0.5171257257461548,0.4309377074241638,0.2986568808555603,0.22462370991706848,0.5116966962814331,0.2297583371400833,0.20544172823429108
macrophages,0.19924452900886536,0.28890976309776306,0.2027338147163391,0.1498280167579651,0.3276669979095459,0.247563898563385,0.20691213011741638,0.7312607765197754,0.1323275864124298
are,0.29724663496017456,1.0,0.40399202704429626,0.48698675632476807,0.35650694370269775,0.296465665102005,0.39081433415412903,0.34911298751831055,0.24591213464736938
phagocytes,0.2258819192647934,0.3706930875778198,0.18778933584690094,0.2456485778093338,0.3291216194629669,0.24773196876049042,0.17896294593811035,0.9750733971595764,0.21603655815124512
that,0.6297725439071655,0.45265161991119385,0.5473989248275757,0.4497850239276886,0.3386785686016083,0.38161981105804443,0.41498205065727234,0.28889012336730957,0.32716336846351624
travel,0.19747209548950195,0.2293887734413147,0.2857808768749237,0.17942477762699127,0.15294262766838074,0.1506500393152237,0.23167268931865692,0.14636081457138062,0.10014409571886063
throughout,0.2130906730890274,0.29618778824806213,0.4158564507961273,0.47078680992126465,0.32239842414855957,0.2366458624601364,0.35374847054481506,0.18524204194545746,0.12665234506130219
the,0.42745697498321533,0.40399202704429626,1.0,0.47635307908058167,0.24729062616825104,0.2516445517539978,0.733189046382904,0.2005830705165863,0.22068053483963013
body,0.2143840193748474,0.2451179027557373,0.31682634353637695,0.19582925736904144,0.22960874438285828,0.21003969013690948,0.25063133239746094,0.39924660325050354,0.20136451721191406
in,0.30808621644973755,0.3841303884983063,0.6662389636039734,0.41416558623313904,0.21504533290863037,0.2349269688129425,0.5696388483047485,0.19570747017860413,0.20430970191955566
pursuit,0.18071162700653076,0.12619902193546295,0.23130492866039276,0.16277062892913818,0.16558808088302612,0.1372155398130417,0.1816396266222,0.052384406328201294,0.08794858306646347
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.4178851246833801,0.24499425292015076,0.2285657674074173,1.0,0.20342735946178436,0.1826142966747284
invading,0.29477816820144653,0.22186227142810822,0.3741975724697113,0.2023017555475235,0.19252310693264008,0.1561724990606308,0.294779509305954,0.3930017948150635,0.17586950957775116
pathogens,0.24503889679908752,0.352535605430603,0.23115308582782745,0.2673565149307251,0.3239210247993469,0.2648807764053345,0.22946582734584808,0.7199835181236267,0.21364152431488037
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.35404038429260254,0.24012723565101624,0.21254374086856842,0.5352458953857422,0.23126888275146484,0.4130953550338745
