,what,is,an,object,'s,mass,proportional,to,at,the,surface,of,the,earth,?
this,0.5489566326141357,0.480927973985672,0.41881775856018066,0.3117026686668396,0.02106832154095173,0.30548951029777527,0.31642648577690125,0.5759071707725525,0.32544323801994324,0.6274310946464539,0.28005295991897583,0.45148900151252747,0.6274310946464539,0.2956106662750244,0.3155723512172699
observation,0.2846803367137909,0.24968886375427246,0.21803708374500275,0.3340962827205658,-0.029027940705418587,0.27425435185432434,0.2466064989566803,0.24857792258262634,0.14571334421634674,0.265403151512146,0.3264113664627075,0.2131652981042862,0.265403151512146,0.2841920554637909,0.15791697800159454
means,0.2553325295448303,0.4087343215942383,0.256989985704422,0.3410932123661041,0.047105882316827774,0.2168179154396057,0.2827110290527344,0.2301892638206482,0.16717694699764252,0.32225894927978516,0.20093491673469543,0.29942914843559265,0.32225894927978516,0.2015872299671173,0.21233566105365753
that,0.6297725439071655,0.3995479643344879,0.365763783454895,0.3378750681877136,0.04397977516055107,0.2827543616294861,0.29734769463539124,0.5436353087425232,0.3183255195617676,0.5473989248275757,0.30130770802497864,0.41498205065727234,0.5473989248275757,0.33014219999313354,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.22418850660324097,-0.01540423184633255,0.2284930944442749,0.31065797805786133,0.535392165184021,0.457212895154953,1.0,0.2555135488510132,0.733189046382904,1.0,0.2801888585090637,0.22068053483963013
force,0.16915984451770782,0.22036980092525482,0.21655116975307465,0.32587239146232605,0.020782919600605965,0.26299312710762024,0.2524314820766449,0.24496492743492126,0.17609930038452148,0.2800885736942291,0.25219762325286865,0.27094775438308716,0.2800885736942291,0.21943484246730804,0.1650998443365097
of,0.33290785551071167,0.4854315221309662,0.32280945777893066,0.1993778944015503,-0.03817026689648628,0.26915112137794495,0.3755289316177368,0.41548454761505127,0.42558613419532776,0.733189046382904,0.24204103648662567,1.0,0.733189046382904,0.2329314798116684,0.1826142966747284
gravity,0.259439080953598,0.2301630824804306,0.13670778274536133,0.4685784876346588,-0.012237312272191048,0.45285552740097046,0.3260152041912079,0.23946231603622437,0.16800855100154877,0.22609853744506836,0.4751412570476532,0.17525646090507507,0.22609853744506836,0.4948450028896332,0.18354056775569916
on,0.34226128458976746,0.3635730445384979,0.3192969560623169,0.18476571142673492,0.0026888418942689896,0.18456357717514038,0.1856098473072052,0.41031414270401,0.4806317389011383,0.5107308030128479,0.2674844264984131,0.3966929316520691,0.5107308030128479,0.20645220577716827,0.2714994251728058
an,0.2821882665157318,0.4654068350791931,1.0,0.2576858103275299,0.025255560874938965,0.20003743469715118,0.19761574268341064,0.3138085603713989,0.2446778565645218,0.4207492768764496,0.18808452785015106,0.32280945777893066,0.4207492768764496,0.15274131298065186,0.19793890416622162
