,when,did,tides,and,currents,similar,to,our,current,system,begin,?
since,0.42774689197540283,0.27613121271133423,0.11491075158119202,0.3515571057796478,0.226762592792511,0.20061329007148743,0.3733763098716736,0.1943490356206894,0.37281280755996704,0.16340304911136627,0.21266606450080872,0.2876587212085724
7500,-0.05271796137094498,-0.08205366879701614,-0.058389388024806976,0.007574761286377907,-0.04476798698306084,-0.07801266014575958,0.04159000888466835,0.016016250476241112,0.05676975101232529,-0.04596041142940521,0.05553685873746872,0.06164838746190071
yr,0.19114133715629578,0.17192907631397247,0.13514737784862518,0.19190143048763275,0.05166780203580856,0.2449997067451477,0.12598171830177307,0.1327509880065918,0.05842314288020134,0.1129523366689682,0.0884261205792427,0.36382460594177246
ago,0.34233349561691284,0.19972491264343262,0.15774847567081451,0.21609124541282654,0.17528647184371948,0.261326402425766,0.2610180675983429,0.2124604433774948,0.1615627557039261,0.11612973362207413,0.12227606028318405,0.2202194780111313
",",0.36674630641937256,0.3015086054801941,0.22434347867965698,0.6633074283599854,0.2791174352169037,0.29403579235076904,0.44245919585227966,0.2564825713634491,0.29341426491737366,0.18439900875091553,0.27304404973983765,0.31091248989105225
a,0.44397395849227905,0.2552328109741211,0.178628072142601,0.3739250600337982,0.19016359746456146,0.34790337085723877,0.45503583550453186,0.23281335830688477,0.1987239569425583,0.2589043080806732,0.22845244407653809,0.23916715383529663
situation,0.35674718022346497,0.2690824270248413,0.14927838742733002,0.25539255142211914,0.24428501725196838,0.2152940183877945,0.3826505243778229,0.27837446331977844,0.21555279195308685,0.25321561098098755,0.2094380110502243,0.2714049518108368
with,0.5075214505195618,0.25472134351730347,0.19982102513313293,0.5477725267410278,0.19357351958751678,0.36291107535362244,0.4239959120750427,0.1942424178123474,0.1750524342060089,0.14296101033687592,0.25770750641822815,0.2433311939239502
tides,0.19078969955444336,0.1744382530450821,1.0000001192092896,0.26195037364959717,0.4897816479206085,0.14103807508945465,0.21050821244716644,0.21321910619735718,0.17567893862724304,0.09546102583408356,0.1845669150352478,0.10811402648687363
and,0.4716290831565857,0.34479495882987976,0.26195037364959717,1.0,0.32871830463409424,0.3316260874271393,0.48971283435821533,0.2550724446773529,0.23919939994812012,0.231138214468956,0.2599445581436157,0.20544172823429108
currents,0.30222979187965393,0.14245115220546722,0.4897816479206085,0.32871830463409424,0.9999998807907104,0.1916975975036621,0.32454901933670044,0.21971189975738525,0.6089443564414978,0.22964249551296234,0.20059159398078918,0.07452256232500076
",",0.36674630641937256,0.3015086054801941,0.22434347867965698,0.6633074283599854,0.2791174352169037,0.29403579235076904,0.44245919585227966,0.2564825713634491,0.29341426491737366,0.18439900875091553,0.27304404973983765,0.31091248989105225
very,0.4456231892108917,0.3388260006904602,0.19100774824619293,0.4546867609024048,0.27668195962905884,0.3664175570011139,0.3902553617954254,0.27571433782577515,0.10598281770944595,0.1921422928571701,0.24362054467201233,0.20864155888557434
similar,0.24360811710357666,0.29411372542381287,0.14103807508945465,0.3316260874271393,0.1916975975036621,0.9999999403953552,0.2888135313987732,0.218141570687294,0.15099264681339264,0.22617121040821075,0.16038765013217926,0.23309361934661865
to,0.5423505902290344,0.4452643394470215,0.21050821244716644,0.48971283435821533,0.32454901933670044,0.2888135313987732,1.0,0.2916623651981354,0.30630946159362793,0.26662686467170715,0.33302420377731323,0.29463258385658264
present,0.20709340274333954,0.1261267513036728,0.12817203998565674,0.2790124714374542,0.2676142454147339,0.1571703851222992,0.2453051209449768,0.17614305019378662,0.3214060366153717,0.10247059911489487,0.185783252120018,0.21759982407093048
has,0.34538573026657104,0.2124989777803421,0.18910396099090576,0.43716782331466675,0.18567681312561035,0.30226829648017883,0.3619994819164276,0.18162287771701813,0.23727068305015564,0.17706717550754547,0.12440475076436996,0.15994466841220856
existed,0.2067137509584427,0.30351951718330383,0.18719831109046936,0.19741976261138916,0.1949157416820526,0.26261281967163086,0.18340860307216644,0.19728873670101166,0.17989830672740936,0.1834401935338974,0.14809036254882812,0.17013543844223022
.,0.475719153881073,0.35288307070732117,0.19273534417152405,0.588965117931366,0.2224021852016449,0.306670606136322,0.4645031690597534,0.2188185155391693,0.29179835319519043,0.2277725487947464,0.24827922880649567,0.4130953550338745
