,how,high,is,the,highest,point,in,warsaw,?
warsaw,0.13025455176830292,0.1506984531879425,0.09741193056106567,0.23137180507183075,0.09420224279165268,0.10687137395143509,0.22642600536346436,1.0,0.09769917279481888
uprising,0.1605674922466278,0.14646650850772858,0.16140395402908325,0.2853594124317169,0.15203247964382172,0.11557313054800034,0.2857716679573059,0.4463900625705719,0.13645027577877045
hill,0.10063447058200836,0.23501169681549072,0.18022680282592773,0.24348382651805878,0.22372466325759888,0.2606038749217987,0.21030452847480774,0.19674460589885712,0.1149863451719284
(,0.1676948219537735,0.20521607995033264,0.35393038392066956,0.33289089798927307,0.17115482687950134,0.21612024307250977,0.3087427020072937,0.1835584193468094,0.40561532974243164
121,0.056183911859989166,0.05266907438635826,0.026334576308727264,0.0663345530629158,0.06684844195842743,0.07888005673885345,0.10823401808738708,0.06840260326862335,0.053700901567935944
metres,0.13677051663398743,0.30920377373695374,0.2701532244682312,0.2668202519416809,0.3607739210128784,0.23149457573890686,0.22066503763198853,0.12217340618371964,0.11151815950870514
(,0.1676948219537735,0.20521607995033264,0.35393038392066956,0.33289089798927307,0.17115482687950134,0.21612024307250977,0.3087427020072937,0.1835584193468094,0.40561532974243164
397.0,-0.07752754539251328,0.03464424982666969,0.04642164334654808,0.11045276373624802,0.12177528440952301,-0.0045877667143940926,0.09280366450548172,0.20491573214530945,-0.05332260951399803
ft,0.17820364236831665,0.2972373068332672,0.17731311917304993,0.16553674638271332,0.3524453639984131,0.23857516050338745,0.1763954907655716,0.14909812808036804,0.17776548862457275
),0.17939934134483337,0.18911464512348175,0.37732169032096863,0.3456730246543884,0.20505082607269287,0.2308495044708252,0.3326910734176636,0.19817118346691132,0.42300865054130554
),0.17939934134483337,0.18911464512348175,0.37732169032096863,0.3456730246543884,0.20505082607269287,0.2308495044708252,0.3326910734176636,0.19817118346691132,0.42300865054130554
",",0.22659391164779663,0.27938312292099,0.4691906273365021,0.4933079481124878,0.22094981372356415,0.28971099853515625,0.5201468467712402,0.25300899147987366,0.31091248989105225
szczęśliwice,0.10269062966108322,0.1364787071943283,0.25429055094718933,0.3362688720226288,0.186216801404953,0.16749638319015503,0.3419698178768158,0.5463780164718628,0.2145584225654602
hill,0.10063447058200836,0.23501169681549072,0.18022680282592773,0.24348382651805878,0.22372466325759888,0.2606038749217987,0.21030452847480774,0.19674460589885712,0.1149863451719284
(,0.1676948219537735,0.20521607995033264,0.35393038392066956,0.33289089798927307,0.17115482687950134,0.21612024307250977,0.3087427020072937,0.1835584193468094,0.40561532974243164
138,0.030486952513456345,-0.05991889163851738,0.04367145895957947,-0.026560423895716667,-0.08400475978851318,-0.020597223192453384,-0.03305184841156006,-0.06349450349807739,-0.08235861361026764
metres,0.13677051663398743,0.30920377373695374,0.2701532244682312,0.2668202519416809,0.3607739210128784,0.23149457573890686,0.22066503763198853,0.12217340618371964,0.11151815950870514
