,what,is,the,largest,medical,school,in,poland,?
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.24251358211040497,0.23863594233989716,0.13396640121936798,0.39989137649536133,0.2015342265367508,0.24682199954986572
institutions,0.22018329799175262,0.14988303184509277,0.2776423394680023,0.28758591413497925,0.35500484704971313,0.35338637232780457,0.2592448890209198,0.19110824167728424,0.19119486212730408
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.13215672969818115,0.27440404891967773,0.18618352711200714,0.4322226941585541,0.15672115981578827,0.264628142118454
higher,0.2538340389728546,0.24683357775211334,0.3292480409145355,0.19968576729297638,0.1820278763771057,0.24293676018714905,0.23285751044750214,0.10775337368249893,0.15679465234279633
education,0.19940856099128723,0.18778188526630402,0.23982903361320496,0.15356379747390747,0.4021507501602173,0.5861870050430298,0.2654339671134949,0.19255957007408142,0.18067774176597595
include,0.1535889357328415,0.28863582015037537,0.2951717972755432,0.24294912815093994,0.22015908360481262,0.1621524542570114,0.28694382309913635,0.14438551664352417,0.14925788342952728
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2398311346769333,0.22953221201896667,0.6662389636039734,0.24871079623699188,0.22068053483963013
medical,0.2389855533838272,0.22198186814785004,0.2398311346769333,0.13539615273475647,1.0,0.2893049716949463,0.25996583700180054,0.10565762966871262,0.13234087824821472
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.25739672780036926,0.3555335998535156,0.48676231503486633,0.3201795518398285,0.19247503578662872,0.11887256056070328
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.36650770902633667,0.2826511859893799,0.2391800880432129,0.5696388483047485,0.26632049679756165,0.1826142966747284
warsaw,0.10373849421739578,0.09741193056106567,0.23137180507183075,0.15168581902980804,0.13723812997341156,0.20320187509059906,0.22642600536346436,0.6352760195732117,0.09769917279481888
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2597777843475342,0.27141863107681274,0.5201468467712402,0.2751549184322357,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3757036626338959,0.2398311346769333,0.22953221201896667,0.6662389636039734,0.24871079623699188,0.22068053483963013
largest,0.13463157415390015,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.13539615273475647,0.11632684618234634,0.3017216920852661,0.1417662352323532,0.12401245534420013
medical,0.2389855533838272,0.22198186814785004,0.2398311346769333,0.13539615273475647,1.0,0.2893049716949463,0.25996583700180054,0.10565762966871262,0.13234087824821472
school,0.18774057924747467,0.19488026201725006,0.22953221201896667,0.11632684618234634,0.2893049716949463,1.0,0.26157811284065247,0.12383820116519928,0.15091250836849213
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.25996583700180054,0.26157811284065247,1.0,0.2887791395187378,0.20430970191955566
