,how,many,areas,were,impacted,by,the,the,death,of,vegetation,in,the,2010,drought,?
the,0.33890387415885925,0.4335206151008606,0.3311663568019867,0.3906462490558624,0.2348020076751709,0.4408751428127289,1.0,1.0,0.21438048779964447,0.733189046382904,0.27478766441345215,0.6662389636039734,1.0,0.31722962856292725,0.33421388268470764,0.22068053483963013
2010,0.17927342653274536,0.33878764510154724,0.3172434866428375,0.3102222681045532,0.08278190344572067,0.20458245277404785,0.31722962856292725,0.31722962856292725,0.11217273026704788,0.26419875025749207,0.13201981782913208,0.2692960798740387,0.31722962856292725,1.0000001192092896,0.07527108490467072,0.21232788264751434
drought,0.2480611950159073,0.3221553862094879,0.31165310740470886,0.23435795307159424,0.4033200442790985,0.17479196190834045,0.33421388268470764,0.33421388268470764,0.20543941855430603,0.26836544275283813,0.492575079202652,0.2705814242362976,0.33421388268470764,0.07527108490467072,0.9999998807907104,0.1524890512228012
had,0.2549138069152832,0.40130746364593506,0.20743347704410553,0.6150832772254944,0.3345787227153778,0.37294110655784607,0.3875846862792969,0.3875846862792969,0.2926282584667206,0.37755560874938965,0.13106763362884521,0.385026752948761,0.3875846862792969,0.28968116641044617,0.2546445429325104,0.20728366076946259
three,0.23807744681835175,0.4501400589942932,0.22901685535907745,0.38429051637649536,0.19393745064735413,0.28754812479019165,0.43452659249305725,0.43452659249305725,0.1778189092874527,0.3844621181488037,0.2274245023727417,0.34828072786331177,0.43452659249305725,0.17645685374736786,0.19597917795181274,0.20928427577018738
epicenters,0.23741969466209412,0.30243539810180664,0.3956834375858307,0.2284003347158432,0.39011430740356445,0.26295411586761475,0.34973692893981934,0.34973692893981934,0.15982156991958618,0.3172685205936432,0.35963571071624756,0.3229997456073761,0.34973692893981934,0.1691821813583374,0.32425427436828613,0.19176211953163147
where,0.41728174686431885,0.4338301420211792,0.390926331281662,0.2363632768392563,0.20873679220676422,0.2641284465789795,0.5003893971443176,0.5003893971443176,0.166978120803833,0.38066378235816956,0.23339597880840302,0.5344807505607605,0.5003893971443176,0.2357739508152008,0.22265876829624176,0.24793872237205505
vegetation,0.145944282412529,0.2637569010257721,0.4193967580795288,0.18508629500865936,0.35590389370918274,0.18397663533687592,0.27478766441345215,0.27478766441345215,0.13220690190792084,0.2547335922718048,1.0000001192092896,0.25661489367485046,0.27478766441345215,0.13201981782913208,0.492575079202652,0.10736152529716492
died,0.07147754728794098,0.16722610592842102,0.15244464576244354,0.29009872674942017,0.24505040049552917,0.14783190190792084,0.18710990250110626,0.18710990250110626,0.49539607763290405,0.25637882947921753,0.13600856065750122,0.25881269574165344,0.18710990250110626,0.17070667445659637,0.21294870972633362,0.15254227817058563
off,0.22701384127140045,0.20289015769958496,0.1809224635362625,0.21087022125720978,0.241067573428154,0.28998351097106934,0.2773582935333252,0.2773582935333252,0.08257745206356049,0.20023372769355774,0.1936410516500473,0.25627145171165466,0.2773582935333252,0.10908171534538269,0.16072168946266174,0.12937544286251068
",",0.22659391164779663,0.40610817074775696,0.2789289653301239,0.36755475401878357,0.27414676547050476,0.3680937886238098,0.4933079481124878,0.4933079481124878,0.2070959210395813,0.4946078956127167,0.25971779227256775,0.5201468467712402,0.4933079481124878,0.24006164073944092,0.2273346185684204,0.31091248989105225
whereas,0.37210509181022644,0.3050699830055237,0.3513179123401642,0.175188347697258,0.16536040604114532,0.2193882316350937,0.3696324825286865,0.3696324825286865,0.04486779123544693,0.34012725949287415,0.3093582093715668,0.27898839116096497,0.3696324825286865,0.1408909559249878,0.11614959686994553,0.1950923502445221
in,0.2601168751716614,0.41474202275276184,0.33029478788375854,0.3815755248069763,0.21262972056865692,0.370934396982193,0.6662389636039734,0.6662389636039734,0.18743370473384857,0.5696388483047485,0.25661489367485046,1.0,0.6662389636039734,0.2692960798740387,0.2705814242362976,0.20430970191955566
2005,0.03437461704015732,0.10787120461463928,-0.0056742290034890175,0.14405988156795502,-0.01246834360063076,0.07835020869970322,0.037273142486810684,0.037273142486810684,0.11112726479768753,0.017815761268138885,-0.04556528106331825,0.009931974112987518,0.037273142486810684,0.11290161311626434,-0.00973189901560545,0.10709824413061142
the,0.33890387415885925,0.4335206151008606,0.3311663568019867,0.3906462490558624,0.2348020076751709,0.4408751428127289,1.0,1.0,0.21438048779964447,0.733189046382904,0.27478766441345215,0.6662389636039734,1.0,0.31722962856292725,0.33421388268470764,0.22068053483963013
drought,0.2480611950159073,0.3221553862094879,0.31165310740470886,0.23435795307159424,0.4033200442790985,0.17479196190834045,0.33421388268470764,0.33421388268470764,0.20543941855430603,0.26836544275283813,0.492575079202652,0.2705814242362976,0.33421388268470764,0.07527108490467072,0.9999998807907104,0.1524890512228012
