,the,rate,of,clearing,of,forest,from,2000,to,2005,was,how,many,square,miles,per,year,?
the,1.0,0.24881242215633392,0.733189046382904,0.2857891321182251,0.733189046382904,0.24134553968906403,0.40150508284568787,-0.015081177465617657,0.535392165184021,0.037273142486810684,0.48711544275283813,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.25706055760383606,0.21691934764385223,0.3609684407711029,0.22068053483963013
mean,0.25977957248687744,0.2135920375585556,0.27551960945129395,0.16314978897571564,0.27551960945129395,0.10980024933815002,0.2319565713405609,-0.13380300998687744,0.2274881899356842,0.054196760058403015,0.18973474204540253,0.35380423069000244,0.21793290972709656,0.17625482380390167,0.14993388950824738,0.20216551423072815,0.18349546194076538,0.36234524846076965
annual,0.2958983778953552,0.21056219935417175,0.29535046219825745,0.11542893201112747,0.29535046219825745,0.10517065227031708,0.18915630877017975,0.026381716132164,0.2023409903049469,-0.008983832783997059,0.19130820035934448,0.1884455680847168,0.1643238514661789,0.18645846843719482,0.22300253808498383,0.25775980949401855,0.37299844622612,0.1083487942814827
deforestation,0.31742316484451294,0.40045663714408875,0.31609025597572327,0.46996256709098816,0.31609025597572327,0.5440293550491333,0.22580088675022125,-0.2564493417739868,0.31015700101852417,-0.03040897659957409,0.19739863276481628,0.22240649163722992,0.35431599617004395,0.25078901648521423,0.2459021806716919,0.19117170572280884,0.20120994746685028,0.13288208842277527
rate,0.24881242215633392,1.0000001192092896,0.24132871627807617,0.20874685049057007,0.24132871627807617,0.13691331446170807,0.2106810212135315,-0.12097979336977005,0.28584644198417664,-0.0014476592186838388,0.16712123155593872,0.2722127139568329,0.1828048676252365,0.17606179416179657,0.13745087385177612,0.4295838177204132,0.20382341742515564,0.1308269053697586
from,0.40150508284568787,0.2106810212135315,0.4249346852302551,0.18860062956809998,0.4249346852302551,0.15542404353618622,1.0,0.0688478946685791,0.4069952368736267,0.05479402095079422,0.31171464920043945,0.22939439117908478,0.33099696040153503,0.10668959468603134,0.21209825575351715,0.2311413735151291,0.2101740688085556,0.19969791173934937
2000,-0.015081177465617657,-0.12097979336977005,0.010344067588448524,-0.1519767940044403,0.010344067588448524,-0.11802282184362411,0.0688478946685791,1.0,-0.05413077399134636,0.10400176048278809,0.06843073666095734,-0.07386910915374756,-0.06041426211595535,-0.1823805421590805,-0.1752157360315323,-0.11655692011117935,0.00622312817722559,-0.0824366956949234
to,0.535392165184021,0.28584644198417664,0.41548454761505127,0.2771686613559723,0.41548454761505127,0.1971547156572342,0.4069952368736267,-0.05413077399134636,1.0,0.018235651776194572,0.3636345863342285,0.44169697165489197,0.40243685245513916,0.17897218465805054,0.2342754453420639,0.2519395351409912,0.23523004353046417,0.29463258385658264
2005,0.037273142486810684,-0.0014476592186838388,0.017815761268138885,0.01152693573385477,0.017815761268138885,0.03908933326601982,0.05479402095079422,0.10400176048278809,0.018235651776194572,1.0,0.11356307566165924,0.03437461704015732,0.10787120461463928,-0.04404257610440254,-0.04824955761432648,0.017481958493590355,0.13351094722747803,0.10709824413061142
(,0.33289089798927307,0.14072664082050323,0.35032153129577637,0.21509940922260284,0.35032153129577637,0.1459040343761444,0.25806233286857605,-0.01192599069327116,0.30882009863853455,0.11327322572469711,0.2980341613292694,0.1676948219537735,0.1455259770154953,0.16847030818462372,0.17103469371795654,0.3121034801006317,0.2556702494621277,0.40561532974243164
