,who,did,tesla,partner,with,in,1886,?
after,0.32549580931663513,0.30330467224121094,0.0752151682972908,0.19780415296554565,0.33843478560447693,0.44050168991088867,0.13462775945663452,0.16608688235282898
leaving,0.26084476709365845,0.26762503385543823,0.04802955687046051,0.18705660104751587,0.3321917951107025,0.2724153697490692,0.047361668199300766,0.11571593582630157
edison,0.19920577108860016,0.1372239738702774,0.35526686906814575,0.08467262983322144,0.17097458243370056,0.22187061607837677,0.1521703600883484,0.10244420915842056
's,0.05599616840481758,0.05069678649306297,0.06449045985937119,-0.004190714564174414,-0.04624466598033905,-0.037580832839012146,-0.024794330820441246,-0.023395681753754616
company,0.2383776307106018,0.16800642013549805,0.23045730590820312,0.24758149683475494,0.24132338166236877,0.22141718864440918,0.20888139307498932,0.12195809185504913
tesla,0.1520961970090866,0.09757418930530548,0.9999999403953552,0.11723215132951736,0.16424812376499176,0.17097744345664978,0.22070029377937317,0.10250775516033173
partnered,0.21066147089004517,0.125213623046875,0.10853637754917145,0.8327213525772095,0.36366695165634155,0.19650232791900635,0.031888872385025024,0.15653236210346222
with,0.3282766342163086,0.25472134351730347,0.16424812376499176,0.30725839734077454,0.9999999403953552,0.4080928862094879,0.07253337651491165,0.2433311939239502
two,0.2791741192340851,0.2755576968193054,0.18793831765651703,0.27400508522987366,0.4333336651325226,0.36463531851768494,0.027041705325245857,0.19645625352859497
businessmen,0.39281243085861206,0.30523473024368286,0.13815727829933167,0.2157699465751648,0.19565832614898682,0.207875594496727,0.23880316317081451,0.15025284886360168
in,0.2792111933231354,0.2593238651752472,0.17097744345664978,0.1903068870306015,0.4080928862094879,1.0,0.15816864371299744,0.20430970191955566
1886,0.10808108001947403,0.1467389464378357,0.22070029377937317,-0.004889535717666149,0.07253337651491165,0.15816864371299744,1.0000001192092896,0.15507127344608307
",",0.3365725874900818,0.3015086054801941,0.20599327981472015,0.19484615325927734,0.4120737314224243,0.5201468467712402,0.1628250777721405,0.31091248989105225
robert,0.2748492956161499,0.16245460510253906,0.13741932809352875,0.16173020005226135,0.19348889589309692,0.22155319154262543,0.09599354863166809,0.11293095350265503
lane,0.16658775508403778,0.14061620831489563,0.16600798070430756,0.1468084305524826,0.16943670809268951,0.16843415796756744,-0.015801459550857544,0.12951500713825226
and,0.41279885172843933,0.34479495882987976,0.19560420513153076,0.2646805942058563,0.5477725267410278,0.4954058527946472,0.0749865472316742,0.20544172823429108
benjamin,0.27949002385139465,0.1405869424343109,0.13292011618614197,0.18816480040550232,0.17105768620967865,0.20055828988552094,0.1364196091890335,0.20336422324180603
vail,0.22504176199436188,0.1433091163635254,0.22038593888282776,0.18933850526809692,0.1908775418996811,0.2166866809129715,0.01923927664756775,0.08528917282819748
",",0.3365725874900818,0.3015086054801941,0.20599327981472015,0.19484615325927734,0.4120737314224243,0.5201468467712402,0.1628250777721405,0.31091248989105225
who,0.9999998807907104,0.34038686752319336,0.1520961970090866,0.2352188527584076,0.3282766342163086,0.2792111933231354,0.10808108001947403,0.26220351457595825
agreed,0.3223225474357605,0.47254884243011475,0.12057691067457199,0.1476137936115265,0.2837837338447571,0.18135444819927216,0.18038731813430786,0.21258382499217987
to,0.42656609416007996,0.4452643394470215,0.17548894882202148,0.13744807243347168,0.4239959120750427,0.45010748505592346,0.12372460961341858,0.29463258385658264
finance,0.20219723880290985,0.17958222329616547,0.18976029753684998,0.24409699440002441,0.17615559697151184,0.24185222387313843,0.22972863912582397,0.1273542046546936
an,0.2848317325115204,0.22598257660865784,0.13714656233787537,0.08338066190481186,0.2730048894882202,0.2605783939361572,0.09713130444288254,0.19793890416622162
electric,0.19416284561157227,0.12459144741296768,0.3824412524700165,0.1339934766292572,0.17031213641166687,0.19779469072818756,0.10923153162002563,0.15674720704555511
lighting,0.16933706402778625,0.19960185885429382,0.23439070582389832,0.11520896852016449,0.22154001891613007,0.254514217376709,0.12943387031555176,0.13502714037895203
company,0.2383776307106018,0.16800642013549805,0.23045730590820312,0.24758149683475494,0.24132338166236877,0.22141718864440918,0.20888139307498932,0.12195809185504913
in,0.2792111933231354,0.2593238651752472,0.17097744345664978,0.1903068870306015,0.4080928862094879,1.0,0.15816864371299744,0.20430970191955566
tesla,0.1520961970090866,0.09757418930530548,0.9999999403953552,0.11723215132951736,0.16424812376499176,0.17097744345664978,0.22070029377937317,0.10250775516033173
's,0.05599616840481758,0.05069678649306297,0.06449045985937119,-0.004190714564174414,-0.04624466598033905,-0.037580832839012146,-0.024794330820441246,-0.023395681753754616
name,0.2027527540922165,0.17557460069656372,0.15570181608200073,0.17917859554290771,0.17897967994213104,0.2459065467119217,0.1321653574705124,0.15381577610969543
",",0.3365725874900818,0.3015086054801941,0.20599327981472015,0.19484615325927734,0.4120737314224243,0.5201468467712402,0.1628250777721405,0.31091248989105225
tesla,0.1520961970090866,0.09757418930530548,0.9999999403953552,0.11723215132951736,0.16424812376499176,0.17097744345664978,0.22070029377937317,0.10250775516033173
electric,0.19416284561157227,0.12459144741296768,0.3824412524700165,0.1339934766292572,0.17031213641166687,0.19779469072818756,0.10923153162002563,0.15674720704555511
light,0.16200783848762512,0.18105649948120117,0.15772268176078796,0.04921255260705948,0.20245222747325897,0.1819845736026764,0.0036777069326490164,0.17429810762405396
&,0.09244576841592789,0.160298690199852,0.12341691553592682,0.09406904876232147,0.20013411343097687,0.1358654648065567,0.05490952357649803,0.12596383690834045
manufacturing,0.08808956295251846,0.16252703964710236,0.350337952375412,0.20016388595104218,0.218266099691391,0.2715393304824829,0.1768098622560501,0.11596895009279251
