,with,whom,must,someone,who,wants,to,teach,register,?
in,0.4080928862094879,0.20012985169887543,0.18276341259479523,0.18814018368721008,0.2792111933231354,0.18214331567287445,0.45010748505592346,0.23312166333198547,0.23328366875648499,0.20430970191955566
scotland,0.21539276838302612,0.17890220880508423,0.14750562608242035,0.1683550924062729,0.16836953163146973,0.1594861000776291,0.19875919818878174,0.1234060600399971,0.15610246360301971,0.09160218387842178
",",0.4120737314224243,0.25587570667266846,0.2231246829032898,0.23755213618278503,0.3365725874900818,0.2471858412027359,0.44245919585227966,0.22192275524139404,0.20487578213214874,0.31091248989105225
anyone,0.24383048713207245,0.29571089148521423,0.33158132433891296,0.6771775484085083,0.4373009502887726,0.42180871963500977,0.419222891330719,0.2905946969985962,0.284972608089447,0.4948124587535858
wishing,0.2904241681098938,0.31311318278312683,0.33666959404945374,0.3753485083580017,0.37747690081596375,0.4319935441017151,0.41424834728240967,0.2791231572628021,0.22699101269245148,0.2677502930164337
to,0.4239959120750427,0.3108522593975067,0.43356871604919434,0.38986673951148987,0.42656609416007996,0.43851572275161743,1.0,0.36650484800338745,0.2528383135795593,0.29463258385658264
teach,0.19712631404399872,0.2768329679965973,0.2412443310022354,0.2470383495092392,0.3465370237827301,0.31727591156959534,0.36650484800338745,1.0000001192092896,0.1663089394569397,0.24188745021820068
must,0.28391414880752563,0.1810593456029892,1.0,0.31939685344696045,0.27147307991981506,0.4764765501022339,0.43356871604919434,0.2412443310022354,0.24263858795166016,0.23707495629787445
be,0.36101722717285156,0.21567033231258392,0.4737209677696228,0.45383936166763306,0.3371641933917999,0.2636380195617676,0.4972836375236511,0.24814555048942566,0.25457626581192017,0.3324260413646698
registered,0.15469864010810852,0.2599727213382721,0.2129853367805481,0.26787906885147095,0.3385601043701172,0.23081322014331818,0.2159089893102646,0.18069933354854584,0.8081307411193848,0.24155336618423462
with,0.9999999403953552,0.3374587297439575,0.28391414880752563,0.21301506459712982,0.3282766342163086,0.19236530363559723,0.4239959120750427,0.19712631404399872,0.08248954266309738,0.2433311939239502
the,0.4223487675189972,0.23752936720848083,0.2713140547275543,0.2575405538082123,0.3733934462070465,0.2615984082221985,0.535392165184021,0.1966347098350525,0.21045131981372833,0.22068053483963013
general,0.1510423719882965,0.17469441890716553,0.14238542318344116,0.15650473535060883,0.2461782991886139,0.12304271757602692,0.24755197763442993,0.12382238358259201,0.12054441124200821,0.1972234547138214
teaching,0.17801906168460846,0.21853317320346832,0.16982188820838928,0.21097160875797272,0.2535073459148407,0.21389608085155487,0.2762126624584198,0.7737311720848083,0.17184394598007202,0.20424684882164001
council,0.10649243742227554,0.20361916720867157,0.1322224736213684,0.11462749540805817,0.19620807468891144,0.15489119291305542,0.23829470574855804,0.18183547258377075,0.17481711506843567,0.1160062924027443
for,0.39140474796295166,0.24361787736415863,0.31100544333457947,0.31841790676116943,0.37110671401023865,0.25339043140411377,0.4451248347759247,0.31015744805336,0.21003350615501404,0.264628142118454
scotland,0.21539276838302612,0.17890220880508423,0.14750562608242035,0.1683550924062729,0.16836953163146973,0.1594861000776291,0.19875919818878174,0.1234060600399971,0.15610246360301971,0.09160218387842178
(,0.29503780603408813,0.1562120020389557,0.20299430191516876,0.2007853388786316,0.2443375140428543,0.24681386351585388,0.30882009863853455,0.1257190704345703,0.15341484546661377,0.40561532974243164
gtcs,0.20272696018218994,0.01202880684286356,0.24689437448978424,0.18150471150875092,0.0741519033908844,0.12857498228549957,0.25242915749549866,0.1785447895526886,0.1296459436416626,0.2860548794269562
),0.3069596290588379,0.1573808193206787,0.19068287312984467,0.19533702731132507,0.2457384318113327,0.2295454740524292,0.31236231327056885,0.1531667709350586,0.13788582384586334,0.42300865054130554
.,0.4446153938770294,0.26115289330482483,0.27722811698913574,0.24185851216316223,0.3541337847709656,0.24278217554092407,0.4645031690597534,0.2642667293548584,0.1815701276063919,0.4130953550338745
